city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
 Ключи,2017,1,-10.987761,17.010328,28.948868
 Ключи,2017,2,-13.99408,17.243526,29.406887
 Ключи,2017,3,-7.0813093,14.310241,24.21624
 Ключи,2017,4,6.820875,14.439087,24.346012
 Ключи,2017,5,15.0031,16.294107,26.472483
 Ключи,2017,6,21.374626,11.773801,19.189907
 Ключи,2017,7,20.83455,11.238079,17.962263
 Ключи,2017,8,18.67017,10.205241,16.881699
 Ключи,2017,9,11.879069,13.309808,21.832422
 Ключи,2017,10,3.7356935,13.095487,22.72429
 Ключи,2017,11,-3.2320418,12.20182,20.984043
 Ключи,2017,12,-12.095086,11.443861,20.281168
 Ключи,2018,1,-21.971563,12.557306,22.319136
 Ключи,2018,2,-13.115359,10.256507,18.236444
 Ключи,2018,3,-6.0930023,14.330096,23.930132
 Ключи,2018,4,5.637125,15.037354,25.382673
 Ключи,2018,5,9.7115,16.961794,27.244287
 Ключи,2018,6,20.174835,13.251959,21.478365
 Ключи,2018,7,20.425816,11.70024,18.667772
 Ключи,2018,8,18.825277,11.336427,19.052431
 Ключи,2018,9,11.884417,12.395828,21.347353
 Ключи,2018,10,5.6203036,16.202349,27.994648
 Ключи,2018,11,-5.5178056,15.818026,27.159733
 Ключи,2018,12,-16.971294,12.200996,22.554798
 Ключи,2019,1,-14.460543,13.951996,25.834698
 Ключи,2019,2,-14.5631275,13.925546,24.875988
 Ключи,2019,3,-2.1749249,12.218471,22.046024
 Ключи,2019,4,5.732611,13.192846,21.804731
 Ключи,2019,5,12.495505,13.20373,20.96337
 Ключи,2019,6,17.699972,13.254534,21.435038
 Ключи,2019,7,21.822657,11.334802,18.300093
 Ключи,2019,8,20.783476,11.030123,18.864183
 Ключи,2019,9,13.312333,12.325683,21.025387
 Ключи,2019,10,7.225478,13.766752,23.910671
 Ключи,2019,11,-8.012944,13.985073,24.325293
 Ключи,2019,12,-7.418271,14.002394,25.664497
 Ключи,2020,1,-10.267868,18.495216,31.553228
 Ключи,2020,2,-6.9696064,17.711414,30.375385
 Ключи,2020,3,-2.737156,16.097868,27.819986
 Ключи,2020,4,10.785251,13.032512,22.323423
 Ключи,2020,5,18.72904,12.409454,19.988113
 Ключи,2020,6,19.54921,13.664513,21.797108
 Ключи,2020,7,21.978033,12.066266,19.099485
 Ключи,2020,8,19.924404,12.022226,19.905857
 Ключи,2020,9,12.381778,14.289846,23.85487
 Ключи,2020,10,4.8731265,14.918264,25.556942
 Ключи,2020,11,-4.2366943,13.188878,23.139917
 Ключи,2020,12,-14.462894,13.363759,23.492569
 Ключи,2021,1,-18.601738,12.382622,22.344358
 Ключи,2021,2,-12.881506,16.23575,27.58718
 Ключи,2021,3,-5.9737825,16.801853,28.593212
 Ключи,2021,4,5.9015,13.404683,22.40932
 Ключи,2021,5,17.543892,13.420087,21.909931
 Ключи,2021,6,18.75518,12.883494,20.10348
 Ключи,2021,7,21.734821,11.435055,18.786428
 Ключи,2021,8,19.94564,10.279879,16.748257
 Ключи,2021,9,11.482959,13.569201,22.91977
 Ключи,2021,10,3.9795778,13.735105,23.846926
 Ключи,2021,11,-4.7246113,16.21179,28.542845
 Ключи,2021,12,-7.786551,13.767223,25.66651
 Ключи,2022,1,-12.562156,11.522635,21.68976
 Ключи,2022,2,-11.196982,12.545011,23.037573
 Ключи,2022,3,-6.25053,16.216442,27.57276
 Ключи,2022,4,8.0055275,12.693691,21.875065
 Ключи,2022,5,18.108072,12.995302,21.382627
 Ключи,2022,6,21.03136,13.954187,21.894627
 Ключи,2022,7,21.334015,11.920514,19.222616
 Ключи,2022,8,18.03677,10.688947,17.784481
 Ключи,2022,9,14.257055,12.371313,20.799038
 Ключи,2022,10,5.870707,13.839693,24.15509
 Ключи,2022,11,-6.683361,14.043631,23.745884
 Ключи,2022,12,-15.519346,12.31612,22.466406
 Ключи,2023,1,-11.591121,17.075092,29.786514
 Ключи,2023,2,-13.211342,11.5888405,20.79227
 Ключи,2023,3,-1.0694813,14.159311,25.042252
 Ключи,2023,4,3.5094168,13.672989,23.254843
 Ключи,2023,5,14.351218,13.963622,22.468138
 Ключи,2023,6,21.593723,12.843294,20.423347
 Ключи,2023,7,23.66372,10.917854,18.112507
 Ключи,2023,8,19.683142,9.942504,16.802681
 Ключи,2023,9,13.270319,10.364735,17.464611
 Ключи,2023,10,6.851957,13.525171,24.083454
 Ключи,2023,11,0.41528785,14.686681,26.296087
