city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Алдан,2017,1,-23.622614,10.534615,20.11068
Алдан,2017,2,-21.344809,8.039024,14.423792
Алдан,2017,3,-10.162666,9.677072,18.116222
Алдан,2017,4,-2.852111,10.74135,19.716211
Алдан,2017,5,4.0999675,11.821523,20.854113
Алдан,2017,6,16.203861,8.43984,13.827888
Алдан,2017,7,17.755749,9.406604,16.261219
Алдан,2017,8,15.051178,8.953579,15.41207
Алдан,2017,9,5.53525,10.740553,18.689503
Алдан,2017,10,-7.5285273,10.257884,18.780579
Алдан,2017,11,-20.984959,10.370949,19.45335
Алдан,2017,12,-28.446604,8.291916,15.300545
Алдан,2018,1,-27.55561,10.516593,20.088547
Алдан,2018,2,-25.102549,8.201516,15.011427
Алдан,2018,3,-14.59768,10.731241,19.165846
Алдан,2018,4,-4.25468,10.681103,19.425373
Алдан,2018,5,6.894592,10.389199,19.40874
Алдан,2018,6,13.7023325,8.139084,13.5810585
Алдан,2018,7,17.626783,9.901412,17.031563
Алдан,2018,8,14.548287,8.668957,14.68794
Алдан,2018,9,5.5387917,10.339677,17.915215
Алдан,2018,10,-2.754199,9.071273,16.361443
Алдан,2018,11,-19.738222,9.62549,18.03299
Алдан,2018,12,-26.186794,10.999946,21.041039
Алдан,2019,1,-23.530342,9.963546,19.338171
Алдан,2019,2,-20.01862,12.254717,22.128199
Алдан,2019,3,-11.937867,8.659191,15.5768795
Алдан,2019,4,-3.310375,9.526315,17.242603
Алдан,2019,5,5.3029246,10.543763,18.665121
Алдан,2019,6,15.513793,8.323563,13.790672
Алдан,2019,7,17.215023,9.151568,15.504279
Алдан,2019,8,15.016232,7.78163,12.778132
Алдан,2019,9,5.788583,11.763681,20.91281
Алдан,2019,10,-3.698688,11.742105,21.91292
Алдан,2019,11,-20.472042,10.493805,19.987186
Алдан,2019,12,-26.373083,10.410906,19.451258
Алдан,2020,1,-17.346134,12.72816,24.914536
Алдан,2020,2,-18.084219,10.348098,18.740726
Алдан,2020,3,-11.381954,12.906552,23.250496
Алдан,2020,4,-2.8466942,9.636186,17.148891
Алдан,2020,5,4.729202,9.301076,16.26692
Алдан,2020,6,14.44282,8.408622,14.032346
Алдан,2020,7,18.671608,9.624785,16.648119
Алдан,2020,8,12.958033,9.524224,16.525974
Алдан,2020,9,9.509417,10.218506,17.86803
Алдан,2020,10,-4.8593063,10.032266,17.848902
Алдан,2020,11,-14.510305,11.738512,21.611948
Алдан,2020,12,-25.657156,11.77538,21.83859
Алдан,2021,1,-33.703663,8.907258,16.780851
Алдан,2021,2,-26.9146,7.6961,13.484093
Алдан,2021,3,-13.125906,11.802003,21.55923
Алдан,2021,4,-5.525861,11.106737,19.57449
Алдан,2021,5,4.196406,7.9261403,14.345309
Алдан,2021,6,16.213583,8.042849,13.27251
Алдан,2021,7,18.300776,9.506374,16.43985
Алдан,2021,8,16.081823,10.373425,18.292475
Алдан,2021,9,8.195875,11.04965,19.455433
Алдан,2021,10,-3.787801,12.509704,23.433233
Алдан,2021,11,-15.223639,11.11421,21.454767
Алдан,2021,12,-27.178864,11.018638,21.46767
Алдан,2022,1,-25.765623,7.980831,14.656338
Алдан,2022,2,-23.01594,7.0871224,12.580629
Алдан,2022,3,-13.063406,8.785872,15.900699
Алдан,2022,4,-5.1304445,9.171919,16.043276
Алдан,2022,5,3.1356533,10.86069,19.636301
Алдан,2022,6,16.925041,8.52885,14.521685
Алдан,2022,7,20.95064,8.704593,15.252671
Алдан,2022,8,12.28095,9.113833,15.689285
Алдан,2022,9,4.2246943,10.576208,18.023664
Алдан,2022,10,-3.653594,12.807681,23.648048
Алдан,2022,11,-18.641903,10.630546,19.685146
Алдан,2022,12,-27.76455,10.305339,18.548538
Алдан,2023,1,-30.827251,9.94837,19.126818
Алдан,2023,2,-20.67338,11.372824,20.827255
Алдан,2023,3,-10.301309,13.386252,24.503761
Алдан,2023,4,-5.8876667,11.214835,20.077614
Алдан,2023,5,3.2894166,9.680057,17.943068
Алдан,2023,6,14.619834,10.05703,17.257914
Алдан,2023,7,18.74923,8.246381,13.564865
Алдан,2023,8,16.495531,9.016426,15.336182
Алдан,2023,9,4.783236,10.066856,17.177317
Алдан,2023,10,-2.3951933,11.584191,21.012856
Алдан,2023,11,-15.020337,12.090425,22.207184
