city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Александровск-Сахалинский,2017,1,-13.753108,11.402023,18.972322
Александровск-Сахалинский,2017,2,-11.103209,15.208269,24.504135
Александровск-Сахалинский,2017,3,-5.9101644,9.639387,15.750828
Александровск-Сахалинский,2017,4,0.098041706,12.226785,19.982937
Александровск-Сахалинский,2017,5,8.738492,14.131106,22.659363
Александровск-Сахалинский,2017,6,12.303528,12.227623,19.287792
Александровск-Сахалинский,2017,7,18.088963,12.041748,19.010563
Александровск-Сахалинский,2017,8,17.184862,11.162639,17.664904
Александровск-Сахалинский,2017,9,14.119013,15.742155,25.022121
Александровск-Сахалинский,2017,10,3.8360054,15.986413,24.99497
Александровск-Сахалинский,2017,11,-6.0563335,16.260393,24.848286
Александровск-Сахалинский,2017,12,-12.3203125,15.958841,24.84765
Александровск-Сахалинский,2018,1,-16.308954,13.686741,21.987984
Александровск-Сахалинский,2018,2,-15.74919,10.573769,17.220963
Александровск-Сахалинский,2018,3,-8.0911455,15.010972,24.81339
Александровск-Сахалинский,2018,4,0.68470836,15.408489,25.244257
Александровск-Сахалинский,2018,5,8.174043,12.885922,20.608696
Александровск-Сахалинский,2018,6,11.709916,13.801317,21.9699
Александровск-Сахалинский,2018,7,16.11927,11.226846,17.64125
Александровск-Сахалинский,2018,8,16.231098,10.964949,17.02447
Александровск-Сахалинский,2018,9,13.262556,17.261078,27.473274
Александровск-Сахалинский,2018,10,7.8654413,15.249814,24.851086
Александровск-Сахалинский,2018,11,-1.9279306,17.119438,26.713362
Александровск-Сахалинский,2018,12,-11.576898,16.243103,25.544168
Александровск-Сахалинский,2019,1,-13.976629,12.743754,21.043354
Александровск-Сахалинский,2019,2,-15.104325,10.8879385,17.95354
Александровск-Сахалинский,2019,3,-7.637852,10.757424,17.86698
Александровск-Сахалинский,2019,4,2.2634585,13.750619,22.495874
Александровск-Сахалинский,2019,5,9.380092,15.347301,24.926298
Александровск-Сахалинский,2019,6,10.232486,9.922454,15.219345
Александровск-Сахалинский,2019,7,16.638962,13.404921,20.795813
Александровск-Сахалинский,2019,8,16.212349,10.339314,16.48527
Александровск-Сахалинский,2019,9,13.668666,17.331783,27.72265
Александровск-Сахалинский,2019,10,7.2132235,16.399605,26.460073
Александровск-Сахалинский,2019,11,-3.8986945,21.012524,31.867315
Александровск-Сахалинский,2019,12,-12.194304,14.820784,23.099325
Александровск-Сахалинский,2020,1,-13.2396,11.32539,19.168737
Александровск-Сахалинский,2020,2,-12.695054,10.917368,18.01384
Александровск-Сахалинский,2020,3,-4.993363,14.204538,23.15353
Александровск-Сахалинский,2020,4,1.6524167,15.151721,24.221357
Александровск-Сахалинский,2020,5,7.3245134,14.836272,23.587858
Александровск-Сахалинский,2020,6,11.182486,10.093885,15.901357
Александровск-Сахалинский,2020,7,16.458452,12.206804,19.259108
Александровск-Сахалинский,2020,8,16.027672,13.239952,21.617691
Александровск-Сахалинский,2020,9,14.764152,13.243187,21.461575
Александровск-Сахалинский,2020,10,7.638626,16.769547,26.622713
Александровск-Сахалинский,2020,11,-2.5569582,17.902203,27.279316
Александровск-Сахалинский,2020,12,-12.744908,15.722545,24.35877
Александровск-Сахалинский,2021,1,-18.021118,12.679476,20.347862
Александровск-Сахалинский,2021,2,-12.116527,15.208272,24.390976
Александровск-Сахалинский,2021,3,-5.4613066,14.384649,24.00777
Александровск-Сахалинский,2021,4,1.9928333,15.903975,26.01639
Александровск-Сахалинский,2021,5,6.919742,14.487144,23.137945
Александровск-Сахалинский,2021,6,13.492001,13.336809,21.443363
Александровск-Сахалинский,2021,7,20.115507,15.663842,24.746693
Александровск-Сахалинский,2021,8,17.677269,12.0720415,19.27123
Александровск-Сахалинский,2021,9,14.219152,15.012964,24.11664
Александровск-Сахалинский,2021,10,5.487215,16.253677,25.916937
Александровск-Сахалинский,2021,11,-0.67890275,15.672205,25.398111
Александровск-Сахалинский,2021,12,-11.634829,18.414583,28.787989
Александровск-Сахалинский,2022,1,-13.753914,14.08276,22.828537
Александровск-Сахалинский,2022,2,-10.897033,14.732948,24.228718
Александровск-Сахалинский,2022,3,-5.053175,11.2437525,18.814241
Александровск-Сахалинский,2022,4,0.7000556,18.048817,29.246235
Александровск-Сахалинский,2022,5,7.079688,13.95014,23.107353
Александровск-Сахалинский,2022,6,12.706444,11.545278,18.320173
Александровск-Сахалинский,2022,7,19.012955,12.037932,19.25497
Александровск-Сахалинский,2022,8,18.002941,16.445911,26.500692
Александровск-Сахалинский,2022,9,14.538181,18.332813,29.56545
Александровск-Сахалинский,2022,10,5.320145,14.982014,23.823744
Александровск-Сахалинский,2022,11,-2.4632776,16.257345,25.07095
Александровск-Сахалинский,2022,12,-11.235702,15.349962,24.240715
Александровск-Сахалинский,2023,1,-18.320044,14.649197,23.3018
Александровск-Сахалинский,2023,2,-15.896958,8.965072,14.8146925
Александровск-Сахалинский,2023,3,-3.134828,15.293646,25.773869
Александровск-Сахалинский,2023,4,1.4054723,15.171653,24.239504
Александровск-Сахалинский,2023,5,7.17868,15.940524,25.2982
Александровск-Сахалинский,2023,6,12.806583,10.723354,16.66879
Александровск-Сахалинский,2023,7,18.447699,10.995521,16.855585
Александровск-Сахалинский,2023,8,18.463223,11.401336,17.839
Александровск-Сахалинский,2023,9,15.433042,16.788567,26.618555
Александровск-Сахалинский,2023,10,7.645414,16.04268,25.86095
Александровск-Сахалинский,2023,11,-2.0032082,17.822475,27.682646
