city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Анадырь,2017,1,-18.450214,24.637453,32.876762
Анадырь,2017,2,-17.596325,20.274685,26.38378
Анадырь,2017,3,-12.359825,13.865238,18.210667
Анадырь,2017,4,-7.3948617,15.709113,21.735813
Анадырь,2017,5,-1.0969892,14.676197,20.179478
Анадырь,2017,6,7.4900694,16.861147,23.948687
Анадырь,2017,7,11.417997,20.327463,28.487272
Анадырь,2017,8,11.593737,17.759052,22.967283
Анадырь,2017,9,6.528194,16.282368,21.250555
Анадырь,2017,10,-3.4473927,20.38258,27.984495
Анадырь,2017,11,-5.165139,27.638292,40.183487
Анадырь,2017,12,-17.45465,21.59451,29.308655
Анадырь,2018,1,-14.771115,19.993748,27.64176
Анадырь,2018,2,-10.617902,22.359743,30.990372
Анадырь,2018,3,-13.777366,24.802904,32.831978
Анадырь,2018,4,-6.3027086,19.054785,26.820591
Анадырь,2018,5,-2.1570027,15.140119,20.820803
Анадырь,2018,6,7.6524997,18.205173,25.959108
Анадырь,2018,7,12.540443,20.455177,27.061125
Анадырь,2018,8,10.867393,18.352205,23.800858
Анадырь,2018,9,10.184999,19.065083,26.1979
Анадырь,2018,10,0.058991853,21.096169,28.279581
Анадырь,2018,11,-10.575278,24.196264,31.003609
Анадырь,2018,12,-22.222662,21.618937,25.5289
Анадырь,2019,1,-21.77367,19.454105,28.078388
Анадырь,2019,2,-9.792307,26.780106,38.096863
Анадырь,2019,3,-13.561169,22.32966,32.33322
Анадырь,2019,4,-8.80382,17.66694,24.89289
Анадырь,2019,5,-0.25377688,14.332397,19.957714
Анадырь,2019,6,9.269097,16.299196,22.631485
Анадырь,2019,7,12.926063,16.781717,23.410416
Анадырь,2019,8,11.310135,17.496225,22.957024
Анадырь,2019,9,6.493125,19.04819,24.335873
Анадырь,2019,10,-3.5361023,24.423445,31.960756
Анадырь,2019,11,-8.150833,19.66521,28.022427
Анадырь,2019,12,-15.900215,22.56533,31.176682
Анадырь,2020,1,-17.120174,20.831848,28.417238
Анадырь,2020,2,-26.00006,17.313702,26.108374
Анадырь,2020,3,-12.530726,21.39321,31.310253
Анадырь,2020,4,-12.041041,13.545437,19.041122
Анадырь,2020,5,-0.7553898,17.456173,24.627018
Анадырь,2020,6,9.641527,15.88233,22.081982
Анадырь,2020,7,10.96914,19.595028,26.543337
Анадырь,2020,8,11.689771,15.443182,19.52851
Анадырь,2020,9,5.7789583,16.465858,21.066292
Анадырь,2020,10,-0.8236694,19.279379,26.458216
Анадырь,2020,11,-6.1569443,22.994434,32.14507
Анадырь,2020,12,-15.425485,22.646873,31.288694
Анадырь,2021,1,-24.202768,19.220161,27.474813
Анадырь,2021,2,-24.935759,17.869656,26.132603
Анадырь,2021,3,-19.8777,22.41882,32.023464
Анадырь,2021,4,-10.184375,17.146473,24.641762
Анадырь,2021,5,-0.7784409,14.932203,21.228588
Анадырь,2021,6,6.306875,17.774313,25.03183
Анадырь,2021,7,9.24965,19.699598,26.860039
Анадырь,2021,8,9.715241,18.737131,24.92314
Анадырь,2021,9,3.1525693,19.541069,24.694283
Анадырь,2021,10,-6.6145973,21.001513,26.90072
Анадырь,2021,11,-15.56382,17.957935,24.767426
Анадырь,2021,12,-19.058348,24.687737,35.176872
Анадырь,2022,1,-23.358818,17.133837,25.812868
Анадырь,2022,2,-22.912395,17.665842,27.165554
Анадырь,2022,3,-13.451156,15.936177,22.69683
Анадырь,2022,4,-6.056389,20.00827,28.365677
Анадырь,2022,5,1.7933333,15.778927,22.433216
Анадырь,2022,6,6.8103466,18.93001,27.292934
Анадырь,2022,7,8.896693,19.475874,25.825228
Анадырь,2022,8,10.930228,18.027782,23.24032
Анадырь,2022,9,5.049444,21.743889,27.926409
Анадырь,2022,10,-4.482608,20.72477,26.469774
Анадырь,2022,11,-10.3275,24.362915,32.7986
Анадырь,2022,12,-13.36574,26.222475,37.676342
Анадырь,2023,1,-21.954113,19.978386,29.39242
Анадырь,2023,2,-24.047812,19.087276,28.026423
Анадырь,2023,3,-16.117085,23.060291,31.973827
Анадырь,2023,4,-12.84625,16.592272,22.72256
Анадырь,2023,5,-1.2664785,14.480205,19.900154
Анадырь,2023,6,6.8306947,17.808187,24.562122
Анадырь,2023,7,12.204691,15.454932,19.581842
Анадырь,2023,8,10.912218,18.478144,23.782688
Анадырь,2023,9,5.4388194,17.355724,22.084696
Анадырь,2023,10,-0.39793012,19.222954,26.178267
Анадырь,2023,11,-8.149281,23.973148,32.23519
