city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Билибино,2017,1,-27.432594,7.513846,13.33177
Билибино,2017,2,-21.378944,8.599107,15.753636
Билибино,2017,3,-12.867742,6.8949146,12.221771
Билибино,2017,4,-6.582431,8.214109,14.459889
Билибино,2017,5,1.5651883,9.321719,15.304215
Билибино,2017,6,10.453819,7.801954,12.627905
Билибино,2017,7,10.964786,9.3993435,15.127634
Билибино,2017,8,10.449866,8.781909,14.669032
Билибино,2017,9,3.0241668,9.049028,15.417815
Билибино,2017,10,-8.188911,8.048671,14.376424
Билибино,2017,11,-14.545417,11.398663,20.509884
Билибино,2017,12,-22.861761,7.60402,14.67228
Билибино,2018,1,-23.5666,6.185704,11.460103
Билибино,2018,2,-17.83646,7.9363956,15.174245
Билибино,2018,3,-22.58777,8.559461,15.8345175
Билибино,2018,4,-6.3884025,8.482465,15.604774
Билибино,2018,5,0.0009409843,7.104225,12.433012
Билибино,2018,6,11.111667,8.475371,13.560296
Билибино,2018,7,12.577218,9.604742,15.602671
Билибино,2018,8,8.724999,8.859443,14.532586
Билибино,2018,9,6.6284723,9.074122,16.417606
Билибино,2018,10,-5.725941,6.621674,11.413655
Билибино,2018,11,-20.065624,6.584181,12.547241
Билибино,2018,12,-30.065659,5.1952887,9.46395
Билибино,2019,1,-27.64953,6.756149,12.598697
Билибино,2019,2,-27.640924,5.6039896,10.550869
Билибино,2019,3,-20.114517,6.315854,11.129153
Билибино,2019,4,-6.337083,8.290486,14.632537
Билибино,2019,5,1.488105,7.736959,12.851258
Билибино,2019,6,14.028263,8.232447,13.5291
Билибино,2019,7,11.722244,9.063722,14.323884
Билибино,2019,8,10.460686,7.564706,12.388746
Билибино,2019,9,2.5979862,8.089428,13.656622
Билибино,2019,10,-9.234543,7.34751,13.246482
Билибино,2019,11,-14.664445,8.1364765,15.363574
Билибино,2019,12,-24.60101,7.0326777,12.51864
Билибино,2020,1,-24.958267,7.019971,12.5738945
Билибино,2020,2,-28.906107,5.780133,11.0151415
Билибино,2020,3,-16.147917,8.402761,15.307738
Билибино,2020,4,-10.995417,6.4471993,11.21255
Билибино,2020,5,1.9944893,11.132435,18.259472
Билибино,2020,6,13.844514,7.7188196,12.032605
Билибино,2020,7,14.285551,9.691972,15.682398
Билибино,2020,8,6.636895,9.30987,15.482869
Билибино,2020,9,2.8834028,7.7056904,13.422874
Билибино,2020,10,-5.0530915,7.08513,12.972746
Билибино,2020,11,-13.094653,8.801989,16.67287
Билибино,2020,12,-23.006182,8.421752,15.913023
Билибино,2021,1,-28.865725,6.9283757,13.286167
Билибино,2021,2,-23.32195,9.779909,18.474955
Билибино,2021,3,-22.424528,8.277599,14.848159
Билибино,2021,4,-9.726597,8.219152,14.676459
Билибино,2021,5,1.8699598,7.9028997,13.410582
Билибино,2021,6,13.728263,8.753836,13.887553
Билибино,2021,7,12.854369,8.4428,13.523089
Билибино,2021,8,8.985685,9.747095,16.265434
Билибино,2021,9,-0.62687486,9.888713,16.694498
Билибино,2021,10,-14.839583,6.3594747,11.7798195
Билибино,2021,11,-17.174583,7.631985,14.051906
Билибино,2021,12,-28.561626,8.767172,16.07827
Билибино,2022,1,-21.880445,7.5791574,13.706208
Билибино,2022,2,-22.973066,6.1612353,12.043218
Билибино,2022,3,-14.258266,7.7675486,14.128078
Билибино,2022,4,-9.148403,7.8848233,13.354048
Билибино,2022,5,4.34328,8.439167,14.200715
Билибино,2022,6,10.564652,10.458057,16.746315
Билибино,2022,7,10.169624,11.420209,18.21399
Билибино,2022,8,10.639046,9.491728,15.92012
Билибино,2022,9,2.4459724,9.522317,15.770893
Билибино,2022,10,-11.203226,8.242573,14.596425
Билибино,2022,11,-20.630348,8.679269,15.84962
Билибино,2022,12,-19.045765,9.838716,19.14388
Билибино,2023,1,-24.65793,9.301518,17.726215
Билибино,2023,2,-29.401041,5.528786,10.316455
Билибино,2023,3,-20.248655,8.604247,15.375653
Билибино,2023,4,-9.665833,7.117682,12.565233
Билибино,2023,5,1.2451614,9.400062,15.757742
Билибино,2023,6,10.668056,10.839073,17.159613
Билибино,2023,7,14.937097,8.200592,12.624387
Билибино,2023,8,8.928965,7.13137,11.510822
Билибино,2023,9,1.9389584,8.171233,13.641014
Билибино,2023,10,-7.3720427,6.9603224,12.755681
Билибино,2023,11,-16.240057,7.800616,14.561053
