city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Биробиджан,2017,1,-17.27434,8.585872,15.471875
Биробиджан,2017,2,-12.341226,9.581316,17.558142
Биробиджан,2017,3,-3.2619731,8.077009,14.399184
Биробиджан,2017,4,5.227236,10.598136,18.254276
Биробиджан,2017,5,13.96679,10.008734,17.511776
Биробиджан,2017,6,17.144596,8.490135,14.698323
Биробиджан,2017,7,22.186684,8.234782,14.396833
Биробиджан,2017,8,19.696426,8.130714,14.071247
Биробиджан,2017,9,13.561889,9.060597,16.303038
Биробиджан,2017,10,2.466051,10.805886,19.378572
Биробиджан,2017,11,-10.519778,10.154473,19.460333
Биробиджан,2017,12,-19.762243,8.529115,16.162615
Биробиджан,2018,1,-20.111975,8.374997,15.804022
Биробиджан,2018,2,-17.070766,9.264802,17.217386
Биробиджан,2018,3,-6.048936,11.147119,20.691792
Биробиджан,2018,4,5.952028,11.652694,20.428131
Биробиджан,2018,5,13.751266,9.774356,17.04053
Биробиджан,2018,6,17.18036,8.122354,13.475285
Биробиджан,2018,7,21.54132,7.595373,12.936081
Биробиджан,2018,8,19.759733,6.9039693,11.919163
Биробиджан,2018,9,13.214041,9.643479,17.4868
Биробиджан,2018,10,6.2796264,9.33372,16.776697
Биробиджан,2018,11,-7.8565836,8.914351,16.701052
Биробиджан,2018,12,-18.379715,9.230722,18.083305
Биробиджан,2019,1,-17.668224,8.829931,16.37889
Биробиджан,2019,2,-13.407893,11.118096,21.763937
Биробиджан,2019,3,-3.273801,9.7564535,17.776173
Биробиджан,2019,4,5.37425,9.590585,16.746494
Биробиджан,2019,5,12.121965,8.772108,15.473228
Биробиджан,2019,6,15.748278,7.8169827,13.346898
Биробиджан,2019,7,21.129023,6.6741734,11.151029
Биробиджан,2019,8,18.390312,9.25211,16.378817
Биробиджан,2019,9,14.311541,10.595845,18.69569
Биробиджан,2019,10,5.241051,9.517636,17.502527
Биробиджан,2019,11,-9.922695,12.451547,22.634663
Биробиджан,2019,12,-20.108143,8.947681,17.260462
Биробиджан,2020,1,-16.569635,8.454088,15.416721
Биробиджан,2020,2,-13.336167,8.533511,15.92434
Биробиджан,2020,3,-3.1141908,9.406063,17.046751
Биробиджан,2020,4,5.7406387,10.01832,17.329704
Биробиджан,2020,5,13.778618,9.90766,17.557812
Биробиджан,2020,6,15.65057,9.18315,15.813149
Биробиджан,2020,7,22.102205,6.0418673,9.974717
Биробиджан,2020,8,18.528954,9.805391,17.429201
Биробиджан,2020,9,14.854319,8.774792,15.409979
Биробиджан,2020,10,5.0533495,9.534408,17.640665
Биробиджан,2020,11,-5.509847,11.560398,20.417355
Биробиджан,2020,12,-16.033882,10.469002,18.613579
Биробиджан,2021,1,-21.164392,8.664907,15.745961
Биробиджан,2021,2,-15.282521,10.707707,20.028471
Биробиджан,2021,3,-3.030992,9.74935,17.739763
Биробиджан,2021,4,5.4611945,11.347765,19.475042
Биробиджан,2021,5,11.815715,8.183915,14.263903
Биробиджан,2021,6,18.925985,7.91785,13.735638
Биробиджан,2021,7,23.940983,6.4833484,10.773651
Биробиджан,2021,8,19.434666,8.24516,14.032791
Биробиджан,2021,9,14.411958,7.7233667,13.710054
Биробиджан,2021,10,4.4184704,9.697523,17.670551
Биробиджан,2021,11,-5.284986,8.867832,16.844028
Биробиджан,2021,12,-20.556461,8.172684,15.366902
Биробиджан,2022,1,-21.493023,6.851747,11.838683
Биробиджан,2022,2,-13.94316,8.231499,15.460341
Биробиджан,2022,3,-4.2170806,9.192941,17.4782
Биробиджан,2022,4,3.7584167,11.049143,19.811897
Биробиджан,2022,5,11.319008,9.961681,17.708506
Биробиджан,2022,6,17.575499,7.217281,12.160082
Биробиджан,2022,7,22.46706,7.0912056,12.141361
Биробиджан,2022,8,18.605837,7.880519,13.456323
Биробиджан,2022,9,13.9216795,9.742259,17.550476
Биробиджан,2022,10,4.0710244,9.094455,16.56776
Биробиджан,2022,11,-6.7456107,9.8742285,18.210323
Биробиджан,2022,12,-17.44114,9.741397,18.857672
Биробиджан,2023,1,-23.30411,8.713927,16.312405
Биробиджан,2023,2,-14.149486,9.191137,17.502174
Биробиджан,2023,3,-1.8241371,10.138622,19.309778
Биробиджан,2023,4,4.518555,10.608463,18.379416
Биробиджан,2023,5,12.971561,10.232502,18.03374
Биробиджан,2023,6,18.254528,7.7295423,13.152582
Биробиджан,2023,7,22.155296,6.8067174,11.482502
Биробиджан,2023,8,20.424452,7.6873302,13.139346
Биробиджан,2023,9,14.342028,8.681656,15.257497
Биробиджан,2023,10,5.784734,9.991623,18.459074
Биробиджан,2023,11,-6.723856,10.19284,19.864086
