city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Благовещенск,2017,1,-20.090239,11.034601,20.172787
Благовещенск,2017,2,-13.878041,12.310728,22.119164
Благовещенск,2017,3,-3.443129,10.60178,18.656641
Благовещенск,2017,4,4.824042,13.531134,22.780638
Благовещенск,2017,5,13.724411,13.386922,22.839668
Благовещенск,2017,6,19.123278,10.330464,17.023485
Благовещенск,2017,7,22.426561,9.439716,16.012875
Благовещенск,2017,8,19.912987,8.876064,14.908891
Благовещенск,2017,9,12.885639,9.9685,17.417044
Благовещенск,2017,10,1.0410107,10.761814,18.982563
Благовещенск,2017,11,-11.669986,10.340834,18.227865
Благовещенск,2017,12,-21.728277,10.958569,18.504576
Благовещенск,2018,1,-22.417591,10.245308,19.188816
Благовещенск,2018,2,-20.468296,9.459022,16.50562
Благовещенск,2018,3,-5.9669867,12.133295,20.976606
Благовещенск,2018,4,5.1709857,13.341314,22.596926
Благовещенск,2018,5,13.721925,10.299145,17.64463
Благовещенск,2018,6,18.116749,9.797906,15.949083
Благовещенск,2018,7,22.474813,9.670429,16.667631
Благовещенск,2018,8,19.779787,7.6869454,12.751907
Благовещенск,2018,9,13.061334,11.831896,20.735922
Благовещенск,2018,10,5.0656075,10.925176,19.619759
Благовещенск,2018,11,-8.165055,9.258355,16.365257
Благовещенск,2018,12,-19.327066,10.425805,18.49241
Благовещенск,2019,1,-18.251732,10.617767,18.800438
Благовещенск,2019,2,-14.804455,10.978569,19.782547
Благовещенск,2019,3,-3.7686665,11.087932,19.294922
Благовещенск,2019,4,4.3711247,12.188619,21.291626
Благовещенск,2019,5,11.670379,13.788662,23.502806
Благовещенск,2019,6,18.253208,8.223537,13.1732235
Благовещенск,2019,7,21.525486,7.8657336,13.000868
Благовещенск,2019,8,18.950151,8.583598,14.5079975
Благовещенск,2019,9,13.18918,11.562349,20.53683
Благовещенск,2019,10,2.8439007,10.580908,18.981342
Благовещенск,2019,11,-10.340055,11.224275,20.030155
Благовещенск,2019,12,-20.0602,8.04937,14.68699
Благовещенск,2020,1,-18.10516,7.7567368,13.783215
Благовещенск,2020,2,-13.405449,9.563801,17.616522
Благовещенск,2020,3,-3.5325108,10.224338,17.551807
Благовещенск,2020,4,4.7157774,13.683767,23.3185
Благовещенск,2020,5,12.175083,10.507941,17.813072
Благовещенск,2020,6,17.039597,9.824598,16.18935
Благовещенск,2020,7,24.090406,8.353896,14.056002
Благовещенск,2020,8,18.27011,11.047716,19.144373
Благовещенск,2020,9,13.932514,10.6067915,17.97736
Благовещенск,2020,10,3.5475967,11.420638,20.63099
Благовещенск,2020,11,-7.0986667,10.809499,19.863653
Благовещенск,2020,12,-17.125051,9.273485,16.81277
Благовещенск,2021,1,-23.12505,8.514105,15.662455
Благовещенск,2021,2,-16.134514,11.696822,20.677225
Благовещенск,2021,3,-3.076933,11.717103,20.457195
Благовещенск,2021,4,4.0481386,14.331677,24.552368
Благовещенск,2021,5,11.352033,10.318908,17.344637
Благовещенск,2021,6,20.000708,9.454764,15.802969
Благовещенск,2021,7,23.669641,8.746796,14.536184
Благовещенск,2021,8,19.14585,8.2937565,13.771042
Благовещенск,2021,9,13.661612,8.270827,14.255987
Благовещенск,2021,10,2.664734,10.1105,18.366903
Благовещенск,2021,11,-5.7588053,11.998518,21.221825
Благовещенск,2021,12,-18.900051,10.010439,18.849098
Благовещенск,2022,1,-20.550724,9.033205,17.015337
Благовещенск,2022,2,-13.784812,10.008686,18.83288
Благовещенск,2022,3,-3.8560321,10.47034,18.175564
Благовещенск,2022,4,4.112236,13.246216,22.875952
Благовещенск,2022,5,10.845244,11.586767,19.81711
Благовещенск,2022,6,19.470222,8.081694,13.150448
Благовещенск,2022,7,23.670513,7.6098876,12.282735
Благовещенск,2022,8,18.4896,9.1391945,15.831016
Благовещенск,2022,9,12.771056,11.582331,20.786253
Благовещенск,2022,10,2.2745457,10.629249,19.902027
Благовещенск,2022,11,-9.29193,10.160095,17.868166
Благовещенск,2022,12,-20.365509,10.904346,19.70941
Благовещенск,2023,1,-25.125118,9.196098,15.438037
Благовещенск,2023,2,-16.029604,9.679264,16.239838
Благовещенск,2023,3,-2.2649705,11.259041,19.658937
Благовещенск,2023,4,3.478347,11.47983,20.135431
Благовещенск,2023,5,12.282812,12.724665,21.719212
Благовещенск,2023,6,18.697792,9.166021,15.179964
Благовещенск,2023,7,22.75929,7.914388,13.21137
Благовещенск,2023,8,20.248268,9.116801,15.7104225
Благовещенск,2023,9,13.150291,10.63282,18.594198
Благовещенск,2023,10,4.890809,11.421871,20.863325
Благовещенск,2023,11,-8.288269,10.01119,19.26229
