city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Вилючинск,2017,1,-8.584014,13.433294,22.708044
Вилючинск,2017,2,-3.9031665,18.569849,30.238598
Вилючинск,2017,3,-0.8050484,10.806036,17.92878
Вилючинск,2017,4,0.5336389,14.846712,23.76617
Вилючинск,2017,5,4.027949,11.87088,19.139162
Вилючинск,2017,6,9.636625,9.640261,14.584977
Вилючинск,2017,7,13.652948,9.502381,14.380156
Вилючинск,2017,8,14.871296,8.850684,13.548815
Вилючинск,2017,9,10.924541,13.234392,20.94514
Вилючинск,2017,10,4.0754623,15.884599,25.282757
Вилючинск,2017,11,-0.34663886,17.396942,27.61371
Вилючинск,2017,12,-6.1978574,17.948242,28.352169
Вилючинск,2018,1,-6.6803846,15.406955,25.316837
Вилючинск,2018,2,-5.2516046,15.551967,25.2731
Вилючинск,2018,3,-4.9059224,17.237244,27.352768
Вилючинск,2018,4,0.021972235,15.435181,24.894838
Вилючинск,2018,5,4.0405836,13.626988,22.122522
Вилючинск,2018,6,8.508638,11.553289,17.674183
Вилючинск,2018,7,14.242197,10.704408,16.259644
Вилючинск,2018,8,13.610274,11.212092,17.449272
Вилючинск,2018,9,11.058361,13.582848,21.513832
Вилючинск,2018,10,6.384602,15.126171,24.129406
Вилючинск,2018,11,-0.59462494,15.662237,24.983208
Вилючинск,2018,12,-7.127898,15.9879465,25.94701
Вилючинск,2019,1,-7.4433546,16.534092,26.844267
Вилючинск,2019,2,-9.512319,15.762871,25.514975
Вилючинск,2019,3,-5.170102,16.940025,26.966011
Вилючинск,2019,4,0.4779445,13.208461,21.01109
Вилючинск,2019,5,4.698379,11.604331,18.496984
Вилючинск,2019,6,8.074056,9.759622,14.766277
Вилючинск,2019,7,13.454091,9.778198,14.675775
Вилючинск,2019,8,13.73225,10.345309,16.047367
Вилючинск,2019,9,10.627389,13.885027,21.88979
Вилючинск,2019,10,4.518809,15.075908,23.887598
Вилючинск,2019,11,-0.81636107,14.7616825,23.853748
Вилючинск,2019,12,-6.7153306,13.762224,22.385092
Вилючинск,2020,1,-7.149672,15.464628,25.251076
Вилючинск,2020,2,-8.246557,14.855293,24.173306
Вилючинск,2020,3,-2.2904649,15.7997,24.624851
Вилючинск,2020,4,0.24072224,13.773155,22.072922
Вилючинск,2020,5,4.5057716,13.554948,21.10464
Вилючинск,2020,6,10.194194,10.025367,14.5898075
Вилючинск,2020,7,14.394548,10.545582,15.763645
Вилючинск,2020,8,12.802748,11.232826,17.542114
Вилючинск,2020,9,11.095097,13.051742,20.810612
Вилючинск,2020,10,6.2659864,13.548824,21.342176
Вилючинск,2020,11,-0.29941663,16.09804,25.260923
Вилючинск,2020,12,-6.6432877,15.18485,23.778776
Вилючинск,2021,1,-8.761231,15.756996,24.590506
Вилючинск,2021,2,-5.7194614,14.106517,22.689957
Вилючинск,2021,3,-3.3997393,16.50178,26.282639
Вилючинск,2021,4,1.080375,14.087698,22.63029
Вилючинск,2021,5,4.940382,11.244002,17.372484
Вилючинск,2021,6,10.950167,11.399009,17.411133
Вилючинск,2021,7,16.401606,12.18241,18.579588
Вилючинск,2021,8,15.181376,11.973591,18.519934
Вилючинск,2021,9,11.156694,13.213026,21.095936
Вилючинск,2021,10,4.6754622,16.03396,25.727045
Вилючинск,2021,11,0.09843057,15.790989,25.942266
Вилючинск,2021,12,-4.521917,15.505751,25.632563
Вилючинск,2022,1,-5.380922,13.248149,22.40127
Вилючинск,2022,2,-5.0533895,12.045138,20.28581
Вилючинск,2022,3,-2.1240673,15.204765,24.481136
Вилючинск,2022,4,0.4812778,14.525814,22.809122
Вилючинск,2022,5,4.047438,9.207512,14.6783
Вилючинск,2022,6,11.247458,8.425252,12.382778
Вилючинск,2022,7,16.455503,9.703202,14.49584
Вилючинск,2022,8,15.07049,12.7784815,19.550196
Вилючинск,2022,9,11.467528,14.763299,23.197784
Вилючинск,2022,10,4.5165915,15.651364,24.87248
Вилючинск,2022,11,-1.1980972,15.053293,24.231169
Вилючинск,2022,12,-5.6171455,14.337401,23.977211
Вилючинск,2023,1,-9.549672,18.435966,29.736519
Вилючинск,2023,2,-9.430622,11.956645,19.590366
Вилючинск,2023,3,-2.9088118,13.342425,20.825058
Вилючинск,2023,4,1.0096111,16.32076,25.869518
Вилючинск,2023,5,3.7305026,14.08518,22.661312
Вилючинск,2023,6,11.6079445,11.268133,17.30525
Вилючинск,2023,7,14.396362,10.88113,16.193829
Вилючинск,2023,8,15.988701,11.916705,18.420832
Вилючинск,2023,9,11.973778,16.435696,25.801811
Вилючинск,2023,10,6.0063767,12.651513,20.37574
Вилючинск,2023,11,-0.07220073,16.248444,25.710426
