city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Депутатский,2017,1,-30.19931,13.825784,22.888937
Депутатский,2017,2,-31.000067,8.83171,12.772496
Депутатский,2017,3,-15.014634,10.916223,19.133131
Депутатский,2017,4,-9.501098,7.0210633,11.67102
Депутатский,2017,5,-4.7786803,10.028775,15.295066
Депутатский,2017,6,7.640153,11.820325,17.843391
Депутатский,2017,7,7.735836,11.732501,17.250736
Депутатский,2017,8,10.494506,9.824169,15.522708
Депутатский,2017,9,0.7795972,9.040048,14.763213
Депутатский,2017,10,-14.374715,7.6355166,11.203764
Депутатский,2017,11,-22.970749,18.601397,29.313375
Депутатский,2017,12,-28.152134,12.576978,16.581497
Депутатский,2018,1,-31.870548,10.737836,15.474777
Депутатский,2018,2,-27.162786,10.505125,14.335754
Депутатский,2018,3,-26.158113,6.6691613,11.390412
Депутатский,2018,4,-10.174778,7.3470383,10.939003
Депутатский,2018,5,-4.432847,8.762219,14.243782
Депутатский,2018,6,10.387375,11.257919,16.268797
Депутатский,2018,7,11.662986,10.962654,15.943564
Депутатский,2018,8,10.7786455,10.906549,16.695082
Депутатский,2018,9,1.6527917,10.46007,17.252037
Депутатский,2018,10,-9.37868,10.687206,18.374466
Депутатский,2018,11,-25.03575,6.716503,8.278742
Депутатский,2018,12,-30.08829,10.479721,13.937064
Депутатский,2019,1,-32.92438,10.497057,10.887607
Депутатский,2019,2,-30.391657,12.944134,20.773722
Депутатский,2019,3,-22.431368,9.012341,12.346144
Депутатский,2019,4,-9.511236,7.0937467,11.152822
Депутатский,2019,5,-3.9218254,6.85001,10.690153
Депутатский,2019,6,14.944041,11.022793,15.871776
Депутатский,2019,7,9.970379,11.929842,17.46146
Депутатский,2019,8,11.338658,8.894676,13.757708
Депутатский,2019,9,2.0012639,8.172508,13.057674
Депутатский,2019,10,-11.982712,11.021774,17.668772
Депутатский,2019,11,-23.737068,9.894061,14.317504
Депутатский,2019,12,-31.250858,9.745537,10.702223
Депутатский,2020,1,-32.039368,11.414032,13.420455
Депутатский,2020,2,-27.113638,12.5258045,18.631048
Депутатский,2020,3,-22.417187,7.983493,12.650342
Депутатский,2020,4,-10.660472,11.62033,19.080667
Депутатский,2020,5,-1.2063683,8.566525,13.511087
Депутатский,2020,6,15.119736,8.6702385,12.673732
Депутатский,2020,7,12.985769,10.563671,15.572939
Депутатский,2020,8,5.9471264,10.323775,15.970319
Депутатский,2020,9,4.789528,9.936031,16.29075
Депутатский,2020,10,-8.3056965,11.734089,19.53943
Депутатский,2020,11,-21.767624,13.791475,20.434977
Депутатский,2020,12,-29.119608,12.626218,16.97007
Депутатский,2021,1,-32.77223,9.521972,13.116095
Депутатский,2021,2,-30.047983,5.576618,7.435174
Депутатский,2021,3,-24.383316,9.321419,15.245832
Депутатский,2021,4,-12.522486,7.36332,11.795962
Депутатский,2021,5,0.9681612,9.232011,14.2049
Депутатский,2021,6,13.794111,11.508551,17.140797
Депутатский,2021,7,12.070514,11.378304,16.965572
Депутатский,2021,8,10.042691,8.669542,13.205623
Депутатский,2021,9,1.3273749,11.988519,19.470335
Депутатский,2021,10,-12.3813,7.86717,11.854444
Депутатский,2021,11,-22.23589,8.34823,12.909174
Депутатский,2021,12,-33.60059,11.630808,14.04847
Депутатский,2022,1,-29.006502,9.839876,13.888322
Депутатский,2022,2,-26.706093,10.769428,16.292894
Депутатский,2022,3,-21.348707,5.5985713,9.63003
Депутатский,2022,4,-13.540681,5.83516,8.837174
Депутатский,2022,5,-1.9667178,8.797996,12.857964
Депутатский,2022,6,8.678972,11.260997,16.701895
Депутатский,2022,7,11.52515,10.624571,15.942759
Депутатский,2022,8,9.735836,9.547543,14.396102
Депутатский,2022,9,0.82549995,10.231704,16.845135
Депутатский,2022,10,-11.892994,14.461927,24.760319
Депутатский,2022,11,-27.830818,11.015017,13.310461
Депутатский,2022,12,-28.225252,13.79101,21.911934
Депутатский,2023,1,-34.399715,10.355101,12.434057
Депутатский,2023,2,-35.367107,10.63306,11.128614
Депутатский,2023,3,-23.691853,8.723822,14.258407
Депутатский,2023,4,-12.509084,7.3013697,11.862562
Депутатский,2023,5,-4.555965,10.143902,16.258888
Депутатский,2023,6,12.528347,10.38233,15.603872
Депутатский,2023,7,11.06003,10.591254,15.153875
Депутатский,2023,8,10.639465,9.731942,14.064681
Депутатский,2023,9,0.72855556,9.614511,15.113782
Депутатский,2023,10,-12.030091,9.470102,14.107006
Депутатский,2023,11,-21.381735,13.151606,16.479296
