city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Долинск,2017,1,-11.621126,10.041093,16.777199
Долинск,2017,2,-8.23703,10.936171,19.102005
Долинск,2017,3,-4.100629,8.83374,14.616353
Долинск,2017,4,1.993625,12.128925,19.821978
Долинск,2017,5,9.060997,11.562541,18.618464
Долинск,2017,6,10.503625,10.901431,16.967842
Долинск,2017,7,17.600985,9.626165,15.398176
Долинск,2017,8,16.782099,9.820149,15.747768
Долинск,2017,9,14.27418,11.863194,20.021666
Долинск,2017,10,5.4935913,12.809801,21.523954
Долинск,2017,11,-2.1738055,11.972866,20.034801
Долинск,2017,12,-8.356946,12.763567,21.379787
Долинск,2018,1,-10.638532,10.544802,18.038036
Долинск,2018,2,-12.911138,8.828142,14.449219
Долинск,2018,3,-4.305804,12.910947,22.032646
Долинск,2018,4,2.8941805,13.392597,22.980082
Долинск,2018,5,7.83425,10.311301,16.446108
Долинск,2018,6,11.25807,12.110794,19.42087
Долинск,2018,7,15.428471,10.023737,15.585677
Долинск,2018,8,16.305082,9.287771,14.874448
Долинск,2018,9,14.263139,12.399378,20.75019
Долинск,2018,10,8.710325,12.591881,21.749802
Долинск,2018,11,0.53758335,11.069724,18.928465
Долинск,2018,12,-8.310307,11.759444,19.972101
Долинск,2019,1,-10.334231,10.400891,18.02352
Долинск,2019,2,-11.371256,10.060687,17.216507
Долинск,2019,3,-5.1439757,11.5113325,19.45285
Долинск,2019,4,3.029875,10.239879,17.645855
Долинск,2019,5,10.532906,12.0470705,19.84591
Долинск,2019,6,11.16925,9.926801,15.635346
Долинск,2019,7,16.227327,9.615193,15.121669
Долинск,2019,8,15.745742,9.779755,15.863192
Долинск,2019,9,14.851819,11.6271715,19.863293
Долинск,2019,10,8.256561,12.756912,22.092787
Долинск,2019,11,-1.951861,14.00706,24.059256
Долинск,2019,12,-8.973008,11.632378,19.86913
Долинск,2020,1,-10.647,9.944149,17.421473
Долинск,2020,2,-10.718336,8.965474,15.316796
Долинск,2020,3,-2.748008,13.416525,23.060772
Долинск,2020,4,0.9570278,12.011602,20.178719
Долинск,2020,5,8.082771,10.500818,17.305212
Долинск,2020,6,11.188765,9.600045,14.924526
Долинск,2020,7,16.12753,9.7343645,15.256412
Долинск,2020,8,16.589762,10.614988,17.451393
Долинск,2020,9,14.801888,9.7549715,15.966291
Долинск,2020,10,8.001388,12.320243,21.227322
Долинск,2020,11,-0.40193048,11.653686,20.150158
Долинск,2020,12,-9.300831,10.082327,17.449059
Долинск,2021,1,-13.477309,10.157055,17.16003
Долинск,2021,2,-8.9086075,11.967992,20.587612
Долинск,2021,3,-2.4179006,12.117954,20.572327
Долинск,2021,4,2.7168195,14.515002,24.541342
Долинск,2021,5,6.1604595,12.9927025,21.008913
Долинск,2021,6,13.543,11.063797,17.785162
Долинск,2021,7,21.319935,9.618347,15.475848
Долинск,2021,8,17.337072,9.386819,15.370701
Долинск,2021,9,14.9082775,10.976269,18.471865
Долинск,2021,10,7.128941,13.1372595,22.146765
Долинск,2021,11,0.80043054,11.157943,19.103394
Долинск,2021,12,-6.8232102,13.186921,22.351324
Долинск,2022,1,-9.699889,12.904547,21.651442
Долинск,2022,2,-8.694694,11.212191,19.565378
Долинск,2022,3,-2.888868,11.711863,19.566145
Долинск,2022,4,3.6233473,15.258956,25.104584
Долинск,2022,5,8.290097,12.169258,19.535168
Долинск,2022,6,11.130986,8.967836,13.945865
Долинск,2022,7,17.749235,9.882936,15.361732
Долинск,2022,8,18.829344,10.893943,18.60279
Долинск,2022,9,15.3868885,12.5822315,21.460476
Долинск,2022,10,7.4024625,12.164963,20.584112
Долинск,2022,11,-0.50616664,12.415196,20.825132
Долинск,2022,12,-8.617161,12.345243,20.732513
Долинск,2023,1,-14.482618,10.447982,17.722004
Долинск,2023,2,-13.144694,8.575821,13.6895275
Долинск,2023,3,-0.6867177,13.066605,22.564228
Долинск,2023,4,3.228139,13.18422,21.859814
Долинск,2023,5,9.007167,12.518341,20.667004
Долинск,2023,6,12.888417,9.388567,14.601883
Долинск,2023,7,17.686937,8.913031,14.1831255
Долинск,2023,8,18.829075,10.118076,16.545774
Долинск,2023,9,16.45057,10.586499,17.86606
Долинск,2023,10,9.02175,12.856924,21.93725
Долинск,2023,11,1.6243069,11.894659,20.473719
