city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Зея,2017,1,-22.420109,7.0982103,13.346488
Зея,2017,2,-16.210386,9.268182,17.159128
Зея,2017,3,-5.1345563,9.517388,16.993042
Зея,2017,4,2.9663196,11.0904455,19.556244
Зея,2017,5,9.642123,9.32758,16.637537
Зея,2017,6,18.65514,8.398155,14.575302
Зея,2017,7,20.990847,7.685719,13.405918
Зея,2017,8,18.636747,7.9361916,14.243306
Зея,2017,9,11.341249,9.078669,16.566063
Зея,2017,10,-1.0562634,8.0708275,14.737907
Зея,2017,11,-15.061318,8.293787,14.965237
Зея,2017,12,-23.747593,7.2077684,13.674991
Зея,2018,1,-25.207876,7.7272005,14.390364
Зея,2018,2,-23.002724,7.6117764,13.124479
Зея,2018,3,-10.278978,9.15896,16.196768
Зея,2018,4,2.6104167,11.108219,19.394407
Зея,2018,5,11.318333,8.733263,15.392272
Зея,2018,6,16.059513,8.123544,14.451333
Зея,2018,7,19.911413,8.315104,15.013659
Зея,2018,8,18.068132,6.5924625,11.825648
Зея,2018,9,10.633264,10.561149,19.630486
Зея,2018,10,3.3465593,9.805737,18.454475
Зея,2018,11,-12.284235,7.3285623,12.731465
Зея,2018,12,-24.645174,7.3865204,13.712523
Зея,2019,1,-21.867754,6.4548554,11.753077
Зея,2019,2,-18.638586,7.3509245,13.608398
Зея,2019,3,-8.654651,8.440119,15.283921
Зея,2019,4,1.7669445,9.676822,17.366753
Зея,2019,5,9.427204,10.888855,19.189426
Зея,2019,6,16.777918,7.407962,12.702088
Зея,2019,7,19.004288,7.737565,13.719913
Зея,2019,8,17.784395,7.845312,13.68267
Зея,2019,9,10.1044445,9.168979,16.860842
Зея,2019,10,0.42357528,7.5326366,14.0624695
Зея,2019,11,-17.101667,8.430694,16.157894
Зея,2019,12,-26.78254,5.7979703,10.406753
Зея,2020,1,-23.455055,5.1534853,8.48292
Зея,2020,2,-16.53842,7.200721,13.809174
Зея,2020,3,-8.219368,7.66981,14.059263
Зея,2020,4,2.2570834,11.286874,20.109812
Зея,2020,5,9.515577,9.6974325,17.194403
Зея,2020,6,15.566528,7.7654915,13.431536
Зея,2020,7,22.558924,8.109594,14.487377
Зея,2020,8,15.959731,9.559554,18.058065
Зея,2020,9,12.74264,8.889172,15.975216
Зея,2020,10,1.5704167,9.343348,17.114908
Зея,2020,11,-10.417916,8.33077,15.132445
Зея,2020,12,-23.116276,6.768389,12.308464
Зея,2021,1,-27.249407,7.0825844,12.3606205
Зея,2021,2,-21.039106,8.955255,16.54368
Зея,2021,3,-8.989328,8.461927,15.411146
Зея,2021,4,-0.13694446,10.660324,19.343414
Зея,2021,5,7.976062,9.896889,17.743643
Зея,2021,6,18.445555,7.815743,13.848383
Зея,2021,7,21.590645,7.716465,13.423731
Зея,2021,8,17.804289,8.193792,14.462161
Зея,2021,9,12.158402,8.000703,14.931449
Зея,2021,10,0.14944898,7.383409,13.561672
Зея,2021,11,-8.391389,9.5960455,17.678408
Зея,2021,12,-23.563387,7.011018,12.984093
Зея,2022,1,-23.09652,7.05832,12.808045
Зея,2022,2,-16.806965,8.820595,16.789005
Зея,2022,3,-7.9971232,8.265937,15.062915
Зея,2022,4,1.0990973,9.915819,17.715889
Зея,2022,5,9.032514,10.309917,18.736443
Зея,2022,6,18.215208,6.878361,12.083416
Зея,2022,7,22.813496,7.508836,13.260721
Зея,2022,8,16.766182,7.373049,13.223537
Зея,2022,9,9.642847,9.138215,16.706059
Зея,2022,10,0.32290325,8.299825,15.371489
Зея,2022,11,-13.460694,7.101118,13.272891
Зея,2022,12,-23.629179,7.3929534,14.290453
Зея,2023,1,-30.003374,6.272649,10.867292
Зея,2023,2,-19.115223,6.4452066,11.778719
Зея,2023,3,-6.393091,8.829987,16.321753
Зея,2023,4,0.6184028,10.702377,20.024614
Зея,2023,5,9.461546,10.052563,18.06483
Зея,2023,6,16.88757,7.740281,13.665324
Зея,2023,7,22.545551,6.2863398,10.845965
Зея,2023,8,18.652338,7.1646123,12.489046
Зея,2023,9,9.998264,9.178167,16.806784
Зея,2023,10,1.8104031,8.452014,15.586847
Зея,2023,11,-9.769734,7.9630322,14.604813
