city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Зырянка,2017,1,-37.72197,9.16978,16.590624
Зырянка,2017,2,-31.638573,7.490498,12.764076
Зырянка,2017,3,-17.50073,8.5083275,15.302242
Зырянка,2017,4,-6.1398892,8.232498,14.922093
Зырянка,2017,5,3.8828037,10.928356,18.099228
Зырянка,2017,6,12.247542,11.336345,18.336067
Зырянка,2017,7,11.856795,10.069487,16.861923
Зырянка,2017,8,14.940265,9.601885,16.671644
Зырянка,2017,9,5.3861527,8.753424,15.501029
Зырянка,2017,10,-10.591121,10.829802,18.698275
Зырянка,2017,11,-24.447458,11.468709,20.878174
Зырянка,2017,12,-27.952545,8.712714,16.270977
Зырянка,2018,1,-33.08514,8.2941,14.876386
Зырянка,2018,2,-24.533663,9.489254,16.961304
Зырянка,2018,3,-25.549992,10.097254,16.950071
Зырянка,2018,4,-6.773778,9.413853,16.242931
Зырянка,2018,5,3.0093496,10.097038,17.235569
Зырянка,2018,6,13.267195,10.609694,16.820122
Зырянка,2018,7,15.898262,11.56851,19.059305
Зырянка,2018,8,11.596446,9.412342,16.192316
Зырянка,2018,9,5.809625,12.144704,20.716595
Зырянка,2018,10,-9.464911,8.053,14.325853
Зырянка,2018,11,-25.29836,7.212659,13.402802
Зырянка,2018,12,-36.53178,6.958681,11.494779
Зырянка,2019,1,-34.008392,6.3037596,11.860031
Зырянка,2019,2,-33.623993,8.520017,14.53663
Зырянка,2019,3,-21.333862,7.5149455,12.580124
Зырянка,2019,4,-3.0887778,9.819213,17.31943
Зырянка,2019,5,6.4090137,10.375935,17.178785
Зырянка,2019,6,15.46157,10.815981,17.463041
Зырянка,2019,7,14.233812,9.625191,16.059645
Зырянка,2019,8,13.009283,7.9693465,13.628695
Зырянка,2019,9,4.661083,9.221913,15.835125
Зырянка,2019,10,-8.853218,7.9765854,14.120399
Зырянка,2019,11,-21.073639,8.835756,15.908461
Зырянка,2019,12,-32.09287,8.063306,14.319499
Зырянка,2020,1,-34.142735,7.3608046,12.789749
Зырянка,2020,2,-31.075495,7.709379,14.453533
Зырянка,2020,3,-18.492666,9.555257,17.093235
Зырянка,2020,4,-6.915792,9.859493,17.199825
Зырянка,2020,5,5.0409355,11.538344,19.246082
Зырянка,2020,6,19.250181,8.13914,13.151716
Зырянка,2020,7,16.137508,9.769492,16.305418
Зырянка,2020,8,9.536634,9.363231,15.811788
Зырянка,2020,9,6.068653,8.524354,15.429855
Зырянка,2020,10,-5.8992524,7.427722,13.712513
Зырянка,2020,11,-19.426485,12.319114,21.603876
Зырянка,2020,12,-33.415783,7.532391,13.99938
Зырянка,2021,1,-37.92815,7.1691055,12.401399
Зырянка,2021,2,-31.665138,7.0257087,12.416959
Зырянка,2021,3,-22.46565,10.389835,18.42079
Зырянка,2021,4,-8.564611,10.656526,18.788532
Зырянка,2021,5,6.9819975,11.0575905,18.366121
Зырянка,2021,6,16.343655,10.452092,16.856236
Зырянка,2021,7,16.36607,10.677148,17.67434
Зырянка,2021,8,11.857871,9.556813,16.275843
Зырянка,2021,9,3.1131666,10.730845,18.782108
Зырянка,2021,10,-9.725261,8.803345,15.288396
Зырянка,2021,11,-21.952944,8.941339,16.16151
Зырянка,2021,12,-36.69193,8.819775,16.528196
Зырянка,2022,1,-34.144615,7.539699,13.803783
Зырянка,2022,2,-32.512238,8.712911,15.359752
Зырянка,2022,3,-19.388634,7.703035,13.014429
Зырянка,2022,4,-10.691833,8.681985,14.685064
Зырянка,2022,5,6.33818,10.46113,17.931808
Зырянка,2022,6,12.726569,10.373081,16.924717
Зырянка,2022,7,16.69732,9.136551,15.549777
Зырянка,2022,8,14.208274,10.213602,17.540749
Зырянка,2022,9,4.691153,10.757165,19.081799
Зырянка,2022,10,-10.153957,10.061276,18.505554
Зырянка,2022,11,-27.84607,8.692636,16.678375
Зырянка,2022,12,-35.79401,9.215588,15.209504
Зырянка,2023,1,-36.89186,7.4262767,15.220392
Зырянка,2023,2,-35.98143,5.7096367,9.731648
Зырянка,2023,3,-20.202345,9.287789,17.245668
Зырянка,2023,4,-6.533153,9.684593,17.294256
Зырянка,2023,5,5.6875753,12.075618,19.695284
Зырянка,2023,6,18.09032,10.4579525,17.25112
Зырянка,2023,7,15.802629,11.179527,18.561905
Зырянка,2023,8,12.304646,9.089064,15.190325
Зырянка,2023,9,4.1319165,9.523778,16.48041
Зырянка,2023,10,-7.3326535,6.553582,12.101195
Зырянка,2023,11,-21.220413,9.713721,19.105043
