city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Константиновка,2017,1,-5.1206584,12.712565,22.66647
Константиновка,2017,2,-4.2538843,13.244249,23.631466
Константиновка,2017,3,5.2872043,13.356884,23.130878
Константиновка,2017,4,8.840486,12.499219,21.437492
Константиновка,2017,5,15.193454,10.915045,18.446363
Константиновка,2017,6,21.03861,10.320335,16.73446
Константиновка,2017,7,22.690094,11.099842,18.36074
Константиновка,2017,8,24.707903,12.735633,21.172009
Константиновка,2017,9,18.38514,13.345752,22.680408
Константиновка,2017,10,9.01012,14.250317,23.955616
Константиновка,2017,11,2.7330556,11.880975,20.715448
Константиновка,2017,12,3.2689922,14.571763,25.616022
Константиновка,2018,1,-2.7013037,14.132798,24.0925
Константиновка,2018,2,-2.2834225,13.924613,23.191515
Константиновка,2018,3,-0.90365595,14.062304,23.932058
Константиновка,2018,4,11.52618,12.101439,21.094212
Константиновка,2018,5,19.137272,12.822322,21.337425
Константиновка,2018,6,22.12757,12.010305,19.926048
Константиновка,2018,7,23.74735,9.785374,16.488272
Константиновка,2018,8,23.16758,10.64755,18.448442
Константиновка,2018,9,18.274584,13.294108,22.584948
Константиновка,2018,10,11.677124,11.336405,20.530676
Константиновка,2018,11,0.53520834,12.4883585,21.428122
Константиновка,2018,12,-1.7649462,12.825786,21.725111
Константиновка,2019,1,-3.650094,13.948923,24.360659
Константиновка,2019,2,-0.786622,12.417611,21.303318
Константиновка,2019,3,3.820739,13.204321,22.377995
Константиновка,2019,4,10.274097,10.590949,18.09649
Константиновка,2019,5,18.160389,11.045378,18.919508
Константиновка,2019,6,23.989998,12.088439,20.568155
Константиновка,2019,7,21.39137,8.84452,14.691189
Константиновка,2019,8,20.728064,10.9372015,19.369564
Константиновка,2019,9,15.861597,11.0898285,19.93042
Константиновка,2019,10,11.213951,9.777657,17.34381
Константиновка,2019,11,4.2206945,14.723424,25.417358
Константиновка,2019,12,2.1163712,12.392435,21.77942
Константиновка,2020,1,0.27047044,12.210725,20.821417
Константиновка,2020,2,-0.046738505,14.79352,25.627184
Константиновка,2020,3,6.4437227,14.353533,24.636118
Константиновка,2020,4,8.656667,14.00734,23.515373
Константиновка,2020,5,14.108776,11.839861,19.567533
Константиновка,2020,6,22.64104,11.556196,19.649187
Константиновка,2020,7,23.746008,10.477482,17.644594
Константиновка,2020,8,21.731558,9.317318,16.10844
Константиновка,2020,9,19.17243,12.869365,22.172571
Константиновка,2020,10,13.724973,12.617502,22.424974
Константиновка,2020,11,3.1067362,11.606265,19.935863
Константиновка,2020,12,-2.1888037,14.438598,24.590815
Константиновка,2021,1,-1.7317474,13.620839,23.869648
Константиновка,2021,2,-2.5435417,13.411125,22.319113
Константиновка,2021,3,1.0538038,12.726793,21.68921
Константиновка,2021,4,8.521042,10.801556,18.245245
Константиновка,2021,5,16.605282,12.173597,20.010517
Константиновка,2021,6,20.602846,11.302642,19.255516
Константиновка,2021,7,24.608307,9.837951,17.131544
Константиновка,2021,8,23.783913,9.137119,15.990418
Константиновка,2021,9,13.8975,10.150832,17.347275
Константиновка,2021,10,8.057836,12.82821,22.771128
Константиновка,2021,11,4.087708,12.121495,21.730158
Константиновка,2021,12,-0.5677688,12.81775,21.94159
Константиновка,2022,1,-2.5509005,14.972247,25.680418
Константиновка,2022,2,1.4147917,12.418316,22.189175
Константиновка,2022,3,0.30185482,13.712249,22.567225
Константиновка,2022,4,11.168611,12.673172,21.722553
Константиновка,2022,5,14.252057,12.370196,20.785542
Константиновка,2022,6,21.73118,9.760064,16.354067
Константиновка,2022,7,22.225712,10.181833,17.013445
Константиновка,2022,8,24.793856,13.736266,23.521095
Константиновка,2022,9,14.60111,11.840471,20.641205
Константиновка,2022,10,10.084045,12.933367,22.77451
Константиновка,2022,11,3.9520137,12.066304,20.679728
Константиновка,2022,12,0.11563174,15.468918,26.772392
Константиновка,2023,1,-1.7439113,13.769762,23.856907
Константиновка,2023,2,-1.8264285,13.699944,23.059183
Константиновка,2023,3,5.2793417,13.165971,22.233002
Константиновка,2023,4,10.133958,13.077231,22.308823
Константиновка,2023,5,15.13969,10.182126,16.977749
Константиновка,2023,6,18.980139,11.283032,19.078884
Константиновка,2023,7,21.868319,11.089059,18.905989
Константиновка,2023,8,23.454744,9.860502,17.370142
Константиновка,2023,9,17.696806,10.690164,19.326254
Константиновка,2023,10,10.943723,13.910736,24.086071
Константиновка,2023,11,6.603617,15.223085,25.957434
