city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Корсаков,2017,1,-9.417406,13.347074,22.40793
Корсаков,2017,2,-7.269717,13.159618,23.021372
Корсаков,2017,3,-3.3254035,10.470475,17.292639
Корсаков,2017,4,1.9668751,14.538512,23.696531
Корсаков,2017,5,7.415793,13.702714,21.712627
Корсаков,2017,6,9.777083,15.4770355,23.788319
Корсаков,2017,7,16.241667,12.612028,19.576296
Корсаков,2017,8,16.8541,13.232216,19.763525
Корсаков,2017,9,14.718612,14.314938,23.059517
Корсаков,2017,10,6.9192204,14.637674,23.502052
Корсаков,2017,11,-0.106736116,17.083467,26.592085
Корсаков,2017,12,-6.457661,14.9682,24.19797
Корсаков,2018,1,-8.333064,13.415685,22.18907
Корсаков,2018,2,-10.87128,11.733042,19.969074
Корсаков,2018,3,-3.360484,15.227549,25.775131
Корсаков,2018,4,2.2172222,13.725965,24.098043
Корсаков,2018,5,7.021573,12.121074,19.423313
Корсаков,2018,6,10.509932,14.999548,23.314775
Корсаков,2018,7,14.598521,12.08342,18.560184
Корсаков,2018,8,16.5625,12.483888,18.754944
Корсаков,2018,9,14.9825,15.166535,24.261255
Корсаков,2018,10,10.044221,16.494556,26.636305
Корсаков,2018,11,1.9927083,14.830649,23.57219
Корсаков,2018,12,-5.7295694,16.743956,26.287132
Корсаков,2019,1,-8.815591,14.263277,23.60982
Корсаков,2019,2,-9.343899,11.632245,19.69546
Корсаков,2019,3,-3.7651882,14.211927,23.173424
Корсаков,2019,4,2.8197222,12.316828,20.049042
Корсаков,2019,5,9.621707,13.005665,21.386839
Корсаков,2019,6,11.387222,13.295045,19.845701
Корсаков,2019,7,15.554301,12.081521,18.173578
Корсаков,2019,8,16.116667,14.505988,21.930668
Корсаков,2019,9,15.026598,13.913044,22.501059
Корсаков,2019,10,9.322043,16.34033,26.346952
Корсаков,2019,11,-0.11881948,21.200886,32.351788
Корсаков,2019,12,-6.0734544,18.000008,28.301247
Корсаков,2020,1,-8.302352,13.851074,23.010681
Корсаков,2020,2,-8.816379,12.299781,20.3674
Корсаков,2020,3,-2.2231183,16.208061,27.541035
Корсаков,2020,4,1.5599306,13.553708,22.332573
Корсаков,2020,5,7.1399193,11.741043,18.916798
Корсаков,2020,6,11.779028,12.374926,18.797102
Корсаков,2020,7,15.79496,12.197666,18.337252
Корсаков,2020,8,17.013643,13.889251,21.400463
Корсаков,2020,9,15.600069,12.7720375,20.579786
Корсаков,2020,10,9.647849,16.783327,26.644411
Корсаков,2020,11,1.413611,17.21658,26.700653
Корсаков,2020,12,-7.3538976,13.71063,21.950127
Корсаков,2021,1,-11.285954,15.262299,24.655651
Корсаков,2021,2,-7.738467,14.312844,23.83126
Корсаков,2021,3,-1.8260081,14.313616,24.42486
Корсаков,2021,4,2.6452081,17.14681,27.913721
Корсаков,2021,5,6.077957,14.116997,22.23243
Корсаков,2021,6,12.005417,14.836218,23.039223
Корсаков,2021,7,18.888039,11.5304365,17.8147
Корсаков,2021,8,17.528831,13.514553,20.352554
Корсаков,2021,9,15.229861,12.144066,19.641378
Корсаков,2021,10,8.667003,15.458333,24.39537
Корсаков,2021,11,3.1924307,15.985315,25.594482
Корсаков,2021,12,-4.7556453,17.182854,27.022894
Корсаков,2022,1,-8.495699,14.397545,24.387562
Корсаков,2022,2,-7.5078864,15.116447,25.459827
Корсаков,2022,3,-2.1861558,14.388252,24.023851
Корсаков,2022,4,3.3830557,18.0846,29.600466
Корсаков,2022,5,7.7539654,16.66342,26.27057
Корсаков,2022,6,10.415556,13.130702,19.674803
Корсаков,2022,7,16.947514,13.602564,20.249102
Корсаков,2022,8,18.625538,14.653101,22.988268
Корсаков,2022,9,15.82368,15.439067,25.139496
Корсаков,2022,10,8.7071905,15.211021,24.360447
Корсаков,2022,11,1.4614583,16.577925,26.155966
Корсаков,2022,12,-5.697177,18.016525,28.023216
Корсаков,2023,1,-11.858938,13.727421,22.91319
Корсаков,2023,2,-10.403943,10.484147,17.603642
Корсаков,2023,3,-0.46787634,14.66628,25.220354
Корсаков,2023,4,2.8820834,16.248,26.47658
Корсаков,2023,5,7.7791667,13.618306,22.36956
Корсаков,2023,6,12.835903,12.430702,19.544302
Корсаков,2023,7,17.502419,12.96281,20.01511
Корсаков,2023,8,18.78004,15.190858,24.09631
Корсаков,2023,9,17.368334,12.466774,19.905924
Корсаков,2023,10,10.345968,15.929645,25.830454
Корсаков,2023,11,3.599716,17.992702,28.37027
