city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Курильск,2017,1,-5.468527,13.902911,23.893066
Курильск,2017,2,-4.5487976,16.177795,27.35436
Курильск,2017,3,-3.188352,13.507585,22.855812
Курильск,2017,4,1.6112224,13.6589575,23.964077
Курильск,2017,5,8.079323,8.789772,15.451009
Курильск,2017,6,10.584486,11.584106,19.426136
Курильск,2017,7,17.068233,8.236909,13.843322
Курильск,2017,8,15.850021,9.784993,16.15328
Курильск,2017,9,14.0515,12.843221,22.110664
Курильск,2017,10,8.038664,16.41254,27.499086
Курильск,2017,11,3.3763611,18.660858,31.64496
Курильск,2017,12,-2.1293468,19.806854,33.08046
Курильск,2018,1,-4.2184596,15.465318,26.615192
Курильск,2018,2,-6.1486487,14.75647,25.349955
Курильск,2018,3,-2.0640242,15.537552,27.066408
Курильск,2018,4,2.0351112,13.519008,24.668592
Курильск,2018,5,7.17818,12.132378,20.405975
Курильск,2018,6,11.201986,11.080244,18.62426
Курильск,2018,7,15.015008,9.301624,14.930776
Курильск,2018,8,14.813664,11.535928,19.344547
Курильск,2018,9,14.724138,11.822816,20.655066
Курильск,2018,10,10.504793,13.043325,22.654888
Курильск,2018,11,4.8330975,15.969901,26.850616
Курильск,2018,12,-1.3126129,20.339262,33.770874
Курильск,2019,1,-5.041242,17.36051,29.143549
Курильск,2019,2,-7.2352557,15.214287,26.248503
Курильск,2019,3,-3.2673845,14.341298,24.911587
Курильск,2019,4,1.294,13.192147,23.166723
Курильск,2019,5,10.434699,13.354249,23.291035
Курильск,2019,6,11.993167,10.686627,17.127958
Курильск,2019,7,15.998745,9.810422,16.046486
Курильск,2019,8,15.315478,10.072296,16.752493
Курильск,2019,9,15.440874,12.738719,21.87831
Курильск,2019,10,10.891755,14.908694,25.573765
Курильск,2019,11,2.9418473,20.478584,33.62384
Курильск,2019,12,-1.4966183,20.971302,34.17026
Курильск,2020,1,-4.957707,15.881647,26.609676
Курильск,2020,2,-5.4889455,14.964949,25.243824
Курильск,2020,3,-0.94735754,15.530131,27.36785
Курильск,2020,4,1.5601807,11.646487,20.649544
Курильск,2020,5,7.1519704,11.653172,19.621872
Курильск,2020,6,12.708513,10.657408,17.585724
Курильск,2020,7,15.178247,7.766962,12.204465
Курильск,2020,8,17.27576,10.18403,17.466173
Курильск,2020,9,15.984278,10.726529,18.377474
Курильск,2020,10,10.526096,13.519796,23.398027
Курильск,2020,11,4.2776804,17.270779,28.702513
Курильск,2020,12,-2.8405027,18.759104,31.035877
Курильск,2021,1,-5.959992,16.547012,28.075668
Курильск,2021,2,-4.766357,18.173717,30.313892
Курильск,2021,3,-0.6831774,15.224522,26.983156
Курильск,2021,4,2.1232362,14.325151,25.610987
Курильск,2021,5,7.6406803,12.914767,21.07044
Курильск,2021,6,12.6003895,8.860818,13.72624
Курильск,2021,7,19.054792,8.409244,13.68194
Курильск,2021,8,16.313192,11.322563,19.025581
Курильск,2021,9,14.050249,11.5647545,19.743502
Курильск,2021,10,10.044578,13.454109,22.946358
Курильск,2021,11,5.1879582,15.215079,26.118519
Курильск,2021,12,-0.53573114,16.967838,28.547525
Курильск,2022,1,-3.762613,15.581669,26.302013
Курильск,2022,2,-4.3659854,18.087763,29.62151
Курильск,2022,3,-1.4679892,14.548975,25.177063
Курильск,2022,4,4.11782,14.255721,24.055002
Курильск,2022,5,9.58517,14.998165,25.855017
Курильск,2022,6,10.618306,11.566884,18.959913
Курильск,2022,7,16.823812,9.333889,14.905197
Курильск,2022,8,17.933691,11.936736,20.812742
Курильск,2022,9,16.238932,11.013894,19.316061
Курильск,2022,10,9.865412,12.9197,22.141998
Курильск,2022,11,4.657889,16.350147,27.403
Курильск,2022,12,-1.7128818,18.213142,30.490202
Курильск,2023,1,-6.5111346,16.070612,26.684803
Курильск,2023,2,-6.287488,14.7348995,24.921225
Курильск,2023,3,1.0205861,13.605642,24.729107
Курильск,2023,4,3.152264,15.50144,27.579834
Курильск,2023,5,7.9349003,12.1467495,20.41593
Курильск,2023,6,13.274417,10.77327,17.46456
Курильск,2023,7,15.999551,9.059084,15.682363
Курильск,2023,8,18.598475,11.620418,19.817865
Курильск,2023,9,17.619764,11.1928425,18.152859
Курильск,2023,10,11.4927635,16.444948,26.697386
Курильск,2023,11,7.2332234,18.865782,30.72874
