city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Лаврентия,2017,1,-13.709644,21.5263,30.506556
Лаврентия,2017,2,-17.583464,16.60593,24.178122
Лаврентия,2017,3,-14.643718,8.801109,13.126876
Лаврентия,2017,4,-4.938028,16.49463,23.624414
Лаврентия,2017,5,-0.34398654,11.798566,16.260927
Лаврентия,2017,6,8.061973,14.576409,20.51759
Лаврентия,2017,7,9.483634,13.067611,18.772047
Лаврентия,2017,8,7.3069544,14.444664,21.318064
Лаврентия,2017,9,4.488431,13.174661,20.756832
Лаврентия,2017,10,0.08773392,18.253897,28.379004
Лаврентия,2017,11,-3.3687222,22.840899,33.910564
Лаврентия,2017,12,-4.886191,26.271164,35.783398
Лаврентия,2018,1,-12.509578,17.361198,23.645802
Лаврентия,2018,2,-7.397303,21.342594,30.441746
Лаврентия,2018,3,-10.711459,19.56773,27.645687
Лаврентия,2018,4,-4.7758055,22.83336,32.86985
Лаврентия,2018,5,-0.99660754,15.005475,20.411613
Лаврентия,2018,6,5.569889,13.674428,19.665934
Лаврентия,2018,7,8.668312,13.369012,18.320057
Лаврентия,2018,8,8.977048,13.259041,19.297739
Лаврентия,2018,9,8.566139,15.435447,23.745342
Лаврентия,2018,10,3.58518,21.94145,33.724487
Лаврентия,2018,11,-2.586014,22.290077,34.221844
Лаврентия,2018,12,-15.225774,26.901909,34.884163
Лаврентия,2019,1,-16.85521,20.471685,30.29248
Лаврентия,2019,2,-6.0223036,24.07629,35.7565
Лаврентия,2019,3,-7.8458686,26.515331,36.90423
Лаврентия,2019,4,-6.8660836,19.972935,26.972391
Лаврентия,2019,5,0.38020697,13.8673315,19.88277
Лаврентия,2019,6,8.975167,11.859176,16.296938
Лаврентия,2019,7,10.782962,13.583298,18.8879
Лаврентия,2019,8,9.176174,12.559397,18.33528
Лаврентия,2019,9,6.609611,14.951436,23.01637
Лаврентия,2019,10,0.37429306,17.843508,28.039272
Лаврентия,2019,11,-4.024139,22.087587,34.54828
Лаврентия,2019,12,-9.028933,26.40212,35.89603
Лаврентия,2020,1,-18.643784,18.817558,26.04913
Лаврентия,2020,2,-22.356369,21.71509,29.635588
Лаврентия,2020,3,-10.43189,17.96203,26.123583
Лаврентия,2020,4,-7.268653,14.883445,21.607502
Лаврентия,2020,5,0.5498979,16.326145,23.96125
Лаврентия,2020,6,7.1339865,13.124409,17.581982
Лаврентия,2020,7,8.229535,12.177955,16.51856
Лаврентия,2020,8,8.807089,12.628006,18.074823
Лаврентия,2020,9,5.118917,14.934867,22.635365
Лаврентия,2020,10,1.4415646,17.738777,27.487198
Лаврентия,2020,11,-2.1910138,21.952253,33.23504
Лаврентия,2020,12,-9.746742,26.364838,36.039787
Лаврентия,2021,1,-17.636795,23.330236,30.615208
Лаврентия,2021,2,-20.466797,24.965097,35.99978
Лаврентия,2021,3,-16.508839,19.881435,29.249544
Лаврентия,2021,4,-9.049486,14.741378,21.273783
Лаврентия,2021,5,-0.010317185,15.072394,21.4707
Лаврентия,2021,6,4.739681,14.654179,20.278759
Лаврентия,2021,7,7.1625996,14.848727,21.26958
Лаврентия,2021,8,6.9863896,15.172337,22.31526
Лаврентия,2021,9,3.2029445,15.138292,22.615753
Лаврентия,2021,10,-2.889551,16.54126,25.961155
Лаврентия,2021,11,-11.451778,21.001474,28.436754
Лаврентия,2021,12,-15.748623,24.018515,33.802757
Лаврентия,2022,1,-18.632494,20.594395,27.710396
Лаврентия,2022,2,-16.560919,27.711193,39.716393
Лаврентия,2022,3,-11.530142,16.5322,23.840946
Лаврентия,2022,4,-6.040111,18.542936,26.103258
Лаврентия,2022,5,0.45809677,13.868429,19.491058
Лаврентия,2022,6,4.756347,17.085146,24.1864
Лаврентия,2022,7,7.118312,14.733884,20.329351
Лаврентия,2022,8,6.5136747,15.001291,21.542488
Лаврентия,2022,9,5.458361,18.214277,27.165804
Лаврентия,2022,10,-1.2350484,16.208803,25.155958
Лаврентия,2022,11,-5.802403,22.90692,32.24187
Лаврентия,2022,12,-8.942373,25.566883,35.693703
Лаврентия,2023,1,-17.015425,23.622725,31.07555
Лаврентия,2023,2,-18.886515,19.059532,26.225824
Лаврентия,2023,3,-12.714551,19.639622,28.28374
Лаврентия,2023,4,-13.440042,15.023706,20.745298
Лаврентия,2023,5,-1.7521855,15.081553,20.183672
Лаврентия,2023,6,4.261764,12.758388,17.979713
Лаврентия,2023,7,8.67436,10.516549,14.068026
Лаврентия,2023,8,7.800973,15.070473,21.552341
Лаврентия,2023,9,4.231625,13.776648,20.690065
Лаврентия,2023,10,0.05574462,17.829628,27.918324
Лаврентия,2023,11,-4.4119544,20.338226,31.3718
