city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Магадан,2017,1,-18.429066,11.211918,17.082676
Магадан,2017,2,-11.578776,15.714048,27.399687
Магадан,2017,3,-4.181285,13.93383,23.352882
Магадан,2017,4,-1.9465694,11.567029,18.029013
Магадан,2017,5,3.7060134,10.328682,14.728652
Магадан,2017,6,9.923153,9.882705,13.6873
Магадан,2017,7,13.326108,9.4848175,13.531369
Магадан,2017,8,13.751914,10.414722,15.360597
Магадан,2017,9,9.933708,13.458628,21.08306
Магадан,2017,10,-2.187871,13.879263,22.539236
Магадан,2017,11,-10.571847,18.370533,25.82312
Магадан,2017,12,-16.984041,18.876543,27.17595
Магадан,2018,1,-15.662468,14.115771,20.821447
Магадан,2018,2,-12.551544,14.632715,22.74263
Магадан,2018,3,-14.422213,13.071973,20.23066
Магадан,2018,4,-3.5212224,13.527422,20.347288
Магадан,2018,5,3.145328,9.538449,14.341457
Магадан,2018,6,8.995444,11.064867,15.74528
Магадан,2018,7,13.925503,8.016441,10.777671
Магадан,2018,8,13.265691,9.006204,13.436757
Магадан,2018,9,8.861347,12.527908,19.38857
Магадан,2018,10,1.1546022,11.095668,18.747303
Магадан,2018,11,-8.78275,19.480927,31.54997
Магадан,2018,12,-13.613006,18.58117,29.907152
Магадан,2019,1,-15.394928,12.162108,21.671598
Магадан,2019,2,-19.902288,12.02011,19.092918
Магадан,2019,3,-12.594053,10.221348,16.288446
Магадан,2019,4,-0.5066389,12.244597,19.079296
Магадан,2019,5,5.4073577,11.43214,17.514013
Магадан,2019,6,9.154403,9.319915,13.477809
Магадан,2019,7,11.877316,8.063847,11.182209
Магадан,2019,8,13.797143,8.943025,13.312925
Магадан,2019,9,8.6444025,12.982004,20.824072
Магадан,2019,10,-0.15050538,11.86689,19.571682
Магадан,2019,11,-5.9693475,21.548445,34.453976
Магадан,2019,12,-17.54197,18.470879,30.877226
Магадан,2020,1,-16.049498,12.554011,20.319374
Магадан,2020,2,-17.0915,10.046693,17.470297
Магадан,2020,3,-9.783839,14.062336,22.21119
Магадан,2020,4,-5.8642783,10.896617,15.851584
Магадан,2020,5,4.488003,12.229781,18.356562
Магадан,2020,6,10.461486,7.573183,10.192679
Магадан,2020,7,13.378796,8.195126,11.372896
Магадан,2020,8,12.989011,9.51414,14.587807
Магадан,2020,9,9.023222,9.128593,15.490219
Магадан,2020,10,2.150234,12.496536,20.989346
Магадан,2020,11,-11.842056,14.449289,25.946516
Магадан,2020,12,-17.224566,17.847715,26.896154
Магадан,2021,1,-19.945332,12.461713,20.953976
Магадан,2021,2,-12.795369,17.589804,28.824545
Магадан,2021,3,-12.480008,11.915251,18.74794
Магадан,2021,4,-5.5589304,13.244282,21.088785
Магадан,2021,5,2.6102474,9.547129,13.57869
Магадан,2021,6,9.966486,8.082428,11.273697
Магадан,2021,7,13.434508,9.9999275,14.563906
Магадан,2021,8,13.443245,8.258425,12.148337
Магадан,2021,9,7.882528,11.261915,17.645866
Магадан,2021,10,-2.0478172,11.774097,19.031713
Магадан,2021,11,-6.493236,16.395054,25.04786
Магадан,2021,12,-17.738276,21.512293,32.347004
Магадан,2022,1,-13.360787,16.046707,25.9449
Магадан,2022,2,-14.204149,13.5804825,21.874155
Магадан,2022,3,-8.649161,14.901303,23.435406
Магадан,2022,4,-5.435875,12.356052,18.977077
Магадан,2022,5,2.3505027,12.844981,19.112724
Магадан,2022,6,6.43468,6.6719317,8.556449
Магадан,2022,7,15.08135,8.011005,11.335227
Магадан,2022,8,13.661188,12.809165,19.71383
Магадан,2022,9,7.7703056,14.194239,22.466532
Магадан,2022,10,-3.5334353,11.290148,18.04441
Магадан,2022,11,-11.22025,18.429628,27.149956
Магадан,2022,12,-14.065827,18.16567,27.124971
Магадан,2023,1,-18.002993,19.784487,29.83879
Магадан,2023,2,-18.639492,12.799744,18.693338
Магадан,2023,3,-12.773893,11.959821,17.302889
Магадан,2023,4,-3.653861,16.378834,25.220104
Магадан,2023,5,2.9284596,11.259828,16.389372
Магадан,2023,6,10.671903,7.078388,9.075978
Магадан,2023,7,14.983971,7.70024,10.837072
Магадан,2023,8,14.124092,8.5778055,13.450773
Магадан,2023,9,7.4932914,12.752417,19.6546
Магадан,2023,10,0.5934462,10.817092,17.754763
Магадан,2023,11,-13.1571245,14.821544,22.52419
