city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Магдагачи,2017,1,-22.756433,9.6820135,19.150223
Магдагачи,2017,2,-15.961597,10.620916,20.681065
Магдагачи,2017,3,-4.9360723,10.0475645,18.454617
Магдагачи,2017,4,2.3268194,12.855081,22.655882
Магдагачи,2017,5,9.31507,10.787435,19.221092
Магдагачи,2017,6,18.452583,9.326015,16.526577
Магдагачи,2017,7,20.001362,8.829441,15.859078
Магдагачи,2017,8,17.310299,8.797385,15.999135
Магдагачи,2017,9,10.214042,10.980757,20.009153
Магдагачи,2017,10,-2.086543,9.934471,18.138885
Магдагачи,2017,11,-14.977346,10.152941,18.556417
Магдагачи,2017,12,-23.552942,8.77371,17.88859
Магдагачи,2018,1,-24.5309,9.97769,19.683672
Магдагачи,2018,2,-22.155497,8.940638,16.618282
Магдагачи,2018,3,-9.432578,10.818657,19.64272
Магдагачи,2018,4,2.175778,12.785458,22.717783
Магдагачи,2018,5,11.094573,9.499329,17.333612
Магдагачи,2018,6,15.549875,8.52264,15.269913
Магдагачи,2018,7,18.861307,9.059795,16.4212
Магдагачи,2018,8,17.345179,7.2472696,13.3823
Магдагачи,2018,9,10.032653,11.702067,21.353416
Магдагачи,2018,10,2.185433,10.357431,19.713099
Магдагачи,2018,11,-13.156305,9.351526,17.33356
Магдагачи,2018,12,-24.73641,10.211819,20.794592
Магдагачи,2019,1,-21.240238,9.241956,19.032345
Магдагачи,2019,2,-17.530422,10.345578,20.431973
Магдагачи,2019,3,-8.663962,9.631652,18.300966
Магдагачи,2019,4,1.4309862,10.8521185,19.869904
Магдагачи,2019,5,9.148538,11.776023,21.2044
Магдагачи,2019,6,17.12064,8.156795,14.316503
Магдагачи,2019,7,18.500353,8.424796,14.919492
Магдагачи,2019,8,16.980795,8.479572,15.242815
Магдагачи,2019,9,9.546611,10.547029,19.304771
Магдагачи,2019,10,-0.5525377,9.533366,17.806297
Магдагачи,2019,11,-17.533943,11.770094,22.787622
Магдагачи,2019,12,-25.821087,8.687764,18.10987
Магдагачи,2020,1,-22.456032,7.451029,14.362037
Магдагачи,2020,2,-16.44187,8.81182,17.18767
Магдагачи,2020,3,-8.288022,9.141413,17.441986
Магдагачи,2020,4,2.1696668,11.917724,21.647106
Магдагачи,2020,5,9.720648,10.528021,18.81734
Магдагачи,2020,6,15.573556,8.504337,15.04071
Магдагачи,2020,7,22.339062,8.652444,15.513429
Магдагачи,2020,8,15.062315,10.635219,19.459562
Магдагачи,2020,9,12.042236,9.811319,18.078686
Магдагачи,2020,10,0.30962634,10.823634,19.852875
Магдагачи,2020,11,-12.882833,10.492005,20.947245
Магдагачи,2020,12,-23.537348,9.407935,19.219543
Магдагачи,2021,1,-27.50341,8.29219,16.455643
Магдагачи,2021,2,-20.629751,10.5343485,20.299067
Магдагачи,2021,3,-8.580091,9.63501,18.773235
Магдагачи,2021,4,-0.2931805,11.863445,21.572676
Магдагачи,2021,5,7.429653,10.6190815,18.951336
Магдагачи,2021,6,18.104042,8.945929,16.099134
Магдагачи,2021,7,20.775957,8.485972,14.876937
Магдагачи,2021,8,16.679317,8.981134,16.139639
Магдагачи,2021,9,11.406889,9.351509,17.109945
Магдагачи,2021,10,-0.30656987,9.675123,18.037714
Магдагачи,2021,11,-8.811652,10.264797,18.983538
Магдагачи,2021,12,-21.486677,9.073288,17.307436
Магдагачи,2022,1,-22.585064,8.927441,17.192703
Магдагачи,2022,2,-16.719486,9.855858,18.458855
Магдагачи,2022,3,-8.3288145,10.201961,19.335154
Магдагачи,2022,4,0.94320834,11.369189,20.221052
Магдагачи,2022,5,8.644304,11.437954,20.781004
Магдагачи,2022,6,17.913208,7.500879,13.543329
Магдагачи,2022,7,21.500217,7.861684,13.945063
Магдагачи,2022,8,15.588995,8.52163,15.45287
Магдагачи,2022,9,8.8578615,10.069133,18.448727
Магдагачи,2022,10,-0.4909113,9.973726,18.701267
Магдагачи,2022,11,-14.658596,9.214872,18.54438
Магдагачи,2022,12,-23.712687,9.560579,19.935276
Магдагачи,2023,1,-28.788492,8.468117,16.678343
Магдагачи,2023,2,-18.414574,8.49152,16.392696
Магдагачи,2023,3,-6.3161798,10.608117,20.49013
Магдагачи,2023,4,-0.057208303,11.095941,20.920603
Магдагачи,2023,5,9.312382,11.372964,20.405474
Магдагачи,2023,6,16.446404,9.798095,17.42764
Магдагачи,2023,7,21.500689,7.146927,13.029503
Магдагачи,2023,8,17.758417,7.8141274,14.12735
Магдагачи,2023,9,9.6629305,10.410033,19.226072
Магдагачи,2023,10,1.7959839,10.989864,20.585657
Магдагачи,2023,11,-9.864974,9.689164,18.209888
