city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Макаров,2017,1,-12.232989,12.177601,22.23676
Макаров,2017,2,-9.07228,13.5752735,24.433914
Макаров,2017,3,-3.9313765,9.811763,17.129038
Макаров,2017,4,0.61538893,11.399924,19.60612
Макаров,2017,5,7.3254113,10.853445,18.318382
Макаров,2017,6,10.247334,10.314772,16.501099
Макаров,2017,7,17.126621,8.765755,14.160391
Макаров,2017,8,16.263113,9.476812,15.447272
Макаров,2017,9,13.9013605,11.235898,19.683237
Макаров,2017,10,4.7578034,12.332897,21.84527
Макаров,2017,11,-4.265514,13.135469,23.771736
Макаров,2017,12,-10.686887,14.823856,27.17299
Макаров,2018,1,-13.443876,12.467847,23.366621
Макаров,2018,2,-13.794972,10.906523,20.073923
Макаров,2018,3,-5.882317,12.816434,23.326757
Макаров,2018,4,1.6644862,12.918013,23.326052
Макаров,2018,5,6.8984623,10.881642,18.537697
Макаров,2018,6,10.160181,11.231073,18.429138
Макаров,2018,7,14.615061,8.750301,14.080765
Макаров,2018,8,15.751688,7.779413,12.816141
Макаров,2018,9,13.823722,12.459258,21.942183
Макаров,2018,10,7.9373064,11.929028,21.630533
Макаров,2018,11,-0.4508611,12.239125,21.580833
Макаров,2018,12,-10.004495,14.215604,25.891436
Макаров,2019,1,-11.948714,13.006355,24.153963
Макаров,2019,2,-13.235227,11.605499,21.563686
Макаров,2019,3,-5.9592657,11.469674,20.297567
Макаров,2019,4,2.0900416,9.735642,17.315977
Макаров,2019,5,8.824403,10.243113,17.585796
Макаров,2019,6,10.3498335,9.331654,14.98902
Макаров,2019,7,14.896111,8.802111,14.583402
Макаров,2019,8,14.924,9.856558,16.153032
Макаров,2019,9,14.255736,12.490157,21.915419
Макаров,2019,10,7.3125753,12.892187,23.408518
Макаров,2019,11,-3.0304444,16.005913,28.110607
Макаров,2019,12,-11.324455,14.1136055,26.193336
Макаров,2020,1,-11.751,13.437189,24.72802
Макаров,2020,2,-11.027796,10.923572,20.062439
Макаров,2020,3,-3.3731103,12.473019,22.21005
Макаров,2020,4,1.0364306,11.886308,20.90478
Макаров,2020,5,6.7804513,10.150252,17.934374
Макаров,2020,6,9.973236,9.670972,15.63148
Макаров,2020,7,15.49564,9.336639,14.912192
Макаров,2020,8,15.889323,11.121749,18.6465
Макаров,2020,9,14.413513,8.826067,15.288035
Макаров,2020,10,7.730384,11.983687,21.419333
Макаров,2020,11,-1.2450278,12.286021,21.563147
Макаров,2020,12,-10.477815,12.591155,22.48759
Макаров,2021,1,-15.948111,11.929987,22.05226
Макаров,2021,2,-9.964913,15.496706,27.617155
Макаров,2021,3,-3.2821157,11.431652,20.452635
Макаров,2021,4,1.9428889,12.525483,22.483955
Макаров,2021,5,5.807266,11.466627,19.790869
Макаров,2021,6,12.383861,10.981245,18.252787
Макаров,2021,7,20.130787,10.907349,18.055357
Макаров,2021,8,16.472252,9.481785,15.321013
Макаров,2021,9,14.479833,10.808515,19.022581
Макаров,2021,10,6.35982,11.865983,21.380238
Макаров,2021,11,0.18045834,11.816368,21.262241
Макаров,2021,12,-9.333191,14.605025,27.25072
Макаров,2022,1,-11.336887,15.235581,28.152042
Макаров,2022,2,-9.396387,17.146866,30.188988
Макаров,2022,3,-3.625597,11.357941,20.09565
Макаров,2022,4,1.7368473,14.675776,26.070532
Макаров,2022,5,5.7359624,11.06672,19.0126
Макаров,2022,6,9.74886,9.904783,15.8735695
Макаров,2022,7,16.81654,10.026389,16.446926
Макаров,2022,8,17.711903,11.163507,19.042301
Макаров,2022,9,15.028584,12.957708,22.898008
Макаров,2022,10,6.45693,11.342436,20.068668
Макаров,2022,11,-1.2281528,12.341502,21.816582
Макаров,2022,12,-10.295288,13.215245,24.287003
Макаров,2023,1,-16.382318,15.42055,27.943094
Макаров,2023,2,-13.41097,9.787321,17.799995
Макаров,2023,3,-1.791793,11.534127,21.218746
Макаров,2023,4,2.0126805,13.358931,23.441517
Макаров,2023,5,7.331393,12.514387,21.40555
Макаров,2023,6,12.634277,8.140065,13.015746
Макаров,2023,7,17.23092,7.8903437,12.555727
Макаров,2023,8,17.66728,8.696372,14.421576
Макаров,2023,9,15.533514,10.4973135,18.199905
Макаров,2023,10,7.9797797,11.873307,21.01552
Макаров,2023,11,-1.2086704,12.637113,23.123898
