city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Мильково,2017,1,-17.992567,7.0263805,12.597872
Мильково,2017,2,-8.4363985,9.900194,18.55624
Мильково,2017,3,-2.3095026,9.078112,16.63949
Мильково,2017,4,-0.9359723,9.038814,16.388721
Мильково,2017,5,4.6265187,7.065286,12.190806
Мильково,2017,6,11.370417,6.470647,11.176066
Мильково,2017,7,15.83082,6.007708,10.352721
Мильково,2017,8,15.901452,5.2698727,9.432349
Мильково,2017,9,9.8425,6.759912,12.046018
Мильково,2017,10,1.0641532,8.370127,15.663048
Мильково,2017,11,-5.852361,10.091241,19.420647
Мильково,2017,12,-13.08793,9.681449,18.666122
Мильково,2018,1,-14.017903,7.2588305,13.594388
Мильково,2018,2,-8.774792,7.7584677,14.566567
Мильково,2018,3,-8.537863,9.572582,18.050678
Мильково,2018,4,-1.5282638,7.881347,14.560076
Мильково,2018,5,4.76664,7.133077,12.710279
Мильково,2018,6,10.544306,6.5204296,11.177477
Мильково,2018,7,16.839422,5.7017035,10.236562
Мильково,2018,8,12.598764,5.802454,10.20201
Мильково,2018,9,9.04875,6.9836392,12.48675
Мильково,2018,10,3.060457,6.67176,12.219901
Мильково,2018,11,-4.652222,8.066647,15.039516
Мильково,2018,12,-13.956613,8.808398,16.570036
Мильково,2019,1,-16.04223,6.213482,11.081324
Мильково,2019,2,-14.390043,7.60048,14.178942
Мильково,2019,3,-9.183966,7.430221,13.207635
Мильково,2019,4,-0.35534722,8.267145,14.405077
Мильково,2019,5,7.3638844,6.9066353,11.872332
Мильково,2019,6,10.138264,6.5724554,11.416671
Мильково,2019,7,15.365027,5.525727,9.481044
Мильково,2019,8,14.373361,6.1808734,10.791765
Мильково,2019,9,8.912639,7.0741606,12.829426
Мильково,2019,10,1.9888843,8.767087,16.112062
Мильково,2019,11,-4.2727084,9.820395,18.551954
Мильково,2019,12,-12.753185,8.032884,15.659955
Мильково,2020,1,-11.814812,7.0231276,13.595728
Мильково,2020,2,-14.283951,5.5919275,9.612045
Мильково,2020,3,-5.5286555,9.498166,17.350023
Мильково,2020,4,-1.390764,7.9247537,13.996662
Мильково,2020,5,5.097151,8.661576,14.671913
Мильково,2020,6,15.025487,5.3677955,8.968065
Мильково,2020,7,16.47047,5.7972493,10.119445
Мильково,2020,8,12.21543,6.4850016,11.678616
Мильково,2020,9,8.365347,6.6485567,12.139311
Мильково,2020,10,2.6695967,8.11436,15.034488
Мильково,2020,11,-3.898472,9.010516,16.737625
Мильково,2020,12,-10.835107,5.553809,9.928627
Мильково,2021,1,-15.251506,5.709605,9.847959
Мильково,2021,2,-11.743765,8.207546,15.125178
Мильково,2021,3,-7.3468013,10.131082,18.338276
Мильково,2021,4,-0.2988889,8.515692,15.634105
Мильково,2021,5,5.199973,6.8918915,11.671375
Мильково,2021,6,12.263125,7.064575,12.097474
Мильково,2021,7,17.970337,7.013163,12.4393
Мильково,2021,8,15.05051,5.377811,9.570082
Мильково,2021,9,8.80875,6.713064,12.193269
Мильково,2021,10,1.7966801,9.717457,18.157675
Мильково,2021,11,-4.0225,8.592068,16.104767
Мильково,2021,12,-11.679059,8.76056,16.649925
Мильково,2022,1,-10.672473,6.7047276,12.185986
Мильково,2022,2,-10.400312,7.408533,13.055015
Мильково,2022,3,-5.1472044,8.5912285,15.588515
Мильково,2022,4,-1.6481944,7.6733627,13.983437
Мильково,2022,5,6.310121,6.0809245,10.6491785
Мильково,2022,6,14.982084,6.134089,10.693212
Мильково,2022,7,20.287676,5.7077293,9.956727
Мильково,2022,8,16.292715,7.691659,13.586747
Мильково,2022,9,10.491944,9.430128,16.88113
Мильково,2022,10,2.2361963,10.57057,19.608564
Мильково,2022,11,-4.432847,8.703749,16.27351
Мильково,2022,12,-11.596062,8.598197,15.832182
Мильково,2023,1,-17.667164,7.743095,13.864653
Мильково,2023,2,-16.5239,5.666209,9.593172
Мильково,2023,3,-6.7645426,7.835994,13.860366
Мильково,2023,4,-0.43458337,9.189552,16.967497
Мильково,2023,5,4.492513,6.471234,11.201262
Мильково,2023,6,13.037916,7.0351934,12.459164
Мильково,2023,7,17.145,5.8975167,10.285494
Мильково,2023,8,14.574435,5.2130046,9.050188
Мильково,2023,9,10.226667,9.724444,17.730528
Мильково,2023,10,3.2772582,6.977663,13.179831
Мильково,2023,11,-4.449981,9.069033,17.309292
