city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Нерюнгри,2017,1,-27.512753,8.791773,16.448439
Нерюнгри,2017,2,-21.60959,9.954091,18.430044
Нерюнгри,2017,3,-12.02485,9.684178,17.155949
Нерюнгри,2017,4,-4.079292,11.079627,19.753065
Нерюнгри,2017,5,4.370379,12.268146,20.75177
Нерюнгри,2017,6,14.689112,7.3908854,12.513398
Нерюнгри,2017,7,16.668564,8.987321,15.387329
Нерюнгри,2017,8,13.599478,9.819965,16.862577
Нерюнгри,2017,9,4.8241806,10.654582,18.483635
Нерюнгри,2017,10,-7.505965,9.573986,16.558256
Нерюнгри,2017,11,-22.37832,9.673406,18.205706
Нерюнгри,2017,12,-30.785267,7.972947,15.673584
Нерюнгри,2018,1,-29.546288,10.338936,20.131365
Нерюнгри,2018,2,-26.744635,9.184405,16.925478
Нерюнгри,2018,3,-15.678076,9.882723,17.89049
Нерюнгри,2018,4,-5.8579025,11.460789,20.531239
Нерюнгри,2018,5,7.438054,10.967737,19.012066
Нерюнгри,2018,6,12.275083,7.85619,13.445387
Нерюнгри,2018,7,16.239733,10.077919,17.374783
Нерюнгри,2018,8,13.551293,7.4544625,12.685673
Нерюнгри,2018,9,4.7605696,10.844485,19.157274
Нерюнгри,2018,10,-3.4620807,9.294275,16.549625
Нерюнгри,2018,11,-21.718874,8.288698,16.03917
Нерюнгри,2018,12,-29.642523,10.77356,19.997719
Нерюнгри,2019,1,-28.00207,7.2381105,13.483844
Нерюнгри,2019,2,-21.153786,10.823027,19.589539
Нерюнгри,2019,3,-13.480764,8.661913,15.492302
Нерюнгри,2019,4,-5.03575,9.887241,17.334087
Нерюнгри,2019,5,4.651898,11.582737,19.68589
Нерюнгри,2019,6,13.937028,8.103785,13.629844
Нерюнгри,2019,7,16.023403,8.863173,15.200592
Нерюнгри,2019,8,13.925419,6.9650373,11.805207
Нерюнгри,2019,9,4.582722,11.080496,19.281029
Нерюнгри,2019,10,-5.1389623,9.799615,18.202696
Нерюнгри,2019,11,-23.405333,11.151041,19.802668
Нерюнгри,2019,12,-29.67989,8.767406,16.59663
Нерюнгри,2020,1,-24.191921,6.4992104,12.111593
Нерюнгри,2020,2,-20.976929,9.335974,16.921204
Нерюнгри,2020,3,-13.281167,9.962674,17.759726
Нерюнгри,2020,4,-3.7362359,9.843584,17.55397
Нерюнгри,2020,5,4.8027043,10.080808,17.344715
Нерюнгри,2020,6,12.5170965,7.9156704,13.063527
Нерюнгри,2020,7,18.258753,9.529679,16.218782
Нерюнгри,2020,8,11.968967,8.53145,14.531527
Нерюнгри,2020,9,8.415292,9.366372,16.194462
Нерюнгри,2020,10,-6.350589,10.189215,18.18706
Нерюнгри,2020,11,-17.31721,10.164856,18.964209
Нерюнгри,2020,12,-29.341516,8.887919,16.69177
Нерюнгри,2021,1,-35.20442,7.994999,15.492268
Нерюнгри,2021,2,-27.587193,9.179064,17.004507
Нерюнгри,2021,3,-13.941113,9.206786,16.619297
Нерюнгри,2021,4,-6.136028,11.203469,19.842405
Нерюнгри,2021,5,3.551696,8.728346,15.149644
Нерюнгри,2021,6,15.114875,7.849386,13.343815
Нерюнгри,2021,7,17.07878,8.745188,15.141554
Нерюнгри,2021,8,13.784895,10.150693,17.40435
Нерюнгри,2021,9,7.9786944,10.255854,17.982756
Нерюнгри,2021,10,-6.126059,8.082986,15.439553
Нерюнгри,2021,11,-18.689917,8.297326,15.513177
Нерюнгри,2021,12,-29.999985,9.108497,18.179773
Нерюнгри,2022,1,-29.918869,7.477633,14.151267
Нерюнгри,2022,2,-24.205349,8.718653,16.14134
Нерюнгри,2022,3,-14.438762,9.230485,16.360586
Нерюнгри,2022,4,-6.5357494,9.717093,17.413082
Нерюнгри,2022,5,3.0339541,11.547539,20.29691
Нерюнгри,2022,6,15.017791,6.8893948,11.806174
Нерюнгри,2022,7,19.23812,9.181678,15.821649
Нерюнгри,2022,8,11.454048,8.852319,15.460868
Нерюнгри,2022,9,3.6441112,10.133913,17.496307
Нерюнгри,2022,10,-6.1301584,10.162839,18.594225
Нерюнгри,2022,11,-20.64957,9.464845,17.785437
Нерюнгри,2022,12,-29.841045,8.805231,18.313807
Нерюнгри,2023,1,-33.930225,7.6238875,13.961056
Нерюнгри,2023,2,-22.959812,7.66304,14.284468
Нерюнгри,2023,3,-11.215105,11.743276,21.158968
Нерюнгри,2023,4,-6.8353333,10.4615,18.841501
Нерюнгри,2023,5,3.1399355,10.476701,18.329912
Нерюнгри,2023,6,12.757792,10.175653,17.536812
Нерюнгри,2023,7,18.147327,7.446559,12.605538
Нерюнгри,2023,8,14.500957,8.03349,13.948498
Нерюнгри,2023,9,4.6716113,9.862599,17.305178
Нерюнгри,2023,10,-4.313962,10.079346,18.307787
Нерюнгри,2023,11,-18.23079,8.8403225,16.285618
