city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Новобурейский,2017,1,-21.35678,8.153701,14.648602
Новобурейский,2017,2,-14.658144,9.126234,17.046043
Новобурейский,2017,3,-5.045422,7.8602057,14.083619
Новобурейский,2017,4,4.2510834,11.307116,19.528624
Новобурейский,2017,5,13.273396,11.420097,20.287464
Новобурейский,2017,6,17.844902,8.589432,14.848179
Новобурейский,2017,7,21.65021,8.05172,14.354252
Новобурейский,2017,8,19.83677,8.187323,14.675174
Новобурейский,2017,9,12.788862,9.412724,17.237877
Новобурейский,2017,10,1.0301828,10.092031,18.409075
Новобурейский,2017,11,-11.106139,9.2918215,17.241764
Новобурейский,2017,12,-21.963768,7.848286,14.318864
Новобурейский,2018,1,-23.813366,7.9890056,14.584562
Новобурейский,2018,2,-21.260078,7.389193,12.735857
Новобурейский,2018,3,-7.741524,10.661698,19.099855
Новобурейский,2018,4,5.0168476,11.9410715,21.170256
Новобурейский,2018,5,13.07185,9.081742,16.039953
Новобурейский,2018,6,17.068098,9.35556,16.598297
Новобурейский,2018,7,21.508678,9.123733,16.088507
Новобурейский,2018,8,19.12353,7.036621,12.454298
Новобурейский,2018,9,12.353167,10.525985,19.141565
Новобурейский,2018,10,4.5994034,8.958146,16.607916
Новобурейский,2018,11,-10.156834,8.165867,15.0866995
Новобурейский,2018,12,-20.984535,8.5370245,15.974574
Новобурейский,2019,1,-20.121363,7.9189315,14.452145
Новобурейский,2019,2,-16.55621,8.478984,15.3767
Новобурейский,2019,3,-5.3041587,8.884874,16.111944
Новобурейский,2019,4,4.0411525,10.545556,18.483194
Новобурейский,2019,5,11.128704,11.573518,20.383003
Новобурейский,2019,6,16.6465,7.1643662,12.258609
Новобурейский,2019,7,21.474068,8.285064,14.696209
Новобурейский,2019,8,18.627697,7.64474,13.873799
Новобурейский,2019,9,13.018652,10.455943,18.967632
Новобурейский,2019,10,3.453032,9.969501,18.366278
Новобурейский,2019,11,-11.085861,10.563276,18.878553
Новобурейский,2019,12,-23.316189,7.4710364,13.456431
Новобурейский,2020,1,-20.796766,6.7121882,11.684417
Новобурейский,2020,2,-15.872192,8.121098,14.699456
Новобурейский,2020,3,-4.693204,9.114543,16.071663
Новобурейский,2020,4,5.134347,11.304652,19.709938
Новобурейский,2020,5,12.708813,10.025025,17.99158
Новобурейский,2020,6,16.634346,8.098322,14.487389
Новобурейский,2020,7,22.827293,7.877954,14.077588
Новобурейский,2020,8,18.376083,10.25564,18.641132
Новобурейский,2020,9,14.741917,9.795417,17.624956
Новобурейский,2020,10,4.080183,10.995238,20.08846
Новобурейский,2020,11,-9.1750965,9.639742,18.279755
Новобурейский,2020,12,-21.23151,7.950575,14.519581
Новобурейский,2021,1,-26.262356,7.2918615,12.778983
Новобурейский,2021,2,-18.539318,10.080197,18.3409
Новобурейский,2021,3,-4.1502604,10.010397,18.313435
Новобурейский,2021,4,4.2333055,12.655279,22.230413
Новобурейский,2021,5,11.499941,9.824239,17.326893
Новобурейский,2021,6,19.365318,9.288378,16.132656
Новобурейский,2021,7,23.652493,8.282935,14.804443
Новобурейский,2021,8,19.408878,8.256532,14.649286
Новобурейский,2021,9,13.863375,8.008476,14.539133
Новобурейский,2021,10,2.3666747,9.280348,17.115726
Новобурейский,2021,11,-7.165861,9.025237,17.294102
Новобурейский,2021,12,-23.196026,8.141968,15.326604
Новобурейский,2022,1,-25.469616,6.614478,11.481049
Новобурейский,2022,2,-16.25978,7.205898,13.278944
Новобурейский,2022,3,-5.6523438,8.973085,16.58691
Новобурейский,2022,4,3.4981666,12.06889,21.648941
Новобурейский,2022,5,10.696043,10.629978,18.873062
Новобурейский,2022,6,18.67122,7.855713,13.939042
Новобурейский,2022,7,23.143692,7.5656843,13.254734
Новобурейский,2022,8,18.221378,8.436432,14.855253
Новобурейский,2022,9,13.53782,11.745229,21.231348
Новобурейский,2022,10,2.3565269,10.080378,18.997236
Новобурейский,2022,11,-8.996347,8.891623,16.139977
Новобурейский,2022,12,-21.006176,8.547837,15.902911
Новобурейский,2023,1,-26.540382,7.539029,13.451877
Новобурейский,2023,2,-16.544304,7.6007624,13.931463
Новобурейский,2023,3,-3.0702202,10.566855,19.58272
Новобурейский,2023,4,4.2078195,11.142577,19.938038
Новобурейский,2023,5,11.913986,11.367184,20.377697
Новобурейский,2023,6,18.284624,8.3857155,14.777744
Новобурейский,2023,7,22.08939,6.332591,10.746094
Новобурейский,2023,8,20.442144,8.296597,15.031958
Новобурейский,2023,9,13.1420555,9.836059,17.928028
Новобурейский,2023,10,4.3858953,10.069543,18.97284
Новобурейский,2023,11,-8.528084,9.5714445,18.606739
