city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Новокиевский Увал,2017,1,-22.248055,9.047602,15.815887
Новокиевский Увал,2017,2,-15.792971,10.016823,17.92288
Новокиевский Увал,2017,3,-5.4561853,8.400225,14.761692
Новокиевский Увал,2017,4,3.6215138,11.838977,20.6632
Новокиевский Увал,2017,5,12.215454,12.756098,21.96238
Новокиевский Увал,2017,6,18.201584,9.524738,16.603582
Новокиевский Увал,2017,7,21.302753,8.913817,15.550915
Новокиевский Увал,2017,8,19.333735,8.174469,14.141074
Новокиевский Увал,2017,9,12.068667,10.335049,18.748075
Новокиевский Увал,2017,10,-0.5242634,9.756685,17.75794
Новокиевский Увал,2017,11,-12.463277,9.623228,17.018646
Новокиевский Увал,2017,12,-22.019962,8.241296,14.878833
Новокиевский Увал,2018,1,-23.768686,8.497734,15.394753
Новокиевский Увал,2018,2,-22.925783,7.8343744,12.715751
Новокиевский Увал,2018,3,-8.181723,11.636157,20.397999
Новокиевский Увал,2018,4,3.7822082,12.641056,21.998587
Новокиевский Увал,2018,5,12.882995,10.312848,18.553741
Новокиевский Увал,2018,6,16.43325,9.504107,16.575504
Новокиевский Увал,2018,7,20.799595,9.160246,15.874843
Новокиевский Увал,2018,8,18.532995,7.348736,12.771386
Новокиевский Увал,2018,9,11.809083,11.376973,20.722368
Новокиевский Увал,2018,10,4.096032,9.450744,17.635492
Новокиевский Увал,2018,11,-9.963972,8.735651,15.275149
Новокиевский Увал,2018,12,-23.241869,8.678257,15.838103
Новокиевский Увал,2019,1,-21.98468,8.296283,14.3994665
Новокиевский Увал,2019,2,-18.709265,9.223295,16.152893
Новокиевский Увал,2019,3,-6.8327985,9.493585,16.726818
Новокиевский Увал,2019,4,3.2133195,11.108663,20.189306
Новокиевский Увал,2019,5,10.67157,12.175479,21.397673
Новокиевский Увал,2019,6,17.076097,8.361689,14.18192
Новокиевский Увал,2019,7,20.204903,8.049961,13.839118
Новокиевский Увал,2019,8,18.293009,8.488262,15.03802
Новокиевский Увал,2019,9,11.854222,11.033954,19.77172
Новокиевский Увал,2019,10,1.278492,9.570493,17.816008
Новокиевский Увал,2019,11,-15.489458,10.18897,18.55455
Новокиевский Увал,2019,12,-26.812101,7.3427944,12.92937
Новокиевский Увал,2020,1,-23.205044,6.330987,10.788261
Новокиевский Увал,2020,2,-16.831203,7.8811464,13.951348
Новокиевский Увал,2020,3,-6.435688,8.779854,16.141762
Новокиевский Увал,2020,4,3.6262362,12.620672,22.014519
Новокиевский Увал,2020,5,11.403693,10.78263,19.033998
Новокиевский Увал,2020,6,16.151445,8.291762,14.4979515
Новокиевский Увал,2020,7,23.091934,8.672223,15.244489
Новокиевский Увал,2020,8,17.33891,10.546049,18.71789
Новокиевский Увал,2020,9,13.81082,10.362671,18.144331
Новокиевский Увал,2020,10,2.8288279,11.165039,20.247309
Новокиевский Увал,2020,11,-10.647028,9.535819,17.751926
Новокиевский Увал,2020,12,-23.725676,8.582121,14.54316
Новокиевский Увал,2021,1,-28.253496,7.834783,12.412309
Новокиевский Увал,2021,2,-20.266483,9.814962,17.636948
Новокиевский Увал,2021,3,-5.6660643,10.465991,18.725857
Новокиевский Увал,2021,4,2.970472,13.801855,23.75329
Новокиевский Увал,2021,5,10.214245,10.536564,18.235891
Новокиевский Увал,2021,6,19.138182,9.641496,16.983206
Новокиевский Увал,2021,7,22.99126,8.726331,15.115049
Новокиевский Увал,2021,8,18.887766,8.415638,14.547332
Новокиевский Увал,2021,9,13.2345,8.884339,16.154787
Новокиевский Увал,2021,10,0.9307098,8.990706,16.915302
Новокиевский Увал,2021,11,-7.2648053,10.736568,19.720991
Новокиевский Увал,2021,12,-23.608469,9.102568,16.278864
Новокиевский Увал,2022,1,-24.888577,7.1714463,11.786167
Новокиевский Увал,2022,2,-17.925337,8.008013,14.280784
Новокиевский Увал,2022,3,-7.147785,9.519406,17.05508
Новокиевский Увал,2022,4,2.2822084,11.834527,20.67396
Новокиевский Увал,2022,5,10.216463,11.081453,19.477339
Новокиевский Увал,2022,6,18.765749,8.421073,14.70908
Новокиевский Увал,2022,7,23.439379,8.391077,14.421169
Новокиевский Увал,2022,8,17.40067,8.989356,15.041428
Новокиевский Увал,2022,9,11.494917,11.672476,21.349144
Новокиевский Увал,2022,10,1.0319866,9.755696,18.394281
Новокиевский Увал,2022,11,-10.766472,9.40577,16.742344
Новокиевский Увал,2022,12,-22.872112,8.617117,15.89586
Новокиевский Увал,2023,1,-28.87057,7.417624,12.696924
Новокиевский Увал,2023,2,-18.405024,7.8394175,14.314569
Новокиевский Увал,2023,3,-4.3881073,10.731204,19.626165
Новокиевский Увал,2023,4,2.9331112,10.8075905,19.559477
Новокиевский Увал,2023,5,11.064111,11.383125,20.192053
Новокиевский Увал,2023,6,17.794432,8.367848,14.381142
Новокиевский Увал,2023,7,22.536758,6.7346606,11.779789
Новокиевский Увал,2023,8,19.864311,8.418103,14.754042
Новокиевский Увал,2023,9,11.706167,10.276714,18.524225
Новокиевский Увал,2023,10,3.2410593,10.10804,18.883867
Новокиевский Увал,2023,11,-9.511125,9.0195675,17.315252
