city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Ноглики.,2017,1,-15.44156,14.165762,25.834568
Ноглики.,2017,2,-12.055893,17.43861,29.504961
Ноглики.,2017,3,-5.689946,12.297756,21.371315
Ноглики.,2017,4,-1.7,13.112691,21.615904
Ноглики.,2017,5,4.6136155,12.3711605,20.63816
Ноглики.,2017,6,9.155556,11.842056,18.715006
Ноглики.,2017,7,14.608576,10.900573,17.428106
Ноглики.,2017,8,14.238549,11.7666445,18.784513
Ноглики.,2017,9,12.687222,13.191696,22.147999
Ноглики.,2017,10,2.111801,16.489302,27.620562
Ноглики.,2017,11,-9.569375,16.06613,27.586908
Ноглики.,2017,12,-15.045525,17.226452,30.22906
Ноглики.,2018,1,-18.138132,16.68552,29.43566
Ноглики.,2018,2,-16.997038,13.932533,24.122753
Ноглики.,2018,3,-9.75836,14.864602,25.742912
Ноглики.,2018,4,-1.3311112,14.048344,23.961317
Ноглики.,2018,5,4.6079707,12.171556,20.31842
Ноглики.,2018,6,7.7629166,14.005478,21.925585
Ноглики.,2018,7,11.711263,10.433531,16.109457
Ноглики.,2018,8,13.294731,10.534164,16.94313
Ноглики.,2018,9,11.541597,15.126166,25.584776
Ноглики.,2018,10,6.1457396,15.295343,26.089975
Ноглики.,2018,11,-3.9486806,17.084972,28.226715
Ноглики.,2018,12,-13.8156185,18.455208,31.630764
Ноглики.,2019,1,-15.504932,16.81748,28.996769
Ноглики.,2019,2,-16.976355,14.198062,25.247942
Ноглики.,2019,3,-8.602917,13.043352,22.51262
Ноглики.,2019,4,0.14666663,15.481841,26.080475
Ноглики.,2019,5,5.6294084,15.07904,24.43248
Ноглики.,2019,6,7.3804164,11.78029,17.976566
Ноглики.,2019,7,12.143858,11.837652,18.405733
Ноглики.,2019,8,13.246345,11.620339,18.109106
Ноглики.,2019,9,12.148055,15.446958,26.434036
Ноглики.,2019,10,5.423696,14.623698,25.285141
Ноглики.,2019,11,-5.7926393,20.384674,33.371838
Ноглики.,2019,12,-16.492836,17.070162,30.08701
Ноглики.,2020,1,-15.12906,14.548722,26.075594
Ноглики.,2020,2,-14.32023,13.66603,23.747107
Ноглики.,2020,3,-5.909234,14.346224,24.347225
Ноглики.,2020,4,-0.19277778,14.877277,24.670479
Ноглики.,2020,5,3.973898,12.062444,19.688135
Ноглики.,2020,6,6.690555,10.749691,16.407068
Ноглики.,2020,7,13.108845,10.993368,17.434645
Ноглики.,2020,8,13.385525,13.286911,21.674562
Ноглики.,2020,9,12.706181,11.284057,19.564047
Ноглики.,2020,10,5.859785,14.403386,24.73498
Ноглики.,2020,11,-4.4325004,17.09805,28.299376
Ноглики.,2020,12,-15.352782,17.033447,28.508226
Ноглики.,2021,1,-20.63605,15.339592,25.888994
Ноглики.,2021,2,-13.156264,18.149446,29.826487
Ноглики.,2021,3,-6.93457,15.5791855,26.610563
Ноглики.,2021,4,-0.47236112,15.754414,26.737461
Ноглики.,2021,5,2.8781319,14.603442,23.206722
Ноглики.,2021,6,9.889652,12.308845,19.99073
Ноглики.,2021,7,18.531223,11.46122,18.87738
Ноглики.,2021,8,15.002796,12.555549,20.399963
Ноглики.,2021,9,12.554999,13.025837,22.447943
Ноглики.,2021,10,3.72336,15.583223,27.04853
Ноглики.,2021,11,-1.7052778,17.198765,29.008335
Ноглики.,2021,12,-14.293978,19.027464,33.28873
Ноглики.,2022,1,-15.291626,17.775375,30.979332
Ноглики.,2022,2,-10.793169,19.646017,32.730423
Ноглики.,2022,3,-6.152715,13.48007,22.88255
Ноглики.,2022,4,-0.6315972,17.084635,28.558306
Ноглики.,2022,5,2.728535,13.190503,22.657734
Ноглики.,2022,6,8.836737,13.309281,21.51997
Ноглики.,2022,7,15.283507,12.446394,20.838879
Ноглики.,2022,8,14.96953,13.792516,23.378132
Ноглики.,2022,9,12.106735,15.254572,25.926044
Ноглики.,2022,10,3.1460752,13.953627,24.423182
Ноглики.,2022,11,-5.5245137,14.607082,25.888802
Ноглики.,2022,12,-14.514677,17.59531,30.633682
Ноглики.,2023,1,-20.496601,17.803839,30.580803
Ноглики.,2023,2,-18.03677,12.268446,22.60643
Ноглики.,2023,3,-4.0025134,14.819636,25.738873
Ноглики.,2023,4,-0.3013889,16.314053,26.99071
Ноглики.,2023,5,4.206895,13.25218,21.870453
Ноглики.,2023,6,9.051667,10.898243,16.953022
Ноглики.,2023,7,14.577124,10.650407,17.009943
Ноглики.,2023,8,16.044596,10.83089,17.860796
Ноглики.,2023,9,13.43007,13.964732,23.956509
Ноглики.,2023,10,6.200242,15.50367,26.691666
Ноглики.,2023,11,-3.842216,16.84602,28.644838
