city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Облучье,2017,1,-21.691595,6.395599,11.837765
Облучье,2017,2,-15.869566,7.8941445,14.263387
Облучье,2017,3,-5.888973,6.6755238,11.31513
Облучье,2017,4,3.6328058,11.0382595,19.177694
Облучье,2017,5,12.884616,10.343824,18.119438
Облучье,2017,6,16.468151,8.893794,15.427592
Облучье,2017,7,20.621778,8.61586,14.758893
Облучье,2017,8,18.85854,9.628788,16.9326
Облучье,2017,9,11.842528,9.666472,17.156038
Облучье,2017,10,0.55511296,10.4128,18.742115
Облучье,2017,11,-12.272124,9.335934,17.193483
Облучье,2017,12,-22.89603,6.2557564,11.602526
Облучье,2018,1,-24.123314,7.434738,13.610718
Облучье,2018,2,-21.167856,6.2757316,10.634761
Облучье,2018,3,-8.087628,10.043466,17.983261
Облучье,2018,4,4.371625,10.775817,18.749369
Облучье,2018,5,12.2162695,8.991802,15.440702
Облучье,2018,6,16.396347,11.081952,19.39003
Облучье,2018,7,20.470032,10.532216,18.072878
Облучье,2018,8,18.222383,7.6974974,13.201931
Облучье,2018,9,11.714403,10.624845,18.627096
Облучье,2018,10,4.3902607,8.977845,16.127798
Облучье,2018,11,-9.552125,8.255148,14.950349
Облучье,2018,12,-20.687428,8.263659,15.317302
Облучье,2019,1,-20.53763,7.2018104,13.5313835
Облучье,2019,2,-17.154612,7.1846213,13.107259
Облучье,2019,3,-5.847172,8.24569,14.770027
Облучье,2019,4,3.5401666,9.643577,17.219398
Облучье,2019,5,10.302626,11.268857,20.241276
Облучье,2019,6,14.905861,9.007218,15.791854
Облучье,2019,7,20.310421,10.529827,18.106462
Облучье,2019,8,17.351954,9.859677,17.660172
Облучье,2019,9,12.694056,10.0509,17.740261
Облучье,2019,10,3.5064569,9.769795,17.696888
Облучье,2019,11,-12.269139,10.825408,19.979597
Облучье,2019,12,-22.959875,7.101345,12.846798
Облучье,2020,1,-20.43185,5.600091,9.979536
Облучье,2020,2,-16.057133,7.3851795,13.2226
Облучье,2020,3,-4.9911237,8.329122,14.645953
Облучье,2020,4,4.681208,9.789296,17.079174
Облучье,2020,5,12.175073,10.5317,18.645576
Облучье,2020,6,15.202528,11.378855,19.937351
Облучье,2020,7,21.646578,8.138671,13.951314
Облучье,2020,8,17.467344,11.769825,20.965902
Облучье,2020,9,14.235791,10.776587,19.319084
Облучье,2020,10,3.3770218,11.112537,20.2045
Облучье,2020,11,-9.771292,8.841795,16.575787
Облучье,2020,12,-21.354633,6.5199566,12.4813795
Облучье,2021,1,-25.119686,6.950018,12.7828045
Облучье,2021,2,-18.995682,8.645318,15.759735
Облучье,2021,3,-5.3522124,9.769186,17.73047
Облучье,2021,4,4.1444025,12.593065,21.959827
Облучье,2021,5,11.035826,10.486124,18.385132
Облучье,2021,6,18.052526,9.779067,16.659628
Облучье,2021,7,22.881119,9.184733,15.978081
Облучье,2021,8,18.776281,9.39834,16.284716
Облучье,2021,9,13.479055,8.48377,15.032526
Облучье,2021,10,2.3522904,8.592276,14.960141
Облучье,2021,11,-7.0052495,8.732749,15.651474
Облучье,2021,12,-23.060478,7.3182883,13.966483
Облучье,2022,1,-25.174324,5.4516587,10.258037
Облучье,2022,2,-17.312052,6.054878,10.737174
Облучье,2022,3,-5.950398,9.015196,16.445173
Облучье,2022,4,2.8735695,12.170994,21.902966
Облучье,2022,5,9.9291725,11.229207,19.64891
Облучье,2022,6,17.564333,9.881424,17.28553
Облучье,2022,7,21.97776,9.017455,15.79148
Облучье,2022,8,17.222988,7.934914,13.549357
Облучье,2022,9,13.17086,11.6353,20.686422
Облучье,2022,10,2.208137,8.927627,16.499353
Облучье,2022,11,-8.863653,9.313186,16.199038
Облучье,2022,12,-20.706179,7.652206,14.368447
Облучье,2023,1,-25.979162,7.0158415,12.835822
Облучье,2023,2,-16.808033,6.740501,12.159661
Облучье,2023,3,-3.3202229,10.420294,19.1924
Облучье,2023,4,3.7223196,12.270904,21.574005
Облучье,2023,5,11.508406,10.981794,19.301722
Облучье,2023,6,17.262735,9.497982,16.422674
Облучье,2023,7,20.819561,7.2363243,12.469477
Облучье,2023,8,19.770973,9.595016,17.10772
Облучье,2023,9,12.735444,9.456881,16.834044
Облучье,2023,10,3.8121023,9.10889,16.507946
Облучье,2023,11,-8.768753,9.154395,16.806877
