city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Омсукчан,2017,1,-30.78038,5.338163,8.482798
Омсукчан,2017,2,-26.130436,4.1100883,10.19488
Омсукчан,2017,3,-11.736698,5.1486526,10.192144
Омсукчан,2017,4,-7.1462083,5.2566433,10.355665
Омсукчан,2017,5,2.5387714,8.33898,14.264142
Омсукчан,2017,6,9.518027,8.528607,14.9484825
Омсукчан,2017,7,12.631783,8.140267,14.44088
Омсукчан,2017,8,14.48326,6.167915,10.465776
Омсукчан,2017,9,6.204347,8.708486,16.027956
Омсукчан,2017,10,-8.509279,8.210874,16.10938
Омсукчан,2017,11,-20.429474,5.5812874,12.071132
Омсукчан,2017,12,-27.992544,5.3799267,13.857388
Омсукчан,2018,1,-25.968151,5.957891,14.3576975
Омсукчан,2018,2,-22.663918,6.2554545,15.331656
Омсукчан,2018,3,-23.084549,6.3060317,13.853037
Омсукчан,2018,4,-8.304125,6.221835,13.014363
Омсукчан,2018,5,1.249793,6.6418695,12.052744
Омсукчан,2018,6,9.64539,8.104204,13.498101
Омсукчан,2018,7,14.781781,8.251098,14.148794
Омсукчан,2018,8,10.067737,7.367665,12.880694
Омсукчан,2018,9,4.928375,8.523617,16.118456
Омсукчан,2018,10,-5.674199,7.426248,14.167806
Омсукчан,2018,11,-22.332598,4.4943805,10.09049
Омсукчан,2018,12,-28.866337,3.8425906,9.596582
Омсукчан,2019,1,-29.04483,4.3744626,12.772178
Омсукчан,2019,2,-30.588545,7.2055817,19.589664
Омсукчан,2019,3,-20.909145,6.8181744,15.118038
Омсукчан,2019,4,-5.248361,6.353893,12.279483
Омсукчан,2019,5,5.1276155,8.490985,14.484467
Омсукчан,2019,6,10.973583,7.4825954,12.300607
Омсукчан,2019,7,14.211554,7.9536033,13.333239
Омсукчан,2019,8,12.374861,6.935861,12.455846
Омсукчан,2019,9,3.6564999,7.648457,14.251875
Омсукчан,2019,10,-8.840664,6.423277,12.726935
Омсукчан,2019,11,-16.26218,5.6863227,13.716833
Омсукчан,2019,12,-30.001282,5.3171296,12.659742
Омсукчан,2020,1,-26.648596,4.641745,10.949367
Омсукчан,2020,2,-28.714348,4.76928,10.366279
Омсукчан,2020,3,-15.994361,6.175025,12.976345
Омсукчан,2020,4,-10.125444,5.9169645,10.6202965
Омсукчан,2020,5,1.8380995,8.020317,14.12131
Омсукчан,2020,6,15.838097,7.460592,11.932492
Омсукчан,2020,7,13.878355,8.2042885,14.32748
Омсукчан,2020,8,9.624323,8.58375,15.9909725
Омсукчан,2020,9,4.201083,8.397286,16.222324
Омсукчан,2020,10,-3.9143198,6.6571417,12.722906
Омсукчан,2020,11,-19.323778,5.4101295,14.369614
Омсукчан,2020,12,-29.92225,5.3627567,12.402072
Омсукчан,2021,1,-34.04476,4.7945857,13.716884
Омсукчан,2021,2,-26.58036,4.010665,12.653467
Омсукчан,2021,3,-21.508072,6.350376,13.189583
Омсукчан,2021,4,-10.152805,7.0160055,13.78885
Омсукчан,2021,5,1.0433414,7.47105,12.717495
Омсукчан,2021,6,11.954208,9.031005,15.381868
Омсукчан,2021,7,15.214847,9.167471,15.65723
Омсукчан,2021,8,11.824389,8.36911,15.25763
Омсукчан,2021,9,3.3419862,9.024835,16.366373
Омсукчан,2021,10,-9.087304,8.660926,16.432096
Омсукчан,2021,11,-16.18989,5.2435155,11.436407
Омсукчан,2021,12,-32.077156,5.442982,13.259912
Омсукчан,2022,1,-25.3078,3.2761266,9.579842
Омсукчан,2022,2,-26.894125,4.1955404,12.189879
Омсукчан,2022,3,-15.9174795,5.2958665,11.947185
Омсукчан,2022,4,-10.446972,6.777177,13.059414
Омсукчан,2022,5,2.390519,8.70999,15.423768
Омсукчан,2022,6,10.75157,8.0938225,13.035059
Омсукчан,2022,7,16.776405,8.795264,15.050111
Омсукчан,2022,8,12.9508,9.111651,15.966327
Омсукчан,2022,9,3.5523334,8.149458,15.320818
Омсукчан,2022,10,-12.975745,7.1471906,13.972611
Омсукчан,2022,11,-23.133013,4.559274,9.218369
Омсукчан,2022,12,-25.638311,3.812025,9.95501
Омсукчан,2023,1,-32.860355,4.353708,12.021299
Омсукчан,2023,2,-30.947622,3.6443877,11.236788
Омсукчан,2023,3,-19.640396,6.552531,13.094515
Омсукчан,2023,4,-7.5535,6.604131,12.391321
Омсукчан,2023,5,1.5911237,8.219626,14.372265
Омсукчан,2023,6,15.926153,7.823325,12.056715
Омсукчан,2023,7,14.66236,8.73965,13.244574
Омсукчан,2023,8,11.684268,9.307935,14.806572
Омсукчан,2023,9,3.179625,7.8713326,12.905615
Омсукчан,2023,10,-6.0994005,5.326603,8.277372
Омсукчан,2023,11,-19.04744,7.677213,15.947451
