city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Оссора,2017,1,-16.188334,14.486429,17.93186
Оссора,2017,2,-8.231041,26.200851,36.902683
Оссора,2017,3,-2.5390725,20.49019,29.185192
Оссора,2017,4,-3.4518747,15.15557,21.591955
Оссора,2017,5,1.7079033,11.406658,16.118324
Оссора,2017,6,9.101806,10.77634,14.548105
Оссора,2017,7,13.937406,10.77654,14.056169
Оссора,2017,8,14.9666395,12.509221,16.869646
Оссора,2017,9,10.3012495,12.930088,18.31385
Оссора,2017,10,0.17638446,16.40298,23.646057
Оссора,2017,11,-3.2979167,15.508079,23.897848
Оссора,2017,12,-12.70574,18.411716,25.715721
Оссора,2018,1,-9.44082,19.19838,27.576937
Оссора,2018,2,-6.601577,18.926226,27.025656
Оссора,2018,3,-10.21004,16.839552,22.717497
Оссора,2018,4,-2.7082639,19.341991,27.548046
Оссора,2018,5,1.2136829,9.081144,12.316395
Оссора,2018,6,10.099653,11.1715355,14.399813
Оссора,2018,7,14.7339115,11.946613,15.223482
Оссора,2018,8,12.023024,12.185244,16.953611
Оссора,2018,9,9.4331255,12.180394,17.395346
Оссора,2018,10,3.367043,14.424972,21.361996
Оссора,2018,11,-5.4095135,16.411938,23.710268
Оссора,2018,12,-12.6466,22.266533,31.475677
Оссора,2019,1,-13.683024,22.25964,31.093206
Оссора,2019,2,-17.249792,17.189075,23.116219
Оссора,2019,3,-12.023414,16.840998,23.457922
Оссора,2019,4,-1.7837499,13.741395,18.794788
Оссора,2019,5,3.8230243,11.109236,15.54738
Оссора,2019,6,8.686042,10.31223,12.968692
Оссора,2019,7,14.04043,10.75716,13.74833
Оссора,2019,8,13.376318,12.85782,17.329733
Оссора,2019,9,8.505417,13.551504,19.207909
Оссора,2019,10,0.4064248,13.8346405,19.42215
Оссора,2019,11,-3.8354166,19.905308,28.547153
Оссора,2019,12,-13.590282,16.364544,21.700895
Оссора,2020,1,-10.818777,18.235056,25.26223
Оссора,2020,2,-16.264843,19.581297,29.15231
Оссора,2020,3,-7.373884,15.915712,21.785727
Оссора,2020,4,-5.892083,11.994585,15.548472
Оссора,2020,5,1.8683872,14.122178,20.254454
Оссора,2020,6,12.415139,9.431151,11.418977
Оссора,2020,7,13.342312,10.9289665,13.913417
Оссора,2020,8,12.653938,13.786383,18.791376
Оссора,2020,9,7.9402084,14.932398,21.15385
Оссора,2020,10,3.1273253,14.1188345,20.537079
Оссора,2020,11,-6.0602775,13.413662,18.863876
Оссора,2020,12,-12.827044,21.218704,30.533043
Оссора,2021,1,-17.18195,22.384233,31.732151
Оссора,2021,2,-11.441087,24.797916,35.645496
Оссора,2021,3,-12.507487,15.858012,21.687235
Оссора,2021,4,-4.3729863,13.298265,18.829287
Оссора,2021,5,1.4070967,11.116253,15.713602
Оссора,2021,6,11.411943,10.804306,13.81961
Оссора,2021,7,16.101585,10.988891,14.404792
Оссора,2021,8,14.123427,10.812914,14.521384
Оссора,2021,9,8.168403,13.069987,18.323616
Оссора,2021,10,-2.2047985,14.607018,21.340986
Оссора,2021,11,-5.4739585,16.497463,23.716278
Оссора,2021,12,-12.996532,20.86381,29.390902
Оссора,2022,1,-10.164946,22.163157,29.783169
Оссора,2022,2,-13.948899,18.835562,27.233099
Оссора,2022,3,-6.4391394,18.955742,26.338274
Оссора,2022,4,-3.3539581,14.885079,21.198849
Оссора,2022,5,1.2650269,7.3883967,9.2219
Оссора,2022,6,10.086181,9.577413,11.383236
Оссора,2022,7,16.486532,10.442813,13.352424
Оссора,2022,8,14.68922,13.463281,17.635445
Оссора,2022,9,8.924097,14.324173,20.646221
Оссора,2022,10,0.14923392,12.896702,18.67525
Оссора,2022,11,-6.300903,15.102115,20.794882
Оссора,2022,12,-8.789946,22.603329,31.82922
Оссора,2023,1,-14.9800005,22.717443,33.340954
Оссора,2023,2,-16.258944,17.694765,24.377293
Оссора,2023,3,-12.230403,10.544601,13.730941
Оссора,2023,4,-3.139861,19.755589,27.73877
Оссора,2023,5,1.0843146,10.151269,13.047505
Оссора,2023,6,11.353681,11.357589,15.639247
Оссора,2023,7,13.678199,9.116991,12.178138
Оссора,2023,8,13.881223,10.987543,16.569313
Оссора,2023,9,9.520764,12.368508,19.333124
Оссора,2023,10,2.6389515,10.532402,16.951088
Оссора,2023,11,-4.7929735,15.59704,25.081093
