city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Оха,2017,1,-16.532774,19.156445,31.808163
Оха,2017,2,-13.287711,22.80846,36.307365
Оха,2017,3,-8.173635,15.461398,25.002853
Оха,2017,4,-3.3013473,13.572893,21.022684
Оха,2017,5,3.413731,16.136253,25.069105
Оха,2017,6,10.104902,13.735972,20.621588
Оха,2017,7,16.218704,14.084768,21.306454
Оха,2017,8,15.377507,15.946109,24.098118
Оха,2017,9,13.068305,15.876377,24.830656
Оха,2017,10,2.1435027,20.196882,31.38175
Оха,2017,11,-8.40982,21.515171,33.775734
Оха,2017,12,-13.128609,23.625393,37.256393
Оха,2018,1,-19.247225,22.487638,36.31928
Оха,2018,2,-19.206833,20.415756,32.823322
Оха,2018,3,-13.167923,17.9714,29.169289
Оха,2018,4,-4.3594027,14.580028,23.968666
Оха,2018,5,3.699618,13.620857,22.096827
Оха,2018,6,7.9830275,16.834002,25.974289
Оха,2018,7,12.266083,13.657932,20.58886
Оха,2018,8,13.796661,13.3614855,20.503838
Оха,2018,9,10.763375,16.582943,26.529959
Оха,2018,10,5.4588923,17.488035,27.867092
Оха,2018,11,-4.703639,22.875467,36.23956
Оха,2018,12,-11.527197,24.393385,38.127483
Оха,2019,1,-13.938554,24.496992,38.409496
Оха,2019,2,-19.828188,19.044935,31.126997
Оха,2019,3,-11.769602,14.821097,24.098272
Оха,2019,4,-1.7046112,17.72834,28.225035
Оха,2019,5,4.695989,17.19327,26.721992
Оха,2019,6,6.376222,14.441192,20.923172
Оха,2019,7,12.401433,15.527446,23.079054
Оха,2019,8,13.72287,14.015961,20.997843
Оха,2019,9,11.524346,19.066612,30.111044
Оха,2019,10,5.040613,17.936731,28.590822
Оха,2019,11,-3.949125,24.978973,38.072254
Оха,2019,12,-14.189428,25.904486,40.363716
Оха,2020,1,-16.074978,20.037035,32.884598
Оха,2020,2,-16.984491,17.05051,27.198612
Оха,2020,3,-10.305154,14.662597,23.921352
Оха,2020,4,-1.7255834,16.971136,26.58817
Оха,2020,5,2.285371,15.222722,23.8506
Оха,2020,6,6.010597,13.10649,19.181044
Оха,2020,7,12.944108,11.684221,17.395584
Оха,2020,8,13.473273,16.12233,24.49211
Оха,2020,9,12.141291,13.094139,20.936586
Оха,2020,10,5.5719304,17.800358,28.42127
Оха,2020,11,-3.471486,23.398539,36.2439
Оха,2020,12,-14.940772,24.565123,38.371864
Оха,2021,1,-22.543528,21.681967,33.984303
Оха,2021,2,-13.721416,23.134365,35.551495
Оха,2021,3,-10.549375,18.31959,29.728941
Оха,2021,4,-2.2485695,19.189657,30.250471
Оха,2021,5,1.6484087,17.104372,26.525578
Оха,2021,6,10.07143,14.542644,22.749079
Оха,2021,7,19.281809,13.759664,20.899378
Оха,2021,8,16.716621,12.992023,20.236284
Оха,2021,9,12.716778,14.334849,22.714375
Оха,2021,10,3.034094,18.726215,30.02839
Оха,2021,11,-1.4829444,21.622683,33.85639
Оха,2021,12,-12.713487,25.603409,40.213978
Оха,2022,1,-15.434522,23.416876,39.348915
Оха,2022,2,-11.271864,21.064884,35.116688
Оха,2022,3,-9.065435,16.006092,25.56291
Оха,2022,4,-2.611,17.641872,27.996094
Оха,2022,5,1.5080187,17.220108,27.840395
Оха,2022,6,9.412194,15.265921,23.376368
Оха,2022,7,17.317225,16.155636,25.688837
Оха,2022,8,14.401364,17.010525,26.363085
Оха,2022,9,10.669902,19.21963,30.119473
Оха,2022,10,2.6115134,17.62022,28.328188
Оха,2022,11,-5.0348196,20.535507,32.975677
Оха,2022,12,-13.526525,25.188946,39.83447
Оха,2023,1,-21.126928,24.748125,39.559147
Оха,2023,2,-21.08027,16.558764,28.514748
Оха,2023,3,-6.375382,16.41048,27.127539
Оха,2023,4,-2.1246805,18.231812,28.140265
Оха,2023,5,2.2894704,15.104588,23.805119
Оха,2023,6,8.650736,13.900149,21.423704
Оха,2023,7,14.420854,13.992516,21.552677
Оха,2023,8,16.20486,13.497098,20.917482
Оха,2023,9,11.528166,17.779064,27.88629
Оха,2023,10,5.5137987,18.62354,29.289202
Оха,2023,11,-3.8617578,20.552187,32.100445
