city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Палана,2017,1,-15.507034,16.61027,22.15627
Палана,2017,2,-9.018291,20.303553,31.377384
Палана,2017,3,-2.2933924,17.296019,26.986696
Палана,2017,4,-1.3959305,13.896643,21.998022
Палана,2017,5,3.9861774,14.221021,20.677822
Палана,2017,6,8.707541,13.624643,19.079775
Палана,2017,7,13.524686,13.874206,20.743233
Палана,2017,8,13.378785,13.618639,20.39001
Палана,2017,9,10.109209,15.104181,23.799189
Палана,2017,10,1.1624544,16.635983,26.725502
Палана,2017,11,-2.8351667,20.894636,34.589005
Палана,2017,12,-10.291444,20.736937,30.242025
Палана,2018,1,-8.558783,18.17651,26.987333
Палана,2018,2,-7.5944076,16.78634,24.57703
Палана,2018,3,-9.102465,18.26274,27.48202
Палана,2018,4,-1.9582223,17.469965,26.058271
Палана,2018,5,2.9829514,14.4658785,21.636814
Палана,2018,6,8.109347,14.665386,21.15933
Палана,2018,7,13.1545925,13.53774,20.083918
Палана,2018,8,11.464202,11.482782,17.318281
Палана,2018,9,9.686153,13.952532,21.905869
Палана,2018,10,3.4998198,12.46726,20.351322
Палана,2018,11,-4.892597,16.721773,28.955507
Палана,2018,12,-11.73963,19.868294,28.695227
Палана,2019,1,-13.673433,16.269482,24.668089
Палана,2019,2,-17.730568,13.957642,20.206543
Палана,2019,3,-12.190704,15.711336,23.076416
Палана,2019,4,-1.184125,14.072057,20.73435
Палана,2019,5,5.7957206,13.949001,20.4785
Палана,2019,6,10.4227495,12.370534,17.426079
Палана,2019,7,12.514874,14.639125,21.424696
Палана,2019,8,13.326366,11.573923,17.335487
Палана,2019,9,8.352195,14.433784,22.2381
Палана,2019,10,0.35862368,16.726873,25.506702
Палана,2019,11,-2.5237777,17.470997,29.64263
Палана,2019,12,-11.287545,20.030579,28.19228
Палана,2020,1,-9.778943,19.85851,29.622236
Палана,2020,2,-15.367825,15.799501,23.585651
Палана,2020,3,-5.6718197,19.143955,28.388342
Палана,2020,4,-5.4935,13.434168,18.560642
Палана,2020,5,2.3949142,12.929542,19.685575
Палана,2020,6,10.718166,12.141836,17.072939
Палана,2020,7,11.969309,11.474881,16.483255
Палана,2020,8,12.456138,12.018468,18.692356
Палана,2020,9,7.5751114,13.619724,21.12365
Палана,2020,10,3.4230056,14.905518,24.01679
Палана,2020,11,-5.243222,14.1182575,21.843357
Палана,2020,12,-12.973096,18.00396,25.43845
Палана,2021,1,-16.467855,17.36352,24.6556
Палана,2021,2,-11.384066,20.675547,32.218758
Палана,2021,3,-10.788822,17.391928,26.124512
Палана,2021,4,-2.9318333,17.118721,25.248337
Палана,2021,5,2.5262313,13.332074,19.903673
Палана,2021,6,9.329833,12.702885,18.26007
Палана,2021,7,11.996057,14.236662,20.86405
Палана,2021,8,11.675021,14.545247,22.071312
Палана,2021,9,7.5784445,13.547543,21.172012
Палана,2021,10,-0.53042203,16.62861,26.28923
Палана,2021,11,-4.8895416,18.52958,27.90896
Палана,2021,12,-11.404413,20.526848,30.170202
Палана,2022,1,-11.000986,18.39953,27.729069
Палана,2022,2,-13.346119,17.469448,25.717924
Палана,2022,3,-6.17014,17.217327,25.706625
Палана,2022,4,-3.6848195,14.550922,20.920622
Палана,2022,5,3.8680995,12.111971,17.323246
Палана,2022,6,7.410458,11.945489,16.637285
Палана,2022,7,13.469309,14.768632,22.01113
Палана,2022,8,13.849619,14.986551,22.99508
Палана,2022,9,8.529556,18.651228,28.67426
Палана,2022,10,0.06413443,16.353813,26.165527
Палана,2022,11,-4.489403,20.67479,30.78066
Палана,2022,12,-8.075852,21.583902,32.97392
Палана,2023,1,-14.995543,18.041954,25.772686
Палана,2023,2,-15.71539,14.784607,21.748974
Палана,2023,3,-10.556295,16.006395,23.644917
Палана,2023,4,-2.2631528,19.773655,29.985397
Палана,2023,5,3.907078,13.369088,19.686857
Палана,2023,6,10.702126,13.217014,19.11151
Палана,2023,7,14.204726,12.156623,17.986988
Палана,2023,8,12.879255,12.169929,18.40911
Палана,2023,9,8.779833,17.207409,27.114155
Палана,2023,10,3.261043,13.271484,21.52125
Палана,2023,11,-3.5842009,17.542255,28.645136
