city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Паратунка,2017,1,-10.313774,8.720218,14.572967
Паратунка,2017,2,-4.5196786,10.374006,18.718004
Паратунка,2017,3,-0.9301048,6.249689,11.402574
Паратунка,2017,4,0.3295278,9.488537,17.06745
Паратунка,2017,5,4.0594783,8.393894,14.848571
Паратунка,2017,6,10.067445,7.5593853,11.765918
Паратунка,2017,7,14.074197,6.200902,9.662007
Паратунка,2017,8,15.039787,6.154251,9.940197
Паратунка,2017,9,10.560083,8.515253,14.555555
Паратунка,2017,10,3.1943576,10.172162,18.07864
Паратунка,2017,11,-2.2497778,9.61105,17.776846
Паратунка,2017,12,-8.151678,10.836481,19.531046
Паратунка,2018,1,-8.218411,9.296455,16.824724
Паратунка,2018,2,-6.2224317,9.545555,17.675358
Паратунка,2018,3,-5.606852,10.611442,19.834143
Паратунка,2018,4,-0.16401388,10.381712,18.928215
Паратунка,2018,5,3.95968,8.478106,15.298775
Паратунка,2018,6,9.125986,8.135186,12.976707
Паратунка,2018,7,14.565796,7.259454,11.832753
Паратунка,2018,8,13.542677,7.6010447,12.851164
Паратунка,2018,9,10.534181,8.876895,15.278529
Паратунка,2018,10,5.774465,9.761705,17.247812
Паратунка,2018,11,-1.5874165,10.0145,18.057978
Паратунка,2018,12,-9.15954,10.482273,18.147436
Паратунка,2019,1,-8.869957,10.393629,18.724344
Паратунка,2019,2,-10.879499,9.842248,18.384062
Паратунка,2019,3,-5.8165298,10.848426,19.63587
Паратунка,2019,4,0.58529174,8.650343,15.406122
Паратунка,2019,5,4.9187527,7.4371996,12.978853
Паратунка,2019,6,8.495083,6.739955,10.765968
Паратунка,2019,7,13.857732,6.871821,11.022136
Паратунка,2019,8,13.977423,7.1736627,11.8139305
Паратунка,2019,9,10.352861,9.041489,15.557132
Паратунка,2019,10,4.003565,9.957127,17.533985
Паратунка,2019,11,-2.065889,9.576995,17.551506
Паратунка,2019,12,-8.348183,8.48222,15.464017
Паратунка,2020,1,-8.5954275,9.805529,17.673563
Паратунка,2020,2,-9.670664,8.851312,15.902921
Паратунка,2020,3,-2.7376318,9.876457,17.114502
Паратунка,2020,4,0.1520278,9.065672,16.198301
Паратунка,2020,5,4.433202,9.2519,15.851943
Паратунка,2020,6,10.747306,6.754455,10.138162
Паратунка,2020,7,14.700405,7.5863495,12.228302
Паратунка,2020,8,12.776951,7.440853,12.265748
Паратунка,2020,9,10.750778,8.714596,15.247588
Паратунка,2020,10,5.5767503,8.786585,15.1036625
Паратунка,2020,11,-1.0330416,10.042475,17.889275
Паратунка,2020,12,-8.737901,10.308256,16.55325
Паратунка,2021,1,-10.673451,10.212565,17.073317
Паратунка,2021,2,-6.7344856,8.47035,15.274089
Паратунка,2021,3,-3.9438145,10.599668,19.147741
Паратунка,2021,4,1.05925,8.502682,15.202607
Паратунка,2021,5,4.9401236,7.6688633,12.621854
Паратунка,2021,6,11.226958,7.626614,12.401995
Паратунка,2021,7,16.52339,8.561622,14.137116
Паратунка,2021,8,15.145231,8.702501,14.463237
Паратунка,2021,9,10.727028,8.622229,15.041561
Паратунка,2021,10,4.0664005,10.6570215,18.970259
Паратунка,2021,11,-0.5456805,10.048771,18.241203
Паратунка,2021,12,-5.7756696,9.144109,16.887651
Паратунка,2022,1,-6.5988545,8.067392,14.482673
Паратунка,2022,2,-5.695497,6.811519,12.767751
Паратунка,2022,3,-2.4891102,9.707165,17.622448
Паратунка,2022,4,0.38813892,9.307691,16.449955
Паратунка,2022,5,4.409949,6.0419097,10.380483
Паратунка,2022,6,12.111264,6.2362556,9.273406
Паратунка,2022,7,17.164923,6.729578,10.607905
Паратунка,2022,8,15.137838,8.392201,14.142732
Паратунка,2022,9,11.447514,9.656445,16.737444
Паратунка,2022,10,4.1031613,10.210846,17.972763
Паратунка,2022,11,-1.9859583,9.0686865,15.577284
Паратунка,2022,12,-7.247511,8.460192,15.763769
Паратунка,2023,1,-11.446637,11.599114,20.931858
Паратунка,2023,2,-10.926227,7.295794,12.880803
Паратунка,2023,3,-3.5085993,8.286954,14.734107
Паратунка,2023,4,0.93286115,10.860682,19.090712
Паратунка,2023,5,3.6491961,8.9904,16.169775
Паратунка,2023,6,12.008903,7.9044957,12.628026
Паратунка,2023,7,14.939989,7.4418287,11.445905
Паратунка,2023,8,15.849398,8.179019,13.033157
Паратунка,2023,9,11.701403,10.647714,18.259668
Паратунка,2023,10,5.4585376,7.554969,12.938019
Паратунка,2023,11,-1.1562992,10.135733,17.883076
