city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Певек,2017,1,-23.820251,12.79768,20.719957
Певек,2017,2,-22.893131,11.352327,18.529129
Певек,2017,3,-15.223411,13.328487,24.05614
Певек,2017,4,-8.804569,8.8611555,15.187382
Певек,2017,5,-1.0632634,9.836073,16.300072
Певек,2017,6,7.1999445,10.28496,15.254626
Певек,2017,7,9.752597,14.11278,20.134945
Певек,2017,8,9.1696,12.973493,19.99431
Певек,2017,9,2.8182082,12.69214,20.917364
Певек,2017,10,-3.9474704,13.830752,22.636389
Певек,2017,11,-10.91818,14.797195,25.810173
Певек,2017,12,-18.20903,11.547758,19.305872
Певек,2018,1,-23.842766,8.528223,14.344266
Певек,2018,2,-18.785393,9.46379,15.605772
Певек,2018,3,-23.735106,8.157731,13.330078
Певек,2018,4,-7.761097,8.033285,13.781429
Певек,2018,5,-2.5408843,8.756902,14.71626
Певек,2018,6,7.1080694,8.406652,11.914699
Певек,2018,7,8.763551,13.107926,19.142845
Певек,2018,8,7.0013876,10.582128,15.430175
Певек,2018,9,7.8053617,11.383326,19.862154
Певек,2018,10,-3.0165563,9.6681385,16.552538
Певек,2018,11,-17.802418,8.319654,13.65963
Певек,2018,12,-28.205267,8.254475,12.441905
Певек,2019,1,-26.304932,9.097073,14.720832
Певек,2019,2,-27.366121,9.658793,15.704889
Певек,2019,3,-22.096798,9.163744,14.000781
Певек,2019,4,-9.758458,10.428994,17.898329
Певек,2019,5,-2.357551,9.587848,15.894406
Певек,2019,6,11.559945,8.199629,11.524206
Певек,2019,7,8.347019,11.622448,16.37745
Певек,2019,8,8.6364,10.297699,15.028205
Певек,2019,9,3.2443888,12.218831,19.58958
Певек,2019,10,-4.4130616,14.480623,23.903147
Певек,2019,11,-13.0796385,9.881909,17.684788
Певек,2019,12,-21.232887,9.591019,16.3111
Певек,2020,1,-24.687187,9.759057,17.173912
Певек,2020,2,-28.846424,8.813069,14.307179
Певек,2020,3,-18.145119,14.610697,25.216648
Певек,2020,4,-12.400957,11.018586,18.224834
Певек,2020,5,0.9525968,12.114353,20.087715
Певек,2020,6,6.8780003,10.920378,14.679931
Певек,2020,7,12.272556,9.849922,13.849094
Певек,2020,8,5.934653,11.186261,16.444332
Певек,2020,9,3.866125,11.734127,19.018488
Певек,2020,10,-1.5960592,13.138961,23.496199
Певек,2020,11,-8.244291,12.803545,21.89434
Певек,2020,12,-17.858828,10.47997,19.68693
Певек,2021,1,-29.04169,8.523641,13.667429
Певек,2021,2,-26.051016,9.789978,15.334398
Певек,2021,3,-25.199284,9.789956,16.17961
Певек,2021,4,-12.148805,11.134951,18.313244
Певек,2021,5,0.00998929,8.826371,14.364827
Певек,2021,6,8.249389,9.67709,13.689787
Певек,2021,7,7.939156,12.698993,17.919973
Певек,2021,8,5.53761,12.277563,18.204073
Певек,2021,9,0.08306944,12.7543335,19.291008
Певек,2021,10,-8.467362,11.147544,17.027569
Певек,2021,11,-17.327349,11.206416,20.316708
Певек,2021,12,-27.226166,9.3753605,15.668074
Певек,2022,1,-24.487053,11.194135,18.084385
Певек,2022,2,-27.286583,6.9838004,9.873274
Певек,2022,3,-16.70977,9.866138,17.434155
Певек,2022,4,-11.942903,8.831944,14.148307
Певек,2022,5,0.46482798,10.641257,17.930977
Певек,2022,6,6.5067496,12.738555,18.537495
Певек,2022,7,6.29628,13.029269,18.625338
Певек,2022,8,7.7938604,12.726933,19.48257
Певек,2022,9,2.4243195,12.477527,19.79166
Певек,2022,10,-6.5916905,13.026277,21.060863
Певек,2022,11,-18.818111,10.096418,17.47385
Певек,2022,12,-17.254326,13.000356,22.602665
Певек,2023,1,-26.025629,9.445346,15.122191
Певек,2023,2,-29.140005,7.8166156,12.078348
Певек,2023,3,-20.929459,13.720184,24.079128
Певек,2023,4,-13.075889,9.348876,15.903037
Певек,2023,5,-1.8613816,13.791277,21.996523
Певек,2023,6,4.6127915,12.537249,18.097202
Певек,2023,7,9.964425,9.468655,13.473695
Певек,2023,8,4.4460106,11.083629,15.723434
Певек,2023,9,1.7237638,12.252881,19.572075
Певек,2023,10,-5.8268385,11.614062,20.871864
Певек,2023,11,-12.7997465,12.433283,21.474436
