city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Петропавловск-Камчатский,2017,1,-10.158503,10.033664,17.13398
Петропавловск-Камчатский,2017,2,-3.8487175,12.848586,22.635092
Петропавловск-Камчатский,2017,3,-0.7576963,7.4336534,12.97403
Петропавловск-Камчатский,2017,4,0.5227361,10.495297,17.661661
Петропавловск-Камчатский,2017,5,4.093917,9.169694,14.684138
Петропавловск-Камчатский,2017,6,9.738222,7.728833,11.422252
Петропавловск-Камчатский,2017,7,13.624292,8.00876,11.6917925
Петропавловск-Камчатский,2017,8,14.798218,7.445625,11.235393
Петропавловск-Камчатский,2017,9,10.720722,9.574238,15.299646
Петропавловск-Камчатский,2017,10,3.726309,10.330611,17.114096
Петропавловск-Камчатский,2017,11,-0.68761116,12.510701,20.059052
Петропавловск-Камчатский,2017,12,-6.9874682,12.921487,21.011234
Петропавловск-Камчатский,2018,1,-7.7492957,10.516203,18.244604
Петропавловск-Камчатский,2018,2,-5.849015,8.890142,16.135298
Петропавловск-Камчатский,2018,3,-5.371406,11.469989,19.093702
Петропавловск-Камчатский,2018,4,0.15724997,10.923248,18.595022
Петропавловск-Камчатский,2018,5,4.0347095,8.121827,13.609327
Петропавловск-Камчатский,2018,6,8.559195,8.91499,13.313844
Петропавловск-Камчатский,2018,7,14.205409,7.9293227,11.934389
Петропавловск-Камчатский,2018,8,13.695798,8.050647,12.720582
Петропавловск-Камчатский,2018,9,10.723153,9.384229,15.310897
Петропавловск-Камчатский,2018,10,6.107828,10.073483,16.58572
Петропавловск-Камчатский,2018,11,-0.86615276,11.054205,18.355047
Петропавловск-Камчатский,2018,12,-8.643248,11.4175825,19.024366
Петропавловск-Камчатский,2019,1,-8.076917,12.137839,21.063354
Петропавловск-Камчатский,2019,2,-10.558687,9.491708,16.2313
Петропавловск-Камчатский,2019,3,-5.306823,11.163446,18.875843
Петропавловск-Камчатский,2019,4,0.7144028,10.121069,16.820543
Петропавловск-Камчатский,2019,5,4.798218,9.37824,14.693803
Петропавловск-Камчатский,2019,6,8.29718,8.2778845,12.504283
Петропавловск-Камчатский,2019,7,13.327922,7.5252123,11.153292
Петропавловск-Камчатский,2019,8,13.739884,8.051136,12.629758
Петропавловск-Камчатский,2019,9,10.56225,9.356905,14.979361
Петропавловск-Камчатский,2019,10,4.315153,9.808241,16.168968
Петропавловск-Камчатский,2019,11,-1.4092084,10.154023,17.169147
