city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Поронайск,2017,1,-15.161084,11.494437,17.9914
Поронайск,2017,2,-10.868152,12.948735,20.867641
Поронайск,2017,3,-5.600196,9.912436,15.724662
Поронайск,2017,4,-0.6767778,11.085056,17.373222
Поронайск,2017,5,6.1149244,10.098428,14.766887
Поронайск,2017,6,9.625584,10.33306,14.551073
Поронайск,2017,7,15.499199,9.548594,13.271147
Поронайск,2017,8,16.062506,10.199375,14.933318
Поронайск,2017,9,13.487597,11.553076,18.188784
Поронайск,2017,10,3.8928146,11.912319,19.13652
Поронайск,2017,11,-6.3706665,13.866413,22.281221
Поронайск,2017,12,-13.478892,16.319233,25.63543
Поронайск,2018,1,-17.38709,13.727734,21.543568
Поронайск,2018,2,-16.935934,10.181171,15.488554
Поронайск,2018,3,-8.611016,12.210331,19.213615
Поронайск,2018,4,0.43516672,12.596156,20.244856
Поронайск,2018,5,6.939656,10.376298,15.361478
Поронайск,2018,6,10.010861,12.237231,17.66597
Поронайск,2018,7,13.395839,9.396284,13.062511
Поронайск,2018,8,15.148057,10.411027,15.150854
Поронайск,2018,9,13.1114855,12.761028,20.68789
Поронайск,2018,10,7.2019544,11.8209305,18.868792
Поронайск,2018,11,-1.2412916,11.710802,19.055622
Поронайск,2018,12,-9.919685,13.080674,20.145445
Поронайск,2019,1,-13.781446,10.334808,16.61786
Поронайск,2019,2,-16.853123,9.447637,14.389567
Поронайск,2019,3,-7.896903,9.847734,15.326856
Поронайск,2019,4,1.069889,10.641582,16.704487
Поронайск,2019,5,7.3328686,11.54819,17.11546
Поронайск,2019,6,9.846,10.858841,15.371724
Поронайск,2019,7,13.643956,10.601967,14.963445
Поронайск,2019,8,14.456658,10.098104,14.71564
Поронайск,2019,9,13.331277,12.458958,19.725988
Поронайск,2019,10,6.325543,11.639997,19.04693
Поронайск,2019,11,-2.7793472,14.471011,22.804373
Поронайск,2019,12,-13.941393,11.671714,18.06948
Поронайск,2020,1,-15.799256,9.468575,14.086906
Поронайск,2020,2,-13.807995,9.996576,15.428104
Поронайск,2020,3,-5.0069165,13.212671,20.869844
Поронайск,2020,4,0.17586112,11.808205,18.29147
Поронайск,2020,5,6.1152606,11.257893,16.641008
Поронайск,2020,6,9.814055,8.85617,12.424602
Поронайск,2020,7,14.946175,9.531815,13.54759
Поронайск,2020,8,15.451215,11.571039,17.588688
Поронайск,2020,9,13.385584,9.804356,15.29135
Поронайск,2020,10,7.1348844,12.687698,20.645042
Поронайск,2020,11,-1.7441387,11.318087,18.450888
Поронайск,2020,12,-11.235076,11.429716,17.432522
Поронайск,2021,1,-18.81088,10.077346,15.724764
Поронайск,2021,2,-12.380577,13.68275,21.517153
Поронайск,2021,3,-5.162831,12.0335655,19.22312
Поронайск,2021,4,1.3146112,12.9808035,20.171638
Поронайск,2021,5,5.6457715,13.887039,20.586128
Поронайск,2021,6,11.053222,9.562239,13.509525
Поронайск,2021,7,18.832867,9.761339,13.685733
Поронайск,2021,8,15.744696,10.110101,14.710598
Поронайск,2021,9,13.5841255,12.011516,19.021086
Поронайск,2021,10,4.9352202,12.334733,20.20005
Поронайск,2021,11,-0.69497216,12.128592,19.573042
Поронайск,2021,12,-11.48568,13.983981,22.959843
Поронайск,2022,1,-13.36693,15.938524,25.531126
Поронайск,2022,2,-10.030503,14.113082,23.847763
Поронайск,2022,3,-5.541124,10.928888,16.882776
Поронайск,2022,4,1.3085,14.367996,23.060427
Поронайск,2022,5,5.2007446,12.3238,18.392073
Поронайск,2022,6,9.207042,10.38806,14.541331
Поронайск,2022,7,16.075407,9.488131,13.423904
Поронайск,2022,8,17.119493,13.402216,20.466446
Поронайск,2022,9,13.991346,12.908312,20.525085
Поронайск,2022,10,5.2509465,11.33743,18.73898
Поронайск,2022,11,-1.8345555,12.250791,20.018497
Поронайск,2022,12,-10.699323,12.254376,19.695744
Поронайск,2023,1,-17.198786,10.657657,17.1721
Поронайск,2023,2,-16.660488,8.337,11.9987135
Поронайск,2023,3,-3.4509354,11.180759,18.464016
Поронайск,2023,4,1.5768335,12.609819,19.339756
Поронайск,2023,5,6.6332045,11.620667,17.175854
Поронайск,2023,6,11.623709,9.3326845,12.761648
Поронайск,2023,7,16.818016,8.358877,11.394873
Поронайск,2023,8,17.473997,9.606436,14.299498
Поронайск,2023,9,15.156138,10.765368,17.511745
Поронайск,2023,10,7.8763494,12.874847,21.241472
Поронайск,2023,11,-2.3966892,13.274221,21.028734
