city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Провидения,2017,1,-13.646433,14.999193,27.591139
Провидения,2017,2,-15.894194,14.316559,25.712345
Провидения,2017,3,-11.54556,7.5311613,13.404805
Провидения,2017,4,-4.1674027,12.693628,21.448923
Провидения,2017,5,-0.4264059,8.346979,13.655326
Провидения,2017,6,8.227805,11.182732,17.357664
Провидения,2017,7,10.524266,11.199519,17.51277
Провидения,2017,8,8.299602,11.640784,18.404488
Провидения,2017,9,4.7745414,10.437802,17.779629
Провидения,2017,10,-1.1350081,14.127302,25.729574
Провидения,2017,11,-2.2445555,17.950811,31.471281
Провидения,2017,12,-6.786016,16.98,29.770582
Провидения,2018,1,-10.008126,13.812101,23.759066
Провидения,2018,2,-6.329089,17.380747,30.322676
Провидения,2018,3,-9.002146,15.218446,26.491108
Провидения,2018,4,-4.1523333,18.28035,31.149612
Провидения,2018,5,-1.1014059,10.439766,17.346006
Провидения,2018,6,6.2390556,9.976677,15.912789
Провидения,2018,7,9.810287,11.533032,17.267342
Провидения,2018,8,9.274603,11.304779,17.779184
Провидения,2018,9,8.94232,13.046081,22.029234
Провидения,2018,10,3.134683,17.503117,31.489067
Провидения,2018,11,-3.7018473,16.807722,29.396309
Провидения,2018,12,-17.419954,14.631146,26.85189
Провидения,2019,1,-17.087294,16.3236,31.001953
Провидения,2019,2,-4.9668126,17.435497,30.796566
Провидения,2019,3,-8.108126,17.884775,33.438793
Провидения,2019,4,-6.788653,13.9112425,24.08383
Провидения,2019,5,0.40175268,9.905102,16.623312
Провидения,2019,6,10.337389,9.40474,14.26867
Провидения,2019,7,12.555852,11.586303,17.442772
Провидения,2019,8,9.97514,11.118575,17.68038
Провидения,2019,9,6.6812778,11.827532,20.54162
Провидения,2019,10,-0.0073871124,14.567715,26.148195
Провидения,2019,11,-4.4623337,19.281515,32.909565
Провидения,2019,12,-9.488436,18.754442,33.34979
Провидения,2020,1,-16.976406,13.723356,25.177366
Провидения,2020,2,-21.741758,17.078339,32.445026
Провидения,2020,3,-8.984269,13.387507,24.716652
Провидения,2020,4,-6.6333055,11.206572,20.361187
Провидения,2020,5,0.09845966,13.289285,24.085127
Провидения,2020,6,9.09975,10.081288,15.10138
Провидения,2020,7,10.044696,9.679015,14.093383
Провидения,2020,8,9.985826,12.086453,18.495436
Провидения,2020,9,5.184611,11.166818,18.963152
Провидения,2020,10,1.2922769,12.89943,23.620953
Провидения,2020,11,-2.4356668,15.850444,28.639494
Провидения,2020,12,-10.399793,17.606482,31.544739
Провидения,2021,1,-18.554161,15.68598,29.004557
Провидения,2021,2,-20.037497,20.163958,37.75152
Провидения,2021,3,-15.251944,14.080769,25.833162
Провидения,2021,4,-7.9736524,11.804696,21.538929
Провидения,2021,5,-0.22613712,13.0973425,22.41259
Провидения,2021,6,6.2014856,11.665197,17.287052
Провидения,2021,7,8.446646,12.164737,19.17556
Провидения,2021,8,7.740194,12.361784,20.780254
Провидения,2021,9,3.4171803,11.752511,20.380365
Провидения,2021,10,-4.172911,11.571199,21.468777
Провидения,2021,11,-13.617958,11.986331,24.293022
Провидения,2021,12,-14.639712,16.899406,33.337498
Провидения,2022,1,-18.525867,15.330318,29.733727
Провидения,2022,2,-17.137125,20.861208,39.676357
Провидения,2022,3,-10.765317,13.986758,26.21735
Провидения,2022,4,-5.596361,14.265814,25.64992
Провидения,2022,5,0.3740645,11.553571,19.586542
Провидения,2022,6,6.1810694,12.39164,18.688961
Провидения,2022,7,8.014656,11.954903,17.70131
Провидения,2022,8,8.453769,12.414878,19.428545
Провидения,2022,9,5.791139,13.454005,22.55635
Провидения,2022,10,-2.2466345,12.63691,22.79644
Провидения,2022,11,-6.4204583,14.43184,26.351627
Провидения,2022,12,-8.505506,19.815708,35.28611
Провидения,2023,1,-16.993544,16.962122,31.50906
Провидения,2023,2,-18.605726,14.730125,27.414196
Провидения,2023,3,-11.717198,12.434707,22.798292
Провидения,2023,4,-11.725458,11.701372,20.474426
Провидения,2023,5,-1.5882338,10.813586,18.695879
Провидения,2023,6,4.6983614,10.360664,16.483425
Провидения,2023,7,10.122251,8.921399,12.621466
Провидения,2023,8,8.538849,11.627125,19.309948
Провидения,2023,9,4.238222,8.950682,14.996585
Провидения,2023,10,-0.43084142,11.170644,21.142776
Провидения,2023,11,-5.7329583,13.515391,26.141207
