city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Райчихинск,2017,1,-21.007051,9.84284,19.184586
Райчихинск,2017,2,-14.757289,10.928882,20.740988
Райчихинск,2017,3,-4.7532206,9.407531,16.831196
Райчихинск,2017,4,4.040028,13.018028,22.033302
Райчихинск,2017,5,13.343419,12.944782,22.645645
Райчихинск,2017,6,17.911625,10.162632,17.23031
Райчихинск,2017,7,21.706053,9.621719,16.822987
Райчихинск,2017,8,19.585691,9.686526,16.797976
Райчихинск,2017,9,12.416834,10.740334,19.069258
Райчихинск,2017,10,0.6518871,11.461189,20.768768
Райчихинск,2017,11,-11.206292,10.879869,19.446415
Райчихинск,2017,12,-22.036285,9.7698,17.74321
Райчихинск,2018,1,-23.810211,9.871215,18.954485
Райчихинск,2018,2,-21.45461,9.110179,16.389751
Райчихинск,2018,3,-7.6225758,12.47974,22.333504
Райчихинск,2018,4,4.970236,13.257398,23.536346
Райчихинск,2018,5,13.330248,10.80081,18.95255
Райчихинск,2018,6,16.883013,10.87043,18.512936
Райчихинск,2018,7,21.421713,10.536031,18.072027
Райчихинск,2018,8,18.988647,8.147239,14.426023
Райчихинск,2018,9,12.279056,12.264039,21.815233
Райчихинск,2018,10,4.371712,10.52121,19.519169
Райчихинск,2018,11,-10.583445,9.876034,18.361645
Райчихинск,2018,12,-20.958395,10.564523,19.921179
Райчихинск,2019,1,-19.74919,10.000467,18.891212
Райчихинск,2019,2,-16.554909,10.603104,20.125637
Райчихинск,2019,3,-4.7779517,10.700467,18.899326
Райчихинск,2019,4,3.816,11.836904,20.921177
Райчихинск,2019,5,11.012102,13.426572,23.00456
Райчихинск,2019,6,16.630375,8.396091,13.916694
Райчихинск,2019,7,21.188513,9.667232,16.342152
Райчихинск,2019,8,18.325274,9.205452,15.977784
Райчихинск,2019,9,12.927597,11.966184,21.483429
Райчихинск,2019,10,3.1537688,11.332015,20.714998
Райчихинск,2019,11,-11.13157,12.455913,22.018345
Райчихинск,2019,12,-22.799793,9.114438,17.19448
Райчихинск,2020,1,-20.33037,8.629103,15.391316
Райчихинск,2020,2,-15.9582815,9.633023,18.324762
Райчихинск,2020,3,-3.9692822,10.507203,18.432041
Райчихинск,2020,4,4.9999585,12.693912,21.823261
Райчихинск,2020,5,12.642276,11.422872,20.291565
Райчихинск,2020,6,16.352041,9.955335,16.900175
Райчихинск,2020,7,22.682129,9.035368,16.001024
Райчихинск,2020,8,18.08018,12.519897,21.722216
Райчихинск,2020,9,14.29343,11.26433,19.596466
Райчихинск,2020,10,3.594293,12.6465645,22.495308
Райчихинск,2020,11,-9.453514,11.240338,21.290493
Райчихинск,2020,12,-20.330774,9.84981,19.081459
Райчихинск,2021,1,-25.937965,9.432601,17.050127
Райчихинск,2021,2,-18.728346,11.877071,21.733961
Райчихинск,2021,3,-4.2608147,11.593808,21.01751
Райчихинск,2021,4,3.9679444,14.363298,24.791018
Райчихинск,2021,5,11.32944,11.147327,18.974312
Райчихинск,2021,6,19.287527,10.78451,18.400013
Райчихинск,2021,7,23.502895,9.772448,16.673824
Райчихинск,2021,8,19.020367,9.32239,15.816615
Райчихинск,2021,9,13.5177355,8.955712,16.251762
Райчихинск,2021,10,2.347586,10.597627,19.984896
Райчихинск,2021,11,-7.7319865,10.893525,21.2567
Райчихинск,2021,12,-23.153557,10.214652,20.12046
Райчихинск,2022,1,-24.607992,8.60639,16.045954
Райчихинск,2022,2,-16.243227,9.073027,17.565691
Райчихинск,2022,3,-6.0439467,10.544846,19.291515
Райчихинск,2022,4,3.6421804,13.778143,24.22895
Райчихинск,2022,5,10.684952,12.17446,21.029306
Райчихинск,2022,6,18.467875,9.165108,15.795421
Райчихинск,2022,7,22.845837,8.680855,14.823385
Райчихинск,2022,8,18.050274,9.716985,16.819479
Райчихинск,2022,9,13.181972,12.820097,22.811523
Райчихинск,2022,10,2.0764167,11.420547,21.376995
Райчихинск,2022,11,-9.311083,10.759567,19.144796
Райчихинск,2022,12,-21.150465,10.376015,19.968258
Райчихинск,2023,1,-26.229364,9.613233,17.193174
Райчихинск,2023,2,-16.631472,9.327053,17.306505
Райчихинск,2023,3,-2.7163925,12.676502,22.481632
Райчихинск,2023,4,3.7507222,12.683684,22.38064
Райчихинск,2023,5,11.862706,12.827295,22.459948
Райчихинск,2023,6,18.147875,9.950865,16.872969
Райчихинск,2023,7,22.01385,7.943776,13.078225
Райчихинск,2023,8,20.189857,9.744045,16.888317
Райчихинск,2023,9,13.084819,11.228205,19.905775
Райчихинск,2023,10,4.3491316,11.893817,21.658781
Райчихинск,2023,11,-9.045837,11.348234,21.49866
