city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Свободный,2017,1,-21.220076,10.254729,20.013416
Свободный,2017,2,-14.939312,11.607009,21.629585
Свободный,2017,3,-5.0654383,9.864979,17.681025
Свободный,2017,4,3.5544722,12.965754,22.290133
Свободный,2017,5,11.9252205,12.611411,21.721266
Свободный,2017,6,18.256208,9.937288,17.307398
Свободный,2017,7,21.47421,9.160506,15.885781
Свободный,2017,8,19.398338,8.293395,14.115195
Свободный,2017,9,12.027528,10.269558,18.424633
Свободный,2017,10,-0.57262903,10.550984,19.155422
Свободный,2017,11,-12.371708,10.251126,18.513771
Свободный,2017,12,-22.7354,10.229901,18.553486
Свободный,2018,1,-23.321218,10.021364,19.339022
Свободный,2018,2,-21.575697,8.723867,16.680412
Свободный,2018,3,-7.978409,12.107868,21.268448
Свободный,2018,4,3.963639,13.4421835,23.03887
Свободный,2018,5,13.042223,10.428705,18.567924
Свободный,2018,6,16.973917,9.497794,16.06551
Свободный,2018,7,21.16171,9.254336,16.226093
Свободный,2018,8,18.810234,7.2696066,12.519942
Свободный,2018,9,11.8637085,11.703986,21.251392
Свободный,2018,10,4.069508,10.573506,19.505209
Свободный,2018,11,-9.721986,8.977893,16.50095
Свободный,2018,12,-21.829485,10.276369,18.739775
Свободный,2019,1,-20.351257,9.851443,18.066936
Свободный,2019,2,-16.833286,10.657762,20.13799
Свободный,2019,3,-5.4626155,10.535261,18.063427
Свободный,2019,4,3.3032918,11.708972,21.049028
Свободный,2019,5,10.427439,12.663448,22.08738
Свободный,2019,6,17.556417,8.468164,13.905447
Свободный,2019,7,20.277237,8.133813,13.647063
Свободный,2019,8,18.130663,8.664675,15.156944
Свободный,2019,9,11.788847,11.566783,20.588112
Свободный,2019,10,1.1550591,10.018348,18.89476
Свободный,2019,11,-14.547055,10.928405,20.746641
Свободный,2019,12,-25.475452,8.792004,16.137531
Свободный,2020,1,-21.83298,7.6213417,13.431814
Свободный,2020,2,-16.183008,9.106534,16.92257
Свободный,2020,3,-6.2325077,9.414262,17.094442
Свободный,2020,4,3.9160695,12.830795,22.02245
Свободный,2020,5,11.224145,10.905979,19.106094
Свободный,2020,6,16.424126,8.785679,14.897785
Свободный,2020,7,23.11682,8.567044,15.029234
Свободный,2020,8,17.330597,10.6987,18.910667
Свободный,2020,9,13.572944,10.527948,18.30813
Свободный,2020,10,2.6475322,11.475335,20.587568
Свободный,2020,11,-10.208722,10.520732,20.559683
Свободный,2020,12,-21.788422,9.629575,18.17038
Свободный,2021,1,-26.57189,8.666401,16.307455
Свободный,2021,2,-19.318182,11.169081,21.0452
Свободный,2021,3,-5.229484,11.166769,19.892462
Свободный,2021,4,2.8662777,14.235916,24.330742
Свободный,2021,5,10.183016,10.217019,17.764381
Свободный,2021,6,19.225096,9.113054,15.833149
Свободный,2021,7,22.965073,8.495287,14.422135
Свободный,2021,8,18.714737,8.174976,14.039013
Свободный,2021,9,13.151347,8.311419,15.074875
Свободный,2021,10,1.0638629,9.669245,18.611576
Свободный,2021,11,-7.2787223,11.267772,20.8089
Свободный,2021,12,-21.885868,9.4466,19.324823
Свободный,2022,1,-23.01154,8.545509,16.450764
Свободный,2022,2,-16.291025,9.386315,18.610916
Свободный,2022,3,-7.2690005,9.8338785,18.015089
Свободный,2022,4,2.5535696,12.473237,21.785627
Свободный,2022,5,10.062654,11.356502,19.83238
Свободный,2022,6,18.865305,8.116454,13.883511
Свободный,2022,7,23.202976,7.9028707,13.471803
Свободный,2022,8,17.606873,9.35968,15.955298
Свободный,2022,9,11.449541,11.94478,21.585073
Свободный,2022,10,1.0914166,10.400844,19.739733
Свободный,2022,11,-10.666917,9.695734,17.933292
Свободный,2022,12,-22.062347,9.871305,19.1026
Свободный,2023,1,-27.80213,8.407653,15.368721
Свободный,2023,2,-17.5129,8.814261,16.756695
Свободный,2023,3,-4.4759893,10.784645,20.134377
Свободный,2023,4,2.7948194,11.209647,19.990093
Свободный,2023,5,11.03342,12.059691,21.35146
Свободный,2023,6,17.969889,8.808929,14.876968
Свободный,2023,7,22.454052,7.5691943,12.986603
Свободный,2023,8,19.813997,8.330096,14.593356
Свободный,2023,9,11.660514,10.660382,19.018322
Свободный,2023,10,3.2773037,11.326321,21.0438
Свободный,2023,11,-9.68794,9.714267,18.80486
