city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Северо-Курильск,2017,1,-5.6179543,15.810177,26.02463
Северо-Курильск,2017,2,-3.5514195,17.726843,29.230795
Северо-Курильск,2017,3,-1.420105,13.497778,22.772432
Северо-Курильск,2017,4,-0.55762506,15.915222,26.874683
Северо-Курильск,2017,5,2.925191,11.45774,19.044615
Северо-Курильск,2017,6,7.461472,9.640968,13.610383
Северо-Курильск,2017,7,13.414438,10.1844635,15.966803
Северо-Курильск,2017,8,13.758726,11.934878,19.529703
Северо-Курильск,2017,9,10.676055,13.317144,23.021627
Северо-Курильск,2017,10,4.452409,21.100239,33.672436
Северо-Курильск,2017,11,0.20661104,21.310566,34.754356
Северо-Курильск,2017,12,-4.0519595,20.956823,33.087814
Северо-Курильск,2018,1,-5.207874,16.51399,26.593225
Северо-Курильск,2018,2,-5.9337115,17.201494,26.612526
Северо-Курильск,2018,3,-4.1660056,18.868942,29.996555
Северо-Курильск,2018,4,-1.2143612,17.422722,28.536999
Северо-Курильск,2018,5,2.5011988,12.657376,22.08672
Северо-Курильск,2018,6,6.947722,11.073822,17.630445
Северо-Курильск,2018,7,13.151804,9.905678,15.55982
Северо-Курильск,2018,8,11.75718,10.2547455,16.611567
Северо-Курильск,2018,9,10.884527,12.783735,22.262474
Северо-Курильск,2018,10,7.0189404,15.975261,26.188267
Северо-Курильск,2018,11,1.0577916,19.306557,31.393785
Северо-Курильск,2018,12,-4.530118,17.94672,28.89545
Северо-Курильск,2019,1,-5.4945,15.528335,24.80703
Северо-Курильск,2019,2,-7.9059587,18.97262,28.86742
Северо-Курильск,2019,3,-4.4143925,16.549273,26.442684
Северо-Курильск,2019,4,-0.0020695084,11.678076,21.155834
Северо-Курильск,2019,5,4.4376907,13.896105,23.909243
Северо-Курильск,2019,6,8.054736,9.074707,13.870946
Северо-Курильск,2019,7,11.1249895,9.265624,14.0344925
Северо-Курильск,2019,8,12.096764,8.524239,13.011423
Северо-Курильск,2019,9,10.516819,13.352317,22.34911
Северо-Курильск,2019,10,5.5790215,15.688428,26.331118
Северо-Курильск,2019,11,0.15084717,20.631474,32.911407
Северо-Курильск,2019,12,-3.6003468,19.548914,31.214424
Северо-Курильск,2020,1,-5.616812,16.230452,25.762445
Северо-Курильск,2020,2,-5.395003,15.748238,25.30065
Северо-Курильск,2020,3,-1.732336,18.36383,30.822065
Северо-Курильск,2020,4,-0.3770695,14.232235,24.272356
Северо-Курильск,2020,5,2.3106074,13.23655,21.893095
Северо-Курильск,2020,6,8.925639,11.115115,19.101406
Северо-Курильск,2020,7,11.528416,9.998686,16.057001
Северо-Курильск,2020,8,12.051333,11.170931,19.316673
Северо-Курильск,2020,9,10.919875,11.384781,19.322058
Северо-Курильск,2020,10,7.0225697,16.210327,27.020634
Северо-Курильск,2020,11,0.044388812,19.791008,31.166285
Северо-Курильск,2020,12,-5.5700374,13.826436,21.838228
Северо-Курильск,2021,1,-7.0139217,19.361235,29.76688
Северо-Курильск,2021,2,-5.2628036,17.533257,28.209574
Северо-Курильск,2021,3,-2.0901318,20.884066,34.075825
Северо-Курильск,2021,4,0.94251376,17.986813,30.658108
Северо-Курильск,2021,5,3.911078,11.127226,18.765448
Северо-Курильск,2021,6,8.563069,10.271207,15.351057
Северо-Курильск,2021,7,13.377072,9.603135,14.423044
Северо-Курильск,2021,8,12.508793,8.599626,12.514714
Северо-Курильск,2021,9,10.483833,14.056669,23.701006
Северо-Курильск,2021,10,5.700056,19.664536,32.67552
Северо-Курильск,2021,11,1.0725138,15.512689,26.316048
Северо-Курильск,2021,12,-2.08946,21.06978,33.909527
Северо-Курильск,2022,1,-3.5311935,14.973295,25.115974
Северо-Курильск,2022,2,-3.5014942,13.031883,21.601444
Северо-Курильск,2022,3,-2.3637877,15.598452,25.929863
Северо-Курильск,2022,4,0.0834166,14.733826,24.111404
Северо-Курильск,2022,5,4.208927,11.017494,18.153461
Северо-Курильск,2022,6,9.245361,8.486588,12.240731
Северо-Курильск,2022,7,14.1376915,9.875256,14.950248
Северо-Курильск,2022,8,14.712086,12.103606,20.454002
Северо-Курильск,2022,9,12.052097,16.262247,26.826706
Северо-Курильск,2022,10,5.1879597,18.516735,29.30233
Северо-Курильск,2022,11,0.49911106,19.018755,30.525776
Северо-Курильск,2022,12,-3.4922824,19.543001,32.012005
Северо-Курильск,2023,1,-8.031664,18.111712,28.293829
Северо-Курильск,2023,2,-6.894054,15.89681,25.354721
Северо-Курильск,2023,3,-2.0829408,15.660321,26.36748
Северо-Курильск,2023,4,0.2635555,18.2426,31.123161
Северо-Курильск,2023,5,2.7782822,13.338525,23.932384
Северо-Курильск,2023,6,8.78932,10.7717085,16.951092
Северо-Курильск,2023,7,13.142732,10.63378,14.179314
Северо-Курильск,2023,8,13.470151,10.096254,14.384128
Северо-Курильск,2023,9,12.473486,13.49256,20.678932
Северо-Курильск,2023,10,7.6967635,15.017236,23.480442
Северо-Курильск,2023,11,1.6060681,19.940498,30.484222
