city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Сковородино,2017,1,-23.796232,8.829669,17.572777
Сковородино,2017,2,-17.155502,9.75325,18.759872
Сковородино,2017,3,-6.213435,9.908566,17.936678
Сковородино,2017,4,2.3481529,11.972138,21.16029
Сковородино,2017,5,9.119763,10.826417,19.246359
Сковородино,2017,6,18.220793,8.174038,14.564722
Сковородино,2017,7,19.875208,8.248961,14.663485
Сковородино,2017,8,16.652224,9.094911,16.804752
Сковородино,2017,9,9.508917,10.514928,19.16669
Сковородино,2017,10,-2.469551,8.760851,15.966235
Сковородино,2017,11,-16.472471,8.801841,16.990108
Сковородино,2017,12,-25.657791,8.272045,17.728918
Сковородино,2018,1,-25.425936,9.29668,18.515877
Сковородино,2018,2,-22.334595,9.179013,17.649231
Сковородино,2018,3,-11.3131,8.908166,16.750101
Сковородино,2018,4,1.6448888,11.723725,20.735249
Сковородино,2018,5,11.44389,9.487922,17.404219
Сковородино,2018,6,15.721069,8.3125515,15.232259
Сковородино,2018,7,18.683743,9.549031,17.372526
Сковородино,2018,8,17.177156,6.994683,12.620085
Сковородино,2018,9,9.144889,11.068863,20.429888
Сковородино,2018,10,1.6204355,9.253963,17.372766
Сковородино,2018,11,-13.649,8.034938,14.853547
Сковородино,2018,12,-25.08279,9.477107,18.906622
Сковородино,2019,1,-22.640451,8.173277,16.706644
Сковородино,2019,2,-18.327452,8.787987,17.095987
Сковородино,2019,3,-9.788772,8.871511,16.653873
Сковородино,2019,4,0.92343056,10.375216,18.802938
Сковородино,2019,5,9.015933,11.3425255,20.506203
Сковородино,2019,6,17.86968,7.5725455,13.651768
Сковородино,2019,7,18.837236,8.142167,14.518305
Сковородино,2019,8,17.116604,7.2992277,12.982401
Сковородино,2019,9,8.995235,9.834307,17.992626
Сковородино,2019,10,-0.6806398,8.293285,15.385087
Сковородино,2019,11,-18.678375,9.736273,19.081356
Сковородино,2019,12,-26.611956,7.6131673,15.705172
Сковородино,2020,1,-23.148516,5.043201,9.685016
Сковородино,2020,2,-17.018986,8.523594,16.563599
Сковородино,2020,3,-8.885949,8.932973,16.746119
Сковородино,2020,4,1.6105833,10.690433,19.74026
Сковородино,2020,5,9.095973,9.884643,17.698442
Сковородино,2020,6,15.6935005,7.902864,13.714882
Сковородино,2020,7,22.171108,8.672585,15.41971
Сковородино,2020,8,15.175342,9.729312,17.997072
Сковородино,2020,9,11.944195,9.497685,17.592863
Сковородино,2020,10,-0.5225753,10.405085,19.331364
Сковородино,2020,11,-13.393514,8.622522,17.120728
Сковородино,2020,12,-24.718004,8.283974,16.864925
Сковородино,2021,1,-28.198114,8.33175,16.477074
Сковородино,2021,2,-21.54583,9.917498,19.134487
Сковородино,2021,3,-9.028422,8.907772,17.070028
Сковородино,2021,4,-0.6218472,10.630585,19.583176
Сковородино,2021,5,7.167344,9.610649,17.414145
Сковородино,2021,6,18.144196,8.169343,14.812946
Сковородино,2021,7,20.24604,7.503787,13.252601
Сковородино,2021,8,16.650476,8.737531,15.736147
Сковородино,2021,9,10.893708,8.851417,16.456348
Сковородино,2021,10,-0.5032876,8.106533,15.065352
Сковородино,2021,11,-9.759347,8.523078,15.662363
Сковородино,2021,12,-22.362562,8.475894,17.163563
Сковородино,2022,1,-22.686888,8.838846,17.818666
Сковородино,2022,2,-17.910116,9.309263,17.859413
Сковородино,2022,3,-9.505102,9.440307,17.667536
Сковородино,2022,4,0.56919444,10.430737,18.315699
Сковородино,2022,5,8.355516,10.783747,19.52925
Сковородино,2022,6,18.011765,7.293794,13.235454
Сковородино,2022,7,21.450611,8.20044,14.482766
Сковородино,2022,8,15.032196,7.9975114,14.544321
Сковородино,2022,9,8.338362,9.712185,17.89014
Сковородино,2022,10,-0.6250618,8.815366,16.475853
Сковородино,2022,11,-15.451361,7.873309,15.5963
Сковородино,2022,12,-24.135614,9.007569,18.565943
Сковородино,2023,1,-28.59919,7.088365,14.415223
Сковородино,2023,2,-19.00245,6.834939,13.211556
Сковородино,2023,3,-7.0387716,9.723428,18.702011
Сковородино,2023,4,-0.6841389,10.802865,19.938206
Сковородино,2023,5,8.647989,10.594093,19.274343
Сковородино,2023,6,16.07843,9.222114,16.474127
Сковородино,2023,7,21.120974,6.0682287,10.881984
Сковородино,2023,8,17.606188,7.137986,12.809023
Сковородино,2023,9,9.144125,9.160961,17.039646
Сковородино,2023,10,1.2750726,8.8548765,16.872963
Сковородино,2023,11,-10.437882,7.960107,15.028796
