city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Смирных,2017,1,-16.053827,11.071313,19.51736
Смирных,2017,2,-11.0614195,13.775851,24.165579
Смирных,2017,3,-5.8549705,10.338996,17.367413
Смирных,2017,4,-1.0029029,10.089854,16.844893
Смирных,2017,5,6.953699,10.381526,15.398374
Смирных,2017,6,10.562931,8.549655,12.642152
Смирных,2017,7,16.706453,9.179395,13.413983
Смирных,2017,8,15.562436,9.296977,14.535218
Смирных,2017,9,12.374875,9.955115,16.258816
Смирных,2017,10,2.3397202,11.219187,19.031698
Смирных,2017,11,-8.117625,11.662735,20.378899
Смирных,2017,12,-14.991261,13.722996,23.468233
Смирных,2018,1,-18.876005,15.064544,23.211277
Смирных,2018,2,-16.882998,10.25883,17.661268
Смирных,2018,3,-10.8408575,12.400709,18.48684
Смирных,2018,4,-0.16227776,11.508896,18.918474
Смирных,2018,5,7.824331,8.7393875,13.204629
Смирных,2018,6,10.3150835,11.71618,17.417208
Смирных,2018,7,14.339182,8.71676,12.642393
Смирных,2018,8,14.988645,9.398516,14.615827
Смирных,2018,9,11.880153,11.670918,19.191347
Смирных,2018,10,5.588981,10.382894,18.04266
Смирных,2018,11,-2.7608194,10.793723,18.497433
Смирных,2018,12,-11.465118,13.463228,22.479464
Смирных,2019,1,-15.031516,11.232565,20.530935
Смирных,2019,2,-18.38657,12.2902775,17.633478
Смирных,2019,3,-9.078358,11.475969,16.671019
Смирных,2019,4,1.0527222,11.528798,18.6864
Смирных,2019,5,7.7354193,11.458139,17.62243
Смирных,2019,6,9.968,10.278739,15.249422
Смирных,2019,7,14.116266,9.7036915,14.107467
Смирных,2019,8,14.220568,8.872652,13.634289
Смирных,2019,9,12.277375,11.544752,19.052488
Смирных,2019,10,4.826347,10.4348135,17.661821
Смирных,2019,11,-4.1084585,14.749062,24.456072
Смирных,2019,12,-14.883868,11.770233,21.030907
Смирных,2020,1,-16.730307,10.317986,18.154356
Смирных,2020,2,-15.292719,11.653291,17.660946
Смирных,2020,3,-6.737161,12.4305935,18.717638
Смирных,2020,4,-0.30422223,10.77526,17.439058
Смирных,2020,5,6.511831,10.358601,15.839022
Смирных,2020,6,10.33668,9.281213,13.797059
Смирных,2020,7,15.376213,8.802669,13.091116
Смирных,2020,8,14.76519,10.671135,16.974535
Смирных,2020,9,12.655916,7.9725003,12.657613
Смирных,2020,10,5.6078653,10.652349,18.529642
Смирных,2020,11,-3.3626251,11.345363,19.543598
Смирных,2020,12,-13.562497,10.846037,17.898613
Смирных,2021,1,-20.97755,10.652339,18.63827
Смирных,2021,2,-13.960676,14.254819,23.774519
Смирных,2021,3,-7.4851456,11.668255,18.427202
Смирных,2021,4,0.7595972,12.211336,19.880165
Смирных,2021,5,5.8327985,11.8872175,18.286842
Смирных,2021,6,11.920083,9.980394,14.866569
Смирных,2021,7,19.249464,9.215866,13.21573
Смирных,2021,8,15.334277,9.608885,14.681025
Смирных,2021,9,12.306541,9.515974,15.516974
Смирных,2021,10,2.4250028,10.61074,17.774023
Смирных,2021,11,-1.8463057,10.793365,18.51031
Смирных,2021,12,-11.914514,13.114084,21.507141
Смирных,2022,1,-14.250199,14.427651,26.145737
Смирных,2022,2,-11.149218,14.938937,26.832104
Смирных,2022,3,-7.0710993,9.99771,16.53632
Смирных,2022,4,-0.10470835,12.846216,20.960514
Смирных,2022,5,5.5594783,11.592931,17.990253
Смирных,2022,6,10.209181,9.85254,14.092852
Смирных,2022,7,16.842745,8.924882,13.042146
Смирных,2022,8,16.438444,12.177334,19.113329
Смирных,2022,9,12.719736,10.965345,18.151423
Смирных,2022,10,3.5104866,9.578471,16.400438
Смирных,2022,11,-3.5088058,11.049929,18.915869
Смирных,2022,12,-11.563438,12.101426,20.770193
Смирных,2023,1,-18.03555,12.327467,20.985662
Смирных,2023,2,-17.557255,9.334488,14.927452
Смирных,2023,3,-4.5127664,9.961179,16.515984
Смирных,2023,4,1.3523055,12.371049,19.94893
Смирных,2023,5,6.968954,11.38387,17.39183
Смирных,2023,6,12.659876,9.14615,13.160722
Смирных,2023,7,17.363646,8.257747,12.126559
Смирных,2023,8,17.081522,8.595487,13.712368
Смирных,2023,9,13.691333,10.324952,17.125834
Смирных,2023,10,6.0180135,11.33337,19.513367
Смирных,2023,11,-3.539538,11.448292,20.168238
