city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Соболево,2017,1,-13.1404295,12.939757,23.560263
Соболево,2017,2,-6.9888988,13.388044,24.579075
Соболево,2017,3,-1.4331048,10.878459,19.629368
Соболево,2017,4,-0.94215274,12.70603,21.195982
Соболево,2017,5,3.5369892,12.631292,18.8591
Соболево,2017,6,8.336181,12.211359,17.708035
Соболево,2017,7,13.074691,12.232275,18.268005
Соболево,2017,8,13.999354,9.734537,15.0562
Соболево,2017,9,10.480486,14.926498,23.974487
Соболево,2017,10,2.6734812,15.304102,25.143444
Соболево,2017,11,-1.8527082,19.22178,32.03744
Соболево,2017,12,-8.882769,14.575194,25.904533
Соболево,2018,1,-10.966774,12.221408,21.469704
Соболево,2018,2,-8.391354,11.929096,21.128935
Соболево,2018,3,-5.949167,16.265593,26.331356
Соболево,2018,4,-1.7099999,14.683176,23.806055
Соболево,2018,5,3.9427688,10.815802,16.708452
Соболево,2018,6,8.089514,10.668175,15.842047
Соболево,2018,7,13.040954,10.19904,15.131372
Соболево,2018,8,12.0056715,10.719665,16.629448
Соболево,2018,9,10.0875,13.120024,21.378216
Соболево,2018,10,4.9050674,12.007178,19.893526
Соболево,2018,11,-2.4954166,14.0663395,24.948704
Соболево,2018,12,-10.903938,12.337115,22.347315
Соболево,2019,1,-11.972083,14.020117,26.286514
Соболево,2019,2,-12.8074255,11.39843,19.93376
Соболево,2019,3,-9.08828,12.15331,20.650253
Соболево,2019,4,-0.60305554,10.026228,17.146875
Соболево,2019,5,5.232621,12.881805,19.939734
Соболево,2019,6,8.473958,10.367876,15.142957
Соболево,2019,7,11.190955,11.139234,16.375011
Соболево,2019,8,13.09465,10.299245,15.853319
Соболево,2019,9,9.654028,14.516627,23.08955
Соболево,2019,10,3.3508334,13.591407,22.196136
Соболево,2019,11,-1.8878472,16.709991,28.086306
Соболево,2019,12,-7.5415053,13.781473,24.396246
Соболево,2020,1,-9.743857,13.1708975,23.447489
Соболево,2020,2,-13.881567,12.721974,23.779476
Соболево,2020,3,-3.46086,17.855042,29.146675
Соболево,2020,4,-1.7604861,11.344305,18.855032
Соболево,2020,5,3.5705242,13.465209,20.565075
Соболево,2020,6,11.276458,11.70095,17.841835
Соболево,2020,7,12.502983,11.696624,17.009407
Соболево,2020,8,12.429798,12.217731,19.173037
Соболево,2020,9,9.047777,12.991272,20.923634
Соболево,2020,10,4.4123926,12.514146,21.12232
Соболево,2020,11,-2.4754167,14.11821,23.901901
Соболево,2020,12,-11.812943,11.73405,21.407396
Соболево,2021,1,-13.844799,13.538622,23.512323
Соболево,2021,2,-9.55378,12.622273,22.635256
Соболево,2021,3,-5.8437233,18.128115,29.870106
Соболево,2021,4,-0.21590278,15.882298,26.223185
Соболево,2021,5,3.9340994,12.621181,19.631111
Соболево,2021,6,8.717777,13.265667,19.580736
Соболево,2021,7,12.030807,13.482149,19.987442
Соболево,2021,8,12.302043,9.986149,14.71793
Соболево,2021,9,9.1675005,12.339003,19.522923
Соболево,2021,10,3.6111827,14.505577,23.531984
Соболево,2021,11,-1.5738888,13.398489,23.97825
Соболево,2021,12,-7.045605,15.921838,27.387472
Соболево,2022,1,-8.733777,11.288603,21.58245
Соболево,2022,2,-7.7362204,9.959221,19.457096
Соболево,2022,3,-4.1844487,11.626868,19.821918
Соболево,2022,4,-1.0602083,12.642797,20.9511
Соболево,2022,5,5.1696506,14.182463,21.85033
Соболево,2022,6,9.073889,11.468718,16.556225
Соболево,2022,7,15.011453,10.232587,15.045704
Соболево,2022,8,14.506008,15.706201,24.237669
Соболево,2022,9,10.837916,17.330498,26.962402
Соболево,2022,10,3.7320836,17.173508,27.435085
Соболево,2022,11,-2.2788196,16.511843,27.893118
Соболево,2022,12,-7.4294753,14.704516,26.5333
Соболево,2023,1,-13.5581045,13.470738,23.89672
Соболево,2023,2,-13.117693,11.539397,20.8009
Соболево,2023,3,-4.68082,15.965409,26.108477
Соболево,2023,4,0.050902784,13.922759,23.210978
Соболево,2023,5,4.905941,11.221146,17.638535
Соболево,2023,6,9.837847,11.547733,17.288034
Соболево,2023,7,13.948279,11.692542,16.891819
Соболево,2023,8,13.257487,13.516191,20.440672
Соболево,2023,9,10.470695,16.143589,25.418663
Соболево,2023,10,5.7941804,13.403066,22.47915
Соболево,2023,11,-1.9004924,15.938939,26.827215
