city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Советская Гавань,2017,1,-14.183549,12.85515,21.59605
Советская Гавань,2017,2,-10.378691,15.770622,25.399612
Советская Гавань,2017,3,-5.5108333,10.838453,17.718302
Советская Гавань,2017,4,0.3222917,14.80008,22.300732
Советская Гавань,2017,5,6.4204836,13.176225,20.204563
Советская Гавань,2017,6,9.203403,13.279612,19.545992
Советская Гавань,2017,7,15.819408,11.734514,17.201372
Советская Гавань,2017,8,16.491987,12.537689,18.831953
Советская Гавань,2017,9,13.827084,13.334492,20.970592
Советская Гавань,2017,10,4.9555645,14.154491,22.131792
Советская Гавань,2017,11,-6.6099305,15.829487,24.494053
Советская Гавань,2017,12,-13.349341,20.636377,31.39554
Советская Гавань,2018,1,-14.959086,16.61781,25.809904
Советская Гавань,2018,2,-14.302501,12.790286,20.515568
Советская Гавань,2018,3,-6.3496776,14.522406,23.956175
Советская Гавань,2018,4,1.4357638,15.505866,23.974888
Советская Гавань,2018,5,6.723172,13.808854,21.109152
Советская Гавань,2018,6,9.575903,15.924111,23.614065
Советская Гавань,2018,7,13.759999,13.3848505,19.691782
Советская Гавань,2018,8,16.518267,12.982339,19.086176
Советская Гавань,2018,9,13.98736,14.329108,22.773207
Советская Гавань,2018,10,8.038427,15.233834,23.763428
Советская Гавань,2018,11,-1.6243751,14.612532,22.868568
Советская Гавань,2018,12,-10.577366,18.047714,27.015
Советская Гавань,2019,1,-11.491412,15.707996,23.965605
Советская Гавань,2019,2,-11.680327,12.108075,18.824179
Советская Гавань,2019,3,-5.9266267,11.87487,18.507301
Советская Гавань,2019,4,1.418125,11.88289,18.375256
Советская Гавань,2019,5,6.5050273,15.499711,23.747288
Советская Гавань,2019,6,9.345208,11.984324,17.773487
Советская Гавань,2019,7,14.034126,15.164002,22.192883
Советская Гавань,2019,8,15.364571,12.586632,18.821096
Советская Гавань,2019,9,14.034444,14.140147,22.427713
Советская Гавань,2019,10,6.970753,14.893135,23.716492
Советская Гавань,2019,11,-4.7663193,17.841053,26.869862
Советская Гавань,2019,12,-14.100686,14.78622,23.270279
Советская Гавань,2020,1,-12.8165455,12.482452,20.39844
Советская Гавань,2020,2,-12.535115,11.077508,18.007439
Советская Гавань,2020,3,-4.4640594,12.890831,20.969437
Советская Гавань,2020,4,0.9927083,17.438078,26.834446
Советская Гавань,2020,5,5.4022045,14.626847,22.229948
Советская Гавань,2020,6,9.372361,12.496411,18.884068
Советская Гавань,2020,7,14.816989,12.537725,18.454659
Советская Гавань,2020,8,16.426062,14.296569,21.818752
Советская Гавань,2020,9,14.61236,12.008137,18.54973
Советская Гавань,2020,10,7.71961,15.774916,24.620052
Советская Гавань,2020,11,-2.3041666,14.987778,22.510675
Советская Гавань,2020,12,-12.060161,16.938263,24.890234
Советская Гавань,2021,1,-16.093294,15.478909,23.171392
Советская Гавань,2021,2,-11.658452,19.047138,29.859552
Советская Гавань,2021,3,-3.9159408,13.946852,21.949121
Советская Гавань,2021,4,1.7174306,16.500185,25.450209
Советская Гавань,2021,5,5.175188,16.066315,24.073278
Советская Гавань,2021,6,10.945833,12.176777,17.85743
Советская Гавань,2021,7,17.120214,13.360551,19.414263
Советская Гавань,2021,8,16.831236,12.747315,19.182589
Советская Гавань,2021,9,14.473264,13.830436,21.07645
Советская Гавань,2021,10,5.939167,13.868962,22.31586
Советская Гавань,2021,11,-0.64319444,13.230282,20.741499
Советская Гавань,2021,12,-13.062379,18.255919,28.631943
Советская Гавань,2022,1,-13.259624,18.330908,29.69728
Советская Гавань,2022,2,-10.401235,17.139004,27.97628
Советская Гавань,2022,3,-4.137782,12.167937,19.863497
Советская Гавань,2022,4,1.2015278,15.80225,25.32682
Советская Гавань,2022,5,5.3129573,16.515705,25.394457
Советская Гавань,2022,6,9.510278,13.358335,19.890543
Советская Гавань,2022,7,15.825323,13.226605,20.311598
Советская Гавань,2022,8,17.52875,15.833996,24.456215
Советская Гавань,2022,9,14.637708,14.647556,23.082384
Советская Гавань,2022,10,6.269812,13.912141,21.73531
Советская Гавань,2022,11,-1.8905555,14.344197,22.058832
Советская Гавань,2022,12,-12.295915,15.801102,24.907309
Советская Гавань,2023,1,-17.125216,15.666361,24.782393
Советская Гавань,2023,2,-14.001087,9.966567,16.240778
Советская Гавань,2023,3,-2.7463171,13.652947,22.012524
Советская Гавань,2023,4,1.444236,13.6876135,21.213123
Советская Гавань,2023,5,6.2077823,14.692483,22.50358
Советская Гавань,2023,6,10.862778,11.043463,16.148272
Советская Гавань,2023,7,17.129152,8.963018,13.447094
Советская Гавань,2023,8,17.652405,11.617811,17.556911
Советская Гавань,2023,9,15.365068,12.651606,20.32769
Советская Гавань,2023,10,7.7963576,13.887773,22.392876
Советская Гавань,2023,11,-1.9044887,16.185827,25.44187
