city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Тавайваам,2017,1,-18.326714,24.637453,32.876762
Тавайваам,2017,2,-17.472824,20.274685,26.38378
Тавайваам,2017,3,-12.236325,13.865238,18.210667
Тавайваам,2017,4,-7.271361,15.709113,21.735813
Тавайваам,2017,5,-0.9734892,14.676197,20.179478
Тавайваам,2017,6,7.6135693,16.861147,23.948687
Тавайваам,2017,7,11.541497,20.327463,28.487272
Тавайваам,2017,8,11.7172365,17.759052,22.967283
Тавайваам,2017,9,6.651695,16.282368,21.250555
Тавайваам,2017,10,-3.3238926,20.38258,27.984495
Тавайваам,2017,11,-5.041639,27.638292,40.183487
Тавайваам,2017,12,-17.33115,21.59451,29.308655
Тавайваам,2018,1,-14.647615,19.993748,27.64176
Тавайваам,2018,2,-10.494402,22.359743,30.990372
Тавайваам,2018,3,-13.653865,24.802904,32.831978
Тавайваам,2018,4,-6.179208,19.054785,26.820591
Тавайваам,2018,5,-2.0335028,15.140119,20.820803
Тавайваам,2018,6,7.7760005,18.205173,25.959108
Тавайваам,2018,7,12.663943,20.455177,27.061125
Тавайваам,2018,8,10.990892,18.352205,23.800858
Тавайваам,2018,9,10.3085,19.065083,26.1979
Тавайваам,2018,10,0.18249197,21.096169,28.279581
Тавайваам,2018,11,-10.451777,24.196264,31.003609
Тавайваам,2018,12,-22.099161,21.618937,25.5289
Тавайваам,2019,1,-21.65017,19.454105,28.078388
Тавайваам,2019,2,-9.668806,26.780106,38.096863
Тавайваам,2019,3,-13.43767,22.32966,32.33322
Тавайваам,2019,4,-8.68032,17.66694,24.89289
Тавайваам,2019,5,-0.13027687,14.332397,19.957714
Тавайваам,2019,6,9.392597,16.299196,22.631485
Тавайваам,2019,7,13.0495615,16.781717,23.410416
Тавайваам,2019,8,11.433635,17.496225,22.957024
Тавайваам,2019,9,6.6166253,19.04819,24.335873
Тавайваам,2019,10,-3.4126022,24.423445,31.960756
Тавайваам,2019,11,-8.027333,19.66521,28.022427
Тавайваам,2019,12,-15.776715,22.56533,31.176682
Тавайваам,2020,1,-16.996674,20.831848,28.417238
Тавайваам,2020,2,-25.876558,17.313702,26.108374
Тавайваам,2020,3,-12.407226,21.39321,31.310253
Тавайваам,2020,4,-11.9175415,13.545437,19.041122
Тавайваам,2020,5,-0.6318898,17.456173,24.627018
Тавайваам,2020,6,9.765028,15.88233,22.081982
Тавайваам,2020,7,11.09264,19.595028,26.543337
Тавайваам,2020,8,11.8132715,15.443182,19.52851
Тавайваам,2020,9,5.902458,16.465858,21.066292
Тавайваам,2020,10,-0.7001694,19.279379,26.458216
Тавайваам,2020,11,-6.0334444,22.994434,32.14507
Тавайваам,2020,12,-15.301984,22.646873,31.288694
Тавайваам,2021,1,-24.079268,19.220161,27.474813
Тавайваам,2021,2,-24.81226,17.869656,26.132603
Тавайваам,2021,3,-19.754202,22.41882,32.023464
Тавайваам,2021,4,-10.060875,17.146473,24.641762
Тавайваам,2021,5,-0.65494084,14.932203,21.228588
Тавайваам,2021,6,6.430375,17.774313,25.03183
Тавайваам,2021,7,9.373151,19.699598,26.860039
Тавайваам,2021,8,9.838742,18.737131,24.92314
Тавайваам,2021,9,3.2760694,19.541069,24.694283
Тавайваам,2021,10,-6.491097,21.001513,26.90072
Тавайваам,2021,11,-15.440318,17.957935,24.767426
Тавайваам,2021,12,-18.934847,24.687737,35.176872
Тавайваам,2022,1,-23.235317,17.133837,25.812868
Тавайваам,2022,2,-22.788895,17.665842,27.165554
Тавайваам,2022,3,-13.327657,15.936177,22.69683
Тавайваам,2022,4,-5.932889,20.00827,28.365677
Тавайваам,2022,5,1.9168334,15.778927,22.433216
Тавайваам,2022,6,6.9338474,18.93001,27.292934
Тавайваам,2022,7,9.020193,19.475874,25.825228
Тавайваам,2022,8,11.053728,18.027782,23.24032
Тавайваам,2022,9,5.1729445,21.743889,27.926409
Тавайваам,2022,10,-4.3591075,20.72477,26.469774
Тавайваам,2022,11,-10.2039995,24.362915,32.7986
Тавайваам,2022,12,-13.242239,26.222475,37.676342
Тавайваам,2023,1,-21.830612,19.978386,29.39242
Тавайваам,2023,2,-23.924313,19.087276,28.026423
Тавайваам,2023,3,-15.993583,23.060291,31.973827
Тавайваам,2023,4,-12.72275,16.592272,22.72256
Тавайваам,2023,5,-1.1429784,14.480205,19.900154
Тавайваам,2023,6,6.9541945,17.808187,24.562122
Тавайваам,2023,7,12.328191,15.454932,19.581842
Тавайваам,2023,8,11.035718,18.478144,23.782688
Тавайваам,2023,9,5.5623198,17.355724,22.084696
Тавайваам,2023,10,-0.27443013,19.222954,26.178267
Тавайваам,2023,11,-8.02578,23.973148,32.23519
