city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Тигиль,2017,1,-17.954147,14.009591,21.355593
Тигиль,2017,2,-9.314684,18.795866,29.719099
Тигиль,2017,3,-2.314699,16.126356,26.226606
Тигиль,2017,4,-0.22650002,14.262236,21.010017
Тигиль,2017,5,5.24014,13.072345,18.722933
Тигиль,2017,6,10.794681,13.7824,18.838339
Тигиль,2017,7,15.220717,12.774403,18.328032
Тигиль,2017,8,14.471189,11.792153,17.650276
Тигиль,2017,9,10.887736,14.996768,23.357101
Тигиль,2017,10,1.256,14.931036,23.941246
Тигиль,2017,11,-3.7428195,19.405249,32.353146
Тигиль,2017,12,-12.264498,16.25754,26.640306
Тигиль,2018,1,-11.774443,14.047017,22.452791
Тигиль,2018,2,-9.066842,12.987734,21.094122
Тигиль,2018,3,-9.50818,17.166355,26.47127
Тигиль,2018,4,-2.0158055,15.406448,22.968517
Тигиль,2018,5,4.9154086,14.174027,20.758314
Тигиль,2018,6,9.735028,13.447149,19.017864
Тигиль,2018,7,15.979052,13.473873,19.199295
Тигиль,2018,8,12.275019,11.799626,17.55206
Тигиль,2018,9,9.8886385,14.818478,23.550678
Тигиль,2018,10,3.5803952,11.511855,18.83611
Тигиль,2018,11,-4.5542083,13.318673,22.484682
Тигиль,2018,12,-13.4696045,15.570774,24.20577
Тигиль,2019,1,-17.086138,12.449386,18.812117
Тигиль,2019,2,-18.822943,11.713201,17.729492
Тигиль,2019,3,-13.250519,13.005768,19.16592
Тигиль,2019,4,-0.77545834,13.807075,20.616226
Тигиль,2019,5,7.253043,13.870672,20.438126
Тигиль,2019,6,11.237528,12.918312,18.040518
Тигиль,2019,7,14.782882,13.629088,19.14165
Тигиль,2019,8,14.884831,12.356176,16.933222
Тигиль,2019,9,8.926486,14.520528,22.272503
Тигиль,2019,10,1.233016,14.902589,23.978075
Тигиль,2019,11,-2.4280972,16.301317,27.555126
Тигиль,2019,12,-12.83486,15.614111,24.919182
Тигиль,2020,1,-10.936943,15.898839,26.562181
Тигиль,2020,2,-17.758224,10.244582,15.840604
Тигиль,2020,3,-6.011473,19.771486,29.925503
Тигиль,2020,4,-4.673861,13.0264015,18.761976
Тигиль,2020,5,4.3426933,14.398496,20.362677
Тигиль,2020,6,13.067319,12.516881,17.213818
Тигиль,2020,7,14.018635,11.321799,15.563027
Тигиль,2020,8,13.334562,12.623686,18.297808
Тигиль,2020,9,8.024472,13.161528,20.376783
Тигиль,2020,10,3.204656,13.9142885,22.76397
Тигиль,2020,11,-6.2835836,13.462265,21.992903
Тигиль,2020,12,-13.641714,11.151625,18.164986
Тигиль,2021,1,-18.484322,11.291375,17.25741
Тигиль,2021,2,-13.620786,15.866955,25.512552
Тигиль,2021,3,-10.499713,18.66173,27.96926
Тигиль,2021,4,-2.4536529,17.22153,25.75352
Тигиль,2021,5,3.9130564,12.4850235,17.957848
Тигиль,2021,6,10.891347,12.848397,18.599781
Тигиль,2021,7,14.120584,13.460192,19.211065
Тигиль,2021,8,13.018702,12.978879,18.850306
Тигиль,2021,9,7.739472,12.076852,18.423237
Тигиль,2021,10,0.4607715,15.606372,24.829027
Тигиль,2021,11,-6.031014,15.135929,26.057829
Тигиль,2021,12,-12.840506,15.864644,25.36435
Тигиль,2022,1,-13.104282,12.473671,21.43612
Тигиль,2022,2,-13.188271,11.211707,18.800894
Тигиль,2022,3,-6.319605,15.338888,23.671778
Тигиль,2022,4,-3.7017083,13.810046,20.337141
Тигиль,2022,5,5.6706505,12.004612,17.68823
Тигиль,2022,6,10.059334,11.140689,14.593534
Тигиль,2022,7,16.50916,12.879448,17.557981
Тигиль,2022,8,15.177506,15.189128,23.084787
Тигиль,2022,9,9.190027,18.823584,29.0733
Тигиль,2022,10,1.0726666,16.239046,25.601631
Тигиль,2022,11,-5.3565693,17.90821,30.054644
Тигиль,2022,12,-9.992387,18.62233,29.755161
Тигиль,2023,1,-17.749779,14.37175,21.439384
Тигиль,2023,2,-18.208956,11.314448,17.864332
Тигиль,2023,3,-9.99232,14.885466,23.46737
Тигиль,2023,4,-1.9781667,18.024418,27.13506
Тигиль,2023,5,6.174548,13.462138,19.246578
Тигиль,2023,6,12.982181,13.386755,18.391567
Тигиль,2023,7,15.800893,12.060546,16.72887
Тигиль,2023,8,14.033284,11.604786,16.601397
Тигиль,2023,9,9.634334,18.07921,28.179647
Тигиль,2023,10,3.8953817,12.37043,20.487427
Тигиль,2023,11,-4.3275228,15.344117,24.757814
