city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Тиличики,2017,1,-19.573805,19.979221,31.536104
Тиличики,2017,2,-10.868758,22.308064,33.74746
Тиличики,2017,3,-3.4363737,17.46134,26.536642
Тиличики,2017,4,-3.5998752,14.514586,21.284674
Тиличики,2017,5,2.0781426,11.9758,17.858784
Тиличики,2017,6,9.4464445,12.769877,17.667747
Тиличики,2017,7,13.38251,10.2944765,14.598558
Тиличики,2017,8,13.761946,12.043531,17.73654
Тиличики,2017,9,9.384986,13.089425,19.952944
Тиличики,2017,10,-1.5386585,16.829626,26.146717
Тиличики,2017,11,-3.6862638,18.439707,30.62548
Тиличики,2017,12,-18.2937,18.62559,31.141754
Тиличики,2018,1,-11.590741,22.239077,35.196312
Тиличики,2018,2,-10.02992,18.4318,27.833406
Тиличики,2018,3,-13.062246,19.688837,29.99339
Тиличики,2018,4,-3.8638332,17.745905,26.49833
Тиличики,2018,5,0.6239758,12.151949,17.839931
Тиличики,2018,6,10.127625,12.455419,16.713194
Тиличики,2018,7,13.320885,13.777068,19.019299
Тиличики,2018,8,11.722565,12.030625,18.17607
Тиличики,2018,9,8.6906805,13.782998,21.235516
Тиличики,2018,10,1.2571746,16.601017,26.41999
Тиличики,2018,11,-14.474667,19.337734,31.215706
Тиличики,2018,12,-18.53738,20.89768,32.987152
Тиличики,2019,1,-17.222797,22.206871,35.488194
Тиличики,2019,2,-18.255068,20.8019,32.962494
Тиличики,2019,3,-15.1490755,18.864891,30.022982
Тиличики,2019,4,-2.30675,15.387869,22.572468
Тиличики,2019,5,4.472094,12.774874,18.80104
Тиличики,2019,6,8.854777,11.446917,15.391945
Тиличики,2019,7,13.133654,11.173093,15.359106
Тиличики,2019,8,13.191717,12.18729,17.781517
Тиличики,2019,9,7.3313746,14.871194,22.66704
Тиличики,2019,10,-2.2572742,16.290365,25.132277
Тиличики,2019,11,-5.5795975,18.121405,29.284372
Тиличики,2019,12,-16.962784,20.176435,31.907541
Тиличики,2020,1,-13.882072,19.396633,29.941858
Тиличики,2020,2,-21.104033,21.876091,35.136
Тиличики,2020,3,-8.919102,20.08505,29.008875
Тиличики,2020,4,-8.785292,14.7170725,21.633797
Тиличики,2020,5,1.6055617,13.21416,19.761717
Тиличики,2020,6,11.302764,10.616695,14.013961
Тиличики,2020,7,12.240374,12.61331,17.842533
Тиличики,2020,8,11.8473625,14.198358,20.722197
Тиличики,2020,9,6.826861,15.539084,24.14627
Тиличики,2020,10,2.0032096,16.712847,26.066391
Тиличики,2020,11,-8.343348,16.27715,26.658562
Тиличики,2020,12,-15.5367775,21.237171,34.550713
Тиличики,2021,1,-21.716883,23.81259,38.711777
Тиличики,2021,2,-15.176125,23.617075,36.82869
Тиличики,2021,3,-15.534424,18.318054,27.722265
Тиличики,2021,4,-5.728903,15.7538185,23.619232
Тиличики,2021,5,0.585871,13.509988,20.02812
Тиличики,2021,6,11.125681,11.863814,16.512354
Тиличики,2021,7,15.606436,13.848528,19.16004
Тиличики,2021,8,13.358048,12.808764,18.630585
Тиличики,2021,9,6.688111,13.820866,21.416714
Тиличики,2021,10,-3.9602985,15.250307,24.036825
Тиличики,2021,11,-8.126612,16.708607,25.968822
Тиличики,2021,12,-16.00304,21.421326,35.559795
Тиличики,2022,1,-15.041951,23.368017,36.439793
Тиличики,2022,2,-18.578878,21.844404,36.140476
Тиличики,2022,3,-8.969909,18.960203,28.564922
Тиличики,2022,4,-4.86175,16.448729,24.70394
Тиличики,2022,5,1.7032096,10.771116,15.210503
Тиличики,2022,6,9.92568,11.846432,15.7394495
Тиличики,2022,7,14.684997,12.636252,18.004425
Тиличики,2022,8,13.10825,14.8519945,21.727837
Тиличики,2022,9,7.4826245,16.220894,24.542534
Тиличики,2022,10,-2.4758227,14.113335,22.21421
Тиличики,2022,11,-9.153833,16.844679,24.931305
Тиличики,2022,12,-11.157745,21.417767,33.209908
Тиличики,2023,1,-18.390944,23.873959,38.999676
Тиличики,2023,2,-21.712063,19.645828,31.752037
Тиличики,2023,3,-14.330124,14.8583555,22.409876
Тиличики,2023,4,-4.637722,19.195414,28.5183
Тиличики,2023,5,0.83519894,11.724045,16.863556
Тиличики,2023,6,10.946861,13.185881,18.80978
Тиличики,2023,7,13.336812,11.340835,15.339303
Тиличики,2023,8,13.214836,13.727829,20.394556
Тиличики,2023,9,8.13575,15.018712,23.489012
Тиличики,2023,10,0.75509137,14.053159,22.895634
Тиличики,2023,11,-6.946958,18.515095,31.314165
