city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Томари,2017,1,-9.538234,14.253073,22.90828
Томари,2017,2,-7.107065,17.400684,27.258717
Томари,2017,3,-3.7520108,11.843242,18.619808
Томари,2017,4,2.1067638,17.104082,26.826504
Томари,2017,5,8.673796,16.874636,26.635754
Томари,2017,6,10.713084,16.2612,25.258678
Томари,2017,7,17.429577,14.48266,22.707787
Томари,2017,8,17.722317,12.956982,19.845152
Томари,2017,9,14.847458,15.852257,24.79838
Томари,2017,10,6.4030967,17.282103,26.985016
Томари,2017,11,-2.0033748,19.048471,29.576582
Томари,2017,12,-7.2504644,19.176628,29.412407
Томари,2018,1,-9.1991205,18.147678,27.993448
Томари,2018,2,-10.444342,15.564583,24.66166
Томари,2018,3,-3.796836,18.304789,29.013817
Томари,2018,4,2.7582223,18.775663,30.128122
Томари,2018,5,7.974871,15.814559,25.04877
Томари,2018,6,11.369195,17.524637,27.567263
Томари,2018,7,15.454978,13.426933,20.946218
Томари,2018,8,16.784952,11.110959,17.432674
Томари,2018,9,14.813361,17.617266,27.666813
Томари,2018,10,9.600342,17.681091,28.30782
Томари,2018,11,1.3616945,17.05483,26.483927
Томари,2018,12,-6.719282,19.086103,29.184048
Томари,2019,1,-8.403825,18.061846,27.660471
Томари,2019,2,-9.795756,13.222526,21.805698
Томари,2019,3,-4.475331,14.450519,23.212955
Томари,2019,4,3.0873888,14.825583,24.29593
Томари,2019,5,10.628097,17.996904,28.883177
Томари,2019,6,11.299403,12.831604,20.023012
Томари,2019,7,16.534012,14.485745,22.641478
Томари,2019,8,16.354172,14.356013,22.691374
Томари,2019,9,15.234404,16.20096,25.361494
Томари,2019,10,9.036094,17.461037,27.989042
Томари,2019,11,-1.1421945,22.400583,33.94545
Томари,2019,12,-7.5173335,18.489243,28.515835
Томари,2020,1,-8.94791,14.147607,22.520432
Томари,2020,2,-8.591615,13.922242,22.050694
Томари,2020,3,-2.3097394,18.631994,30.02715
Томари,2020,4,1.5219028,15.611902,25.084255
Томари,2020,5,8.043621,14.958597,23.707638
Томари,2020,6,11.435445,13.595603,21.499918
Томари,2020,7,16.58885,14.529352,22.468744
Томари,2020,8,17.297384,15.037681,23.84302
Томари,2020,9,15.747389,13.249136,21.174084
Томари,2020,10,9.445906,18.372807,28.951647
Томари,2020,11,0.50558335,18.587358,28.805088
Томари,2020,12,-7.5622926,17.889322,27.376291
Томари,2021,1,-11.585009,17.559673,27.47004
Томари,2021,2,-7.7381663,19.314127,30.033096
Томари,2021,3,-1.8132339,17.904413,28.879772
Томари,2021,4,3.1324582,19.917927,32.003937
Томари,2021,5,7.33139,17.845516,28.121466
Томари,2021,6,12.9939165,17.072517,26.846682
Томари,2021,7,20.16049,15.154318,23.313671
Томари,2021,8,18.080584,13.229226,20.678717
Томари,2021,9,15.46857,14.779422,23.409782
Томари,2021,10,7.5966454,16.749279,26.58943
Томари,2021,11,1.6327361,16.78778,26.715757
Томари,2021,12,-5.5509353,21.096537,32.116047
Томари,2022,1,-7.9829917,20.45442,30.812952
Томари,2022,2,-7.27775,20.2388,30.761648
Томари,2022,3,-2.2352097,15.064494,24.168804
Томари,2022,4,2.8626666,20.327406,32.420124
Томари,2022,5,8.204911,17.731857,28.437645
Томари,2022,6,11.41593,12.341848,19.463722
Томари,2022,7,17.803904,14.122479,22.201418
Томари,2022,8,19.438313,15.012503,23.84807
Томари,2022,9,15.835652,18.14983,29.002197
Томари,2022,10,8.206323,16.61026,26.397682
Томари,2022,11,0.36530554,16.840137,26.02789
Томари,2022,12,-7.187024,18.599134,28.609974
Томари,2023,1,-12.2130995,18.06549,27.86293
Томари,2023,2,-10.716068,11.6872635,18.28963
Томари,2023,3,-0.4633683,17.818823,29.509325
Томари,2023,4,2.56475,17.304384,27.405748
Томари,2023,5,8.043083,17.652124,28.039986
Томари,2023,6,13.389265,12.68627,19.761305
Томари,2023,7,17.65135,14.078353,22.380213
Томари,2023,8,18.766672,14.3249855,23.010939
Томари,2023,9,17.093363,15.038178,23.927303
Томари,2023,10,9.880315,16.622583,26.441328
Томари,2023,11,1.9165682,18.526854,29.173794
