city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Троицкое,2017,1,-14.459895,13.995017,24.981384
Троицкое,2017,2,-14.034459,14.99142,27.067032
Троицкое,2017,3,-5.4599624,13.706375,24.093584
Троицкое,2017,4,5.4907503,16.96133,28.955532
Троицкое,2017,5,13.238962,16.744522,26.965403
Троицкое,2017,6,20.436514,12.388798,20.279022
Троицкое,2017,7,18.735601,10.359977,16.928633
Троицкое,2017,8,18.694878,10.371362,17.3129
Троицкое,2017,9,10.059986,12.964722,21.60679
Троицкое,2017,10,1.6009247,12.873757,21.969156
Троицкое,2017,11,-4.9895973,11.116347,21.186304
Троицкое,2017,12,-12.260432,11.0883045,21.452461
Троицкое,2018,1,-20.176226,12.3214035,23.397429
Троицкое,2018,2,-14.701869,9.79711,17.626852
Троицкое,2018,3,-8.222866,15.917899,26.957336
Троицкое,2018,4,2.9041529,14.675486,25.512033
Троицкое,2018,5,7.5036798,16.728987,27.367796
Троицкое,2018,6,17.537277,12.839144,21.115158
Троицкое,2018,7,20.019138,11.984988,19.921444
Троицкое,2018,8,16.185602,11.455288,19.282545
Троицкое,2018,9,11.803945,13.435113,23.052637
Троицкое,2018,10,5.1128874,15.830637,26.90067
Троицкое,2018,11,-6.2156386,14.939492,25.867825
Троицкое,2018,12,-16.910433,12.216678,22.483118
Троицкое,2019,1,-13.79585,13.879886,25.085556
Троицкое,2019,2,-16.433788,12.059321,21.916445
Троицкое,2019,3,-2.9658763,15.323923,26.758177
Троицкое,2019,4,3.5012362,13.381004,22.357407
Троицкое,2019,5,12.255427,13.69626,22.869684
Троицкое,2019,6,15.325194,11.346165,18.743076
Троицкое,2019,7,21.27626,11.912664,19.858667
Троицкое,2019,8,18.622295,12.546874,20.574324
Троицкое,2019,9,11.440889,15.275574,25.59072
Троицкое,2019,10,6.612148,14.067769,24.167248
Троицкое,2019,11,-7.7814026,13.326901,22.75794
Троицкое,2019,12,-8.666145,12.831704,23.299858
Троицкое,2020,1,-9.227033,15.938012,27.50154
Троицкое,2020,2,-6.976089,15.037774,26.056267
Троицкое,2020,3,-1.8413466,17.212652,30.211329
Троицкое,2020,4,9.497069,15.685991,26.700087
Троицкое,2020,5,17.548237,12.738306,21.356148
Троицкое,2020,6,16.47839,13.906722,22.536732
Троицкое,2020,7,20.973303,10.341465,17.172428
Троицкое,2020,8,19.535872,11.181285,19.026718
Троицкое,2020,9,11.687555,14.996405,25.269146
Троицкое,2020,10,5.1008577,14.383773,24.900787
Троицкое,2020,11,-4.3711944,13.298827,22.887985
Троицкое,2020,12,-13.933014,12.662106,22.560211
Троицкое,2021,1,-20.129519,13.12852,24.027569
Троицкое,2021,2,-16.469578,13.749057,24.226486
Троицкое,2021,3,-6.886508,16.587976,28.681028
Троицкое,2021,4,4.277278,14.337046,25.344824
Троицкое,2021,5,17.599514,14.297189,23.64301
Троицкое,2021,6,17.435541,12.542745,20.31096
Троицкое,2021,7,21.114904,11.325304,18.629324
Троицкое,2021,8,19.734797,10.572221,17.559496
Троицкое,2021,9,9.857763,14.188799,23.953985
Троицкое,2021,10,4.128143,13.681319,23.82218
Троицкое,2021,11,-5.6321664,15.151139,26.853662
Троицкое,2021,12,-9.706199,13.379887,25.092516
Троицкое,2022,1,-12.363793,12.868011,23.521187
Троицкое,2022,2,-10.696735,12.692403,24.079527
Троицкое,2022,3,-8.400756,15.170038,26.240625
Троицкое,2022,4,7.214153,13.428368,23.514788
Троицкое,2022,5,15.965777,15.284275,24.720444
Троицкое,2022,6,18.183737,13.639091,21.802338
Троицкое,2022,7,20.06954,11.977955,20.008
Троицкое,2022,8,17.45274,11.106962,18.825483
Троицкое,2022,9,12.105958,11.975437,20.158905
Троицкое,2022,10,4.535804,12.359367,22.253386
Троицкое,2022,11,-7.9019585,13.559041,22.762909
Троицкое,2022,12,-15.007341,10.802211,20.12248
Троицкое,2023,1,-11.636307,15.079189,26.337645
Троицкое,2023,2,-12.676422,12.243924,21.352005
Троицкое,2023,3,-3.2119784,15.97751,28.676107
Троицкое,2023,4,4.0164447,14.852134,25.008627
Троицкое,2023,5,13.27364,11.560223,19.565212
Троицкое,2023,6,18.648182,12.871878,21.246197
Троицкое,2023,7,22.745548,10.716148,18.200079
Троицкое,2023,8,17.873707,10.739181,18.124731
Троицкое,2023,9,12.854986,11.0375395,18.75906
Троицкое,2023,10,5.9321747,15.210284,26.41363
Троицкое,2023,11,-1.1571856,13.345669,24.156267
