city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Тымовское,2017,1,-16.16964,8.591239,15.117404
Тымовское,2017,2,-12.289071,11.749006,20.499157
Тымовское,2017,3,-5.8375835,9.2259035,16.127014
Тымовское,2017,4,-0.23938891,10.71674,18.23564
Тымовское,2017,5,8.946154,11.877086,19.715431
Тымовское,2017,6,12.401167,9.348963,15.088518
Тымовское,2017,7,18.23755,9.962932,16.397762
Тымовское,2017,8,16.513895,9.756272,15.958323
Тымовское,2017,9,12.827624,11.490252,19.628937
Тымовское,2017,10,2.0379543,11.638486,20.123438
Тымовское,2017,11,-7.709041,10.561851,18.324038
Тымовское,2017,12,-14.342355,10.764044,18.951283
Тымовское,2018,1,-18.567085,9.795695,17.278511
Тымовское,2018,2,-17.432896,8.879855,15.645572
Тымовское,2018,3,-8.935298,11.794853,20.937395
Тымовское,2018,4,0.10172219,11.774571,20.660892
Тымовское,2018,5,8.347565,9.67832,15.894548
Тымовское,2018,6,11.447903,12.869237,20.610104
Тымовское,2018,7,16.16524,9.992206,15.944287
Тымовское,2018,8,15.428345,10.11741,16.698849
Тымовское,2018,9,11.8990135,12.420947,21.385723
Тымовское,2018,10,5.9686,11.015179,19.54567
Тымовское,2018,11,-3.1341808,11.537357,19.725523
Тымовское,2018,12,-13.724209,10.912568,19.093714
Тымовское,2019,1,-16.386776,9.217048,16.869818
Тымовское,2019,2,-17.31102,8.630351,15.50284
Тымовское,2019,3,-8.602637,9.256387,16.393232
Тымовское,2019,4,1.5843611,11.438145,19.531464
Тымовское,2019,5,9.389231,13.779831,22.745117
Тымовское,2019,6,10.534153,9.929128,15.808466
Тымовское,2019,7,16.226397,12.277096,19.451515
Тымовское,2019,8,15.338156,9.581057,15.549811
Тымовское,2019,9,12.252069,12.402441,21.376366
Тымовское,2019,10,5.3028064,11.883138,20.887564
Тымовское,2019,11,-5.8375835,13.425735,23.632866
Тымовское,2019,12,-15.146051,9.713336,17.494448
Тымовское,2020,1,-15.923067,7.9779406,14.749616
Тымовское,2020,2,-14.9724245,8.517077,15.403049
Тымовское,2020,3,-5.6233363,11.449596,20.146433
Тымовское,2020,4,0.7331111,11.712246,19.35058
Тымовское,2020,5,7.536476,11.663655,19.027182
Тымовское,2020,6,11.133597,10.229484,16.236256
Тымовское,2020,7,16.695415,10.125324,16.275284
Тымовское,2020,8,15.004217,11.219849,18.656862
Тымовское,2020,9,13.41332,9.251226,16.105114
Тымовское,2020,10,5.8886266,11.465815,19.93754
Тымовское,2020,11,-3.9897363,11.75487,19.60032
Тымовское,2020,12,-15.85015,9.428535,16.675884
Тымовское,2021,1,-20.871656,8.957177,15.606615
Тымовское,2021,2,-13.1149645,11.727921,20.325665
Тымовское,2021,3,-6.211844,11.769556,20.942562
Тымовское,2021,4,1.4217917,13.101791,22.12604
Тымовское,2021,5,7.0160456,13.328909,21.683504
Тымовское,2021,6,13.790125,11.206927,18.226706
Тымовское,2021,7,20.899044,11.573641,18.663002
Тымовское,2021,8,16.864298,10.705728,17.676668
Тымовское,2021,9,12.775125,10.396378,17.744112
Тымовское,2021,10,3.369473,11.403059,20.14424
Тымовское,2021,11,-2.0096667,11.605295,20.410196
Тымовское,2021,12,-14.16816,11.430207,20.321228
Тымовское,2022,1,-15.216347,10.722186,18.284557
Тымовское,2022,2,-11.575084,11.869716,20.797276
Тымовское,2022,3,-6.1878524,9.216939,16.409767
Тымовское,2022,4,0.49186108,13.947632,23.174854
Тымовское,2022,5,6.801261,13.308193,22.09543
Тымовское,2022,6,12.538388,10.746084,17.109297
Тымовское,2022,7,19.141651,11.045651,17.861244
Тымовское,2022,8,16.85489,14.1979885,23.631256
Тымовское,2022,9,13.025541,12.673575,22.023964
Тымовское,2022,10,3.1860726,10.959395,19.393198
Тымовское,2022,11,-5.9458475,10.464491,18.71401
Тымовское,2022,12,-13.367422,10.260575,17.670391
Тымовское,2023,1,-20.958618,10.853089,18.63331
Тымовское,2023,2,-18.604845,7.545333,13.15825
Тымовское,2023,3,-3.9678926,12.04903,21.505913
Тымовское,2023,4,1.589639,12.371247,20.001823
Тымовское,2023,5,7.363156,12.691606,20.418577
Тымовское,2023,6,13.513528,10.349164,16.746399
Тымовское,2023,7,18.447432,8.229978,13.578229
Тымовское,2023,8,17.488895,9.732332,16.139387
Тымовское,2023,9,13.8735285,12.500278,21.362198
Тымовское,2023,10,5.7386265,11.548001,20.07668
Тымовское,2023,11,-3.3976212,12.8456335,22.100382
