city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Углегорск,2017,1,-13.594578,12.350503,19.014809
Углегорск,2017,2,-9.831038,17.131565,26.935074
Углегорск,2017,3,-5.472737,11.05516,17.09664
Углегорск,2017,4,0.44898614,13.145993,21.29987
Углегорск,2017,5,7.626524,10.397495,16.148905
Углегорск,2017,6,11.1819725,8.965132,13.498961
Углегорск,2017,7,16.901995,8.936829,13.354597
Углегорск,2017,8,17.039629,9.555772,14.536622
Углегорск,2017,9,14.046139,12.561536,19.529318
Углегорск,2017,10,5.0780025,16.086172,24.649656
Углегорск,2017,11,-3.8153195,17.694601,27.339876
Углегорск,2017,12,-9.371124,18.532305,28.454254
Углегорск,2018,1,-12.761379,16.230087,25.378857
Углегорск,2018,2,-14.934015,11.264627,17.128428
Углегорск,2018,3,-6.6151423,14.769728,23.647936
Углегорск,2018,4,1.1799583,13.195634,21.519299
Углегорск,2018,5,7.144737,10.870933,16.856565
Углегорск,2018,6,11.373847,11.186799,17.347805
Углегорск,2018,7,15.500046,8.952869,13.511334
Углегорск,2018,8,16.173635,10.224467,15.741838
Углегорск,2018,9,13.642389,14.699189,23.061361
Углегорск,2018,10,8.256094,14.44895,23.227203
Углегорск,2018,11,-0.23455559,16.629232,25.407799
Углегорск,2018,12,-9.343503,18.80089,28.436438
Углегорск,2019,1,-10.974349,17.797197,27.321135
Углегорск,2019,2,-15.045995,10.644716,15.41854
Углегорск,2019,3,-6.6834893,10.876916,17.096834
Углегорск,2019,4,1.5168333,12.551549,20.349823
Углегорск,2019,5,9.261,13.4799185,21.799192
Углегорск,2019,6,10.2907915,8.927324,13.300152
Углегорск,2019,7,16.039898,9.781831,15.225768
Углегорск,2019,8,15.952801,9.058901,14.160303
Углегорск,2019,9,13.908569,14.04534,21.657915
Углегорск,2019,10,7.701927,14.318011,22.828093
Углегорск,2019,11,-2.5717778,21.275972,31.542269
Углегорск,2019,12,-10.0230055,17.014679,26.23257
Углегорск,2020,1,-13.196998,10.595056,15.97026
Углегорск,2020,2,-10.96673,12.744554,19.752481
Углегорск,2020,3,-3.5178978,14.720854,23.494783
Углегорск,2020,4,0.88169444,11.577194,18.832977
Углегорск,2020,5,7.312277,11.40257,17.727999
Углегорск,2020,6,11.266139,8.682199,13.410422
Углегорск,2020,7,16.257305,9.574289,14.400307
Углегорск,2020,8,16.594198,10.989083,17.547152
Углегорск,2020,9,14.895444,9.905979,15.985063
Углегорск,2020,10,8.275113,16.218004,25.238434
Углегорск,2020,11,-0.88483334,16.765049,25.491552
Углегорск,2020,12,-9.749014,17.61226,26.879347
Углегорск,2021,1,-14.522737,15.832975,24.591913
Углегорск,2021,2,-9.685875,17.57078,27.190414
Углегорск,2021,3,-3.6979384,14.321917,23.010078
Углегорск,2021,4,2.3245418,15.361672,24.88213
Углегорск,2021,5,6.772693,13.171457,20.429255
Углегорск,2021,6,12.582666,11.043151,16.85045
Углегорск,2021,7,19.896015,10.77494,15.868363
Углегорск,2021,8,17.457438,10.400776,16.088762
Углегорск,2021,9,14.385653,12.942595,20.37921
Углегорск,2021,10,6.0546827,14.23542,22.185429
Углегорск,2021,11,0.10322221,15.154968,24.0367
Углегорск,2021,12,-8.393638,19.719843,30.425789
Углегорск,2022,1,-10.527307,20.545,31.079908
Углегорск,2022,2,-9.123077,19.3096,29.104176
Углегорск,2022,3,-4.0511637,11.364941,18.00677
Углегорск,2022,4,1.4219028,15.500543,25.880363
Углегорск,2022,5,7.3759193,13.534353,21.593119
Углегорск,2022,6,11.34357,9.523623,14.5397625
Углегорск,2022,7,18.17229,8.7483425,13.17266
Углегорск,2022,8,18.212748,14.22871,22.536333
Углегорск,2022,9,14.856695,15.570124,24.630026
Углегорск,2022,10,6.4525323,13.855649,21.70181
Углегорск,2022,11,-1.1571944,15.896164,24.129496
Углегорск,2022,12,-9.237925,18.09923,27.596827
Углегорск,2023,1,-15.9383955,17.853115,26.804583
Углегорск,2023,2,-14.813702,10.202052,14.921828
Углегорск,2023,3,-2.587656,12.231469,20.56712
Углегорск,2023,4,1.7641251,13.957384,21.550333
Углегорск,2023,5,7.089024,12.716294,19.610983
Углегорск,2023,6,12.217041,8.271699,12.137387
Углегорск,2023,7,17.51053,8.043444,12.059649
Углегорск,2023,8,18.022425,9.266273,14.5794115
Углегорск,2023,9,15.705791,12.527603,19.5903
Углегорск,2023,10,7.945543,13.882659,21.785696
Углегорск,2023,11,-0.25964394,16.375872,25.80233
