city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Усть-Большерецк,2017,1,-11.195901,11.55288,23.137112
Усть-Большерецк,2017,2,-5.867485,11.8689995,23.323257
Усть-Большерецк,2017,3,-1.2615591,9.95895,18.9343
Усть-Большерецк,2017,4,-0.44701388,11.047359,19.7736
Усть-Большерецк,2017,5,4.1982527,10.074763,16.452684
Усть-Большерецк,2017,6,8.452084,8.996374,14.634466
Усть-Большерецк,2017,7,13.187298,8.4576845,14.100346
Усть-Большерецк,2017,8,14.495027,8.9766035,15.306118
Усть-Большерецк,2017,9,10.329098,11.908888,21.201122
Усть-Большерецк,2017,10,3.306653,13.496121,24.723785
Усть-Большерецк,2017,11,-0.7779166,14.846767,27.633678
Усть-Большерецк,2017,12,-8.062433,11.95604,23.114588
Усть-Большерецк,2018,1,-9.759409,10.855007,20.881681
Усть-Большерецк,2018,2,-7.447619,10.454364,20.765316
Усть-Большерецк,2018,3,-5.471102,13.021265,23.96725
Усть-Большерецк,2018,4,-1.4782639,12.5874405,22.448957
Усть-Большерецк,2018,5,4.3890457,9.809306,16.860682
Усть-Большерецк,2018,6,8.016251,8.946234,14.939015
Усть-Большерецк,2018,7,13.432593,7.734874,12.866698
Усть-Большерецк,2018,8,12.334611,9.056044,15.642749
Усть-Большерецк,2018,9,10.203751,11.155583,19.875553
Усть-Большерецк,2018,10,5.3518147,10.846292,19.805367
Усть-Большерецк,2018,11,-0.86854166,13.135159,25.210737
Усть-Большерецк,2018,12,-10.2963705,10.929172,20.887537
Усть-Большерецк,2019,1,-10.393548,11.4616375,23.501236
Усть-Большерецк,2019,2,-11.371726,9.166308,17.816431
Усть-Большерецк,2019,3,-7.1547713,9.78794,18.521162
Усть-Большерецк,2019,4,0.009166662,9.66119,17.767292
Усть-Большерецк,2019,5,6.2466397,10.348326,17.665876
Усть-Большерецк,2019,6,8.286875,8.122111,13.435846
Усть-Большерецк,2019,7,11.325807,7.9506955,13.093656
Усть-Большерецк,2019,8,13.219422,8.112013,13.84546
Усть-Большерецк,2019,9,9.841666,11.753061,20.761934
Усть-Большерецк,2019,10,3.9406588,11.550439,21.223816
Усть-Большерецк,2019,11,-1.3055556,13.483572,25.6142
Усть-Большерецк,2019,12,-6.7511425,12.3579,23.980934
Усть-Большерецк,2020,1,-9.6121645,10.437575,20.72446
Усть-Большерецк,2020,2,-12.270546,9.999789,20.625761
Усть-Большерецк,2020,3,-2.7001345,14.210229,25.643326
Усть-Большерецк,2020,4,-0.8608333,10.298005,18.68286
Усть-Большерецк,2020,5,4.1317205,10.809024,18.048481
Усть-Большерецк,2020,6,10.759791,8.907329,14.781159
Усть-Большерецк,2020,7,12.688642,9.230439,15.151113
Усть-Большерецк,2020,8,12.314383,10.134312,17.825293
Усть-Большерецк,2020,9,9.613889,11.268014,20.025145
Усть-Большерецк,2020,10,5.0116262,11.32983,20.900282
Усть-Большерецк,2020,11,-1.5326389,11.931104,22.921173
Усть-Большерецк,2020,12,-10.423454,9.878437,20.220934
Усть-Большерецк,2021,1,-12.796102,10.257697,20.37272
Усть-Большерецк,2021,2,-7.1309524,11.219038,21.587175
Усть-Большерецк,2021,3,-4.2373657,14.452944,26.43102
Усть-Большерецк,2021,4,0.5784722,12.9293375,23.685919
Усть-Большерецк,2021,5,4.8454976,10.354366,17.637903
Усть-Большерецк,2021,6,8.743125,9.069907,14.89842
Усть-Большерецк,2021,7,12.159072,9.1548395,14.931246
Усть-Большерецк,2021,8,12.703226,8.220252,13.482393
Усть-Большерецк,2021,9,9.835903,10.1980915,17.963242
Усть-Большерецк,2021,10,4.388306,12.374676,22.626352
Усть-Большерецк,2021,11,-0.6159028,11.686924,22.165827
Усть-Большерецк,2021,12,-5.452621,14.128216,26.410912
Усть-Большерецк,2022,1,-7.1550403,11.427132,22.795
Усть-Большерецк,2022,2,-6.548735,10.236286,20.616123
Усть-Большерецк,2022,3,-3.0831318,11.39798,21.012606
Усть-Большерецк,2022,4,-0.2663889,10.753427,19.150558
Усть-Большерецк,2022,5,5.662433,10.53084,17.581648
Усть-Большерецк,2022,6,9.834791,7.339627,11.774643
Усть-Большерецк,2022,7,15.694556,8.050252,12.989327
Усть-Большерецк,2022,8,14.5375,11.455496,19.643656
Усть-Большерецк,2022,9,11.259791,12.734098,22.363157
Усть-Большерецк,2022,10,4.0386424,12.927477,23.597612
Усть-Большерецк,2022,11,-2.4100695,12.192119,23.164839
Усть-Большерецк,2022,12,-7.294086,11.13109,22.122885
Усть-Большерецк,2023,1,-12.927486,11.917837,23.13414
Усть-Большерецк,2023,2,-11.334375,9.462725,18.475454
Усть-Большерецк,2023,3,-3.655914,11.989204,22.099855
Усть-Большерецк,2023,4,0.41027778,12.563188,22.67657
Усть-Большерецк,2023,5,4.6734543,11.071735,18.75608
Усть-Большерецк,2023,6,9.726458,9.889215,16.412224
Усть-Большерецк,2023,7,14.150335,8.811663,14.449691
Усть-Большерецк,2023,8,13.558333,9.718221,16.50724
Усть-Большерецк,2023,9,10.614097,11.48754,20.65196
Усть-Большерецк,2023,10,6.067003,10.697357,19.937733
Усть-Большерецк,2023,11,-1.255019,11.997958,23.16059
