city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Усть-Камчатск,2017,1,-11.713153,19.951788,23.827272
Усть-Камчатск,2017,2,-4.7518125,28.325888,36.641792
Усть-Камчатск,2017,3,-0.6901694,23.556913,31.207375
Усть-Камчатск,2017,4,-0.8574028,23.171862,30.167974
Усть-Камчатск,2017,5,3.1258254,18.041052,24.268318
Усть-Камчатск,2017,6,7.5478754,18.338804,22.890308
Усть-Камчатск,2017,7,12.942963,20.998161,26.55284
Усть-Камчатск,2017,8,14.279119,20.222214,25.062346
Усть-Камчатск,2017,9,10.613431,20.323404,26.420616
Усть-Камчатск,2017,10,2.9051933,21.87061,28.683271
Усть-Камчатск,2017,11,0.21301386,25.527452,34.444054
Усть-Камчатск,2017,12,-7.427535,25.775572,33.101357
Усть-Камчатск,2018,1,-7.553207,21.024569,26.764927
Усть-Камчатск,2018,2,-4.8889403,22.854532,30.303606
Усть-Камчатск,2018,3,-6.821151,19.576675,27.581415
Усть-Камчатск,2018,4,-1.2640694,18.450766,25.314615
Усть-Камчатск,2018,5,2.7720618,18.041807,24.174677
Усть-Камчатск,2018,6,8.280723,16.459436,20.40355
Усть-Камчатск,2018,7,13.861578,20.238935,24.605942
Усть-Камчатск,2018,8,12.655799,16.163244,19.66467
Усть-Камчатск,2018,9,10.40975,18.059246,23.721024
Усть-Камчатск,2018,10,5.1682315,17.88358,24.221876
Усть-Камчатск,2018,11,-1.3106667,20.437008,26.344786
Усть-Камчатск,2018,12,-7.448368,26.177742,32.78767
Усть-Камчатск,2019,1,-8.539497,27.126368,34.126804
Усть-Камчатск,2019,2,-12.425399,19.699564,23.437843
Усть-Камчатск,2019,3,-7.465035,23.796915,29.770012
Усть-Камчатск,2019,4,-1.1048334,19.748405,26.04031
Усть-Камчатск,2019,5,3.1454492,17.509361,23.996222
Усть-Камчатск,2019,6,7.420722,20.184896,26.076113
Усть-Камчатск,2019,7,13.0976,17.563976,21.493904
Усть-Камчатск,2019,8,12.599414,21.07848,26.240368
Усть-Камчатск,2019,9,9.854751,17.688538,23.19719
Усть-Камчатск,2019,10,3.3186343,17.719727,22.898647
Усть-Камчатск,2019,11,-0.623375,20.305197,27.148333
Усть-Камчатск,2019,12,-9.957845,20.958231,26.236223
Усть-Камчатск,2020,1,-7.0228305,23.144497,29.852592
Усть-Камчатск,2020,2,-9.864905,28.271263,35.098816
Усть-Камчатск,2020,3,-4.4258547,24.431862,31.63905
Усть-Камчатск,2020,4,-2.013236,19.7527,25.144585
Усть-Камчатск,2020,5,3.4199786,18.155622,23.563572
Усть-Камчатск,2020,6,10.363222,14.334347,17.420956
Усть-Камчатск,2020,7,12.62334,19.139917,23.382011
Усть-Камчатск,2020,8,12.435571,18.809013,23.654835
Усть-Камчатск,2020,9,9.292389,17.167336,22.24348
Усть-Камчатск,2020,10,5.0983386,19.350557,26.07175
Усть-Камчатск,2020,11,-3.227125,18.683285,24.131115
Усть-Камчатск,2020,12,-8.519671,20.544931,25.139605
Усть-Камчатск,2021,1,-10.631903,24.070917,29.387138
Усть-Камчатск,2021,2,-6.7134194,31.518705,40.05483
Усть-Камчатск,2021,3,-6.640438,23.965776,30.914759
Усть-Камчатск,2021,4,-0.87261117,22.609005,29.82001
Усть-Камчатск,2021,5,2.9939034,16.395353,21.035854
Усть-Камчатск,2021,6,8.850583,20.14587,25.55161
Усть-Камчатск,2021,7,14.24471,16.800362,21.122616
Усть-Камчатск,2021,8,14.268499,16.235012,19.901217
Усть-Камчатск,2021,9,10.190931,16.165031,20.150557
Усть-Камчатск,2021,10,3.2043197,18.580227,24.052023
Усть-Камчатск,2021,11,-1.8308749,19.983227,27.18689
Усть-Камчатск,2021,12,-5.9776692,23.757734,30.362617
Усть-Камчатск,2022,1,-4.4579787,27.139845,34.680206
Усть-Камчатск,2022,2,-7.237675,31.77933,39.796318
Усть-Камчатск,2022,3,-2.5532742,23.75595,30.646038
Усть-Камчатск,2022,4,-1.2666389,19.433819,25.21532
Усть-Камчатск,2022,5,2.3730028,13.447678,17.985212
Усть-Камчатск,2022,6,8.860583,16.790377,20.055351
Усть-Камчатск,2022,7,15.223137,18.187218,22.655941
Усть-Камчатск,2022,8,14.223944,20.663778,27.124414
Усть-Камчатск,2022,9,10.757667,21.211153,28.270857
Усть-Камчатск,2022,10,3.2104354,18.2803,24.327784
Усть-Камчатск,2022,11,-1.2965,20.556839,27.56298
Усть-Камчатск,2022,12,-5.4780726,24.079576,31.78414
Усть-Камчатск,2023,1,-9.587885,27.001795,33.24506
Усть-Камчатск,2023,2,-11.849506,21.433243,25.497713
Усть-Камчатск,2023,3,-7.2214866,17.52022,22.48803
Усть-Камчатск,2023,4,-0.9171944,19.302696,25.132788
Усть-Камчатск,2023,5,2.743164,20.365911,26.730728
Усть-Камчатск,2023,6,9.578084,17.681593,22.310286
Усть-Камчатск,2023,7,12.607478,18.03815,22.016611
Усть-Камчатск,2023,8,14.1602335,15.657072,19.938955
Усть-Камчатск,2023,9,11.106695,19.065695,25.663647
Усть-Камчатск,2023,10,4.903715,17.610123,22.97424
Усть-Камчатск,2023,11,-1.5189999,20.873104,27.48007
