city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Хабаровская Банковская школа (колледж),2017,1,-20.274683,6.7486167,11.793481
Хабаровская Банковская школа (колледж),2017,2,-14.232861,7.3246627,12.851534
Хабаровская Банковская школа (колледж),2017,3,-5.4279084,7.2595162,12.590486
Хабаровская Банковская школа (колледж),2017,4,3.8906667,10.345097,17.546474
Хабаровская Банковская школа (колледж),2017,5,10.253207,10.532539,17.072065
Хабаровская Банковская школа (колледж),2017,6,18.473028,8.836798,14.78336
Хабаровская Банковская школа (колледж),2017,7,18.499443,7.975764,13.352773
Хабаровская Банковская школа (колледж),2017,8,16.226324,8.732183,14.270564
Хабаровская Банковская школа (колледж),2017,9,7.864486,10.104112,17.781511
Хабаровская Банковская школа (колледж),2017,10,-0.43731722,7.6143594,13.815409
Хабаровская Банковская школа (колледж),2017,11,-10.609333,7.6241937,13.999149
Хабаровская Банковская школа (колледж),2017,12,-15.452707,8.66161,17.707699
Хабаровская Банковская школа (колледж),2018,1,-23.413393,6.362961,11.190758
Хабаровская Банковская школа (колледж),2018,2,-18.031967,7.029276,12.577314
Хабаровская Банковская школа (колледж),2018,3,-7.125153,8.013422,14.650086
Хабаровская Банковская школа (колледж),2018,4,2.8970556,8.940504,14.929346
Хабаровская Банковская школа (колледж),2018,5,9.9452095,11.0069065,18.094397
Хабаровская Банковская школа (колледж),2018,6,18.645945,9.686579,15.678982
Хабаровская Банковская школа (колледж),2018,7,18.139767,8.477685,14.056501
Хабаровская Банковская школа (колледж),2018,8,17.497293,8.008892,13.67678
Хабаровская Банковская школа (колледж),2018,9,8.63018,10.187557,17.590628
Хабаровская Банковская школа (колледж),2018,10,2.6398335,8.626504,15.432339
Хабаровская Банковская школа (колледж),2018,11,-9.339681,7.8913016,13.822572
Хабаровская Банковская школа (колледж),2018,12,-20.800825,7.2704554,12.666144
Хабаровская Банковская школа (колледж),2019,1,-18.010906,7.0522213,12.714991
Хабаровская Банковская школа (колледж),2019,2,-19.93926,6.6126084,9.892015
Хабаровская Банковская школа (колледж),2019,3,-3.9323442,8.50464,14.805126
Хабаровская Банковская школа (колледж),2019,4,2.7748334,10.536228,17.79553
Хабаровская Банковская школа (колледж),2019,5,9.221419,10.818653,17.90236
