city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Холмск,2017,1,-8.962995,13.452175,21.881824
Холмск,2017,2,-6.7566724,16.581076,25.94418
Холмск,2017,3,-3.5648763,12.320138,18.92149
Холмск,2017,4,2.8512638,17.522379,26.456944
Холмск,2017,5,9.12632,15.205414,23.37705
Холмск,2017,6,11.215431,13.455161,20.757061
Холмск,2017,7,17.513147,12.546859,19.063177
Холмск,2017,8,17.742046,13.214224,19.94507
Холмск,2017,9,14.974944,15.372696,23.518356
Холмск,2017,10,6.8605943,17.189325,25.976011
Холмск,2017,11,-0.85748607,19.557623,29.532837
Холмск,2017,12,-6.424486,19.360023,29.416775
Холмск,2018,1,-7.7785187,17.699713,27.41204
Холмск,2018,2,-9.500794,15.445724,24.297657
Холмск,2018,3,-2.798277,19.670471,29.791674
Холмск,2018,4,3.7280693,17.304863,26.353188
Холмск,2018,5,8.377866,13.365419,20.493162
Холмск,2018,6,11.815222,15.097142,23.25334
Холмск,2018,7,15.955285,12.84236,19.756102
Холмск,2018,8,17.079546,12.081246,18.0555
Холмск,2018,9,15.1305,17.435455,26.558088
Холмск,2018,10,10.110325,18.184135,28.1725
Холмск,2018,11,2.098139,18.0977,27.266674
Холмск,2018,12,-5.7709246,20.068075,30.02911
Холмск,2019,1,-7.7235456,18.399889,27.95388
Холмск,2019,2,-8.665229,14.398127,22.478872
Холмск,2019,3,-3.7191103,14.532216,22.662428
Холмск,2019,4,2.969875,13.549593,21.318253
Холмск,2019,5,11.058309,16.24974,25.395796
Холмск,2019,6,12.02689,12.663259,19.441948
Холмск,2019,7,17.087206,12.99418,19.830252
Холмск,2019,8,16.863216,15.338773,23.385004
Холмск,2019,9,15.343904,15.236276,23.353132
Холмск,2019,10,9.323632,17.944893,27.632471
Холмск,2019,11,-0.5361666,23.855396,35.22226
Холмск,2019,12,-6.3530483,20.852736,31.181856
Холмск,2020,1,-7.5728064,15.7634735,24.583357
Холмск,2020,2,-8.195132,14.324392,22.442469
Холмск,2020,3,-1.6462607,18.290668,28.488161
Холмск,2020,4,2.1352918,14.871387,23.14274
Холмск,2020,5,8.462341,13.932273,21.613722
Холмск,2020,6,12.708278,13.086351,19.966291
Холмск,2020,7,16.874842,13.370064,20.171886
Холмск,2020,8,17.670809,15.030639,23.111498
Холмск,2020,9,16.095015,14.404313,22.617771
Холмск,2020,10,9.817247,18.87042,28.710535
Холмск,2020,11,1.1771667,19.036531,28.59558
Холмск,2020,12,-6.8543925,17.472927,26.522469
Холмск,2021,1,-10.740481,18.266645,28.406963
Холмск,2021,2,-6.7658243,19.02819,28.9194
Холмск,2021,3,-1.16575,17.99904,27.805916
Холмск,2021,4,3.182236,18.991758,29.772223
Холмск,2021,5,7.911938,16.269173,24.766943
Холмск,2021,6,13.536056,14.290899,21.829525
Холмск,2021,7,20.194466,12.8706045,19.518007
Холмск,2021,8,18.242785,14.573023,22.084202
Холмск,2021,9,15.603557,13.136523,20.425314
Холмск,2021,10,8.117852,15.514569,24.137653
Холмск,2021,11,2.5302222,17.797638,27.483757
Холмск,2021,12,-4.906879,19.723358,30.030231
Холмск,2022,1,-7.653922,18.436556,28.033627
Холмск,2022,2,-6.73822,20.798355,31.159906
Холмск,2022,3,-1.5432365,16.274612,25.11112
Холмск,2022,4,3.8195975,20.434984,31.34519
Холмск,2022,5,9.16624,17.368652,26.602436
Холмск,2022,6,11.782305,13.136359,20.030857
Холмск,2022,7,18.422422,12.906784,19.481285
Холмск,2022,8,19.19601,18.41677,28.180784
Холмск,2022,9,16.049944,17.6785,27.385658
Холмск,2022,10,8.6767235,16.43522,25.306429
Холмск,2022,11,1.0508473,17.915947,27.140703
Холмск,2022,12,-6.058156,19.918396,29.556852
Холмск,2023,1,-11.150226,18.115715,27.786621
Холмск,2023,2,-9.418875,13.732585,21.254087
Холмск,2023,3,-0.015682753,17.928814,28.471912
Холмск,2023,4,3.1911943,16.744799,25.779703
Холмск,2023,5,8.435998,15.604303,24.138449
Холмск,2023,6,14.003417,11.781832,17.882755
Холмск,2023,7,18.085863,11.2474785,17.24501
Холмск,2023,8,19.568995,13.367479,21.140892
Холмск,2023,9,17.375431,13.541699,20.735186
Холмск,2023,10,10.142113,16.290808,25.24224
Холмск,2023,11,3.236144,19.13304,28.936735
