city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Чегдомын,2017,1,-25.120823,4.1161284,5.3437924
Чегдомын,2017,2,-19.25059,5.0720716,7.2854404
Чегдомын,2017,3,-8.434331,5.572932,8.137386
Чегдомын,2017,4,1.5672084,8.276313,14.362359
Чегдомын,2017,5,10.801557,9.854984,16.812778
Чегдомын,2017,6,15.285472,6.721689,11.661601
Чегдомын,2017,7,19.137913,6.4592447,11.260068
Чегдомын,2017,8,17.429983,6.465825,11.487326
Чегдомын,2017,9,10.266791,7.8426833,13.986947
Чегдомын,2017,10,-2.067328,7.465656,12.990597
Чегдомын,2017,11,-16.644876,5.663951,8.80712
Чегдомын,2017,12,-28.173779,3.601777,4.50243
Чегдомын,2018,1,-28.292866,3.813682,4.234711
Чегдомын,2018,2,-24.23943,4.3322287,5.2232127
Чегдомын,2018,3,-10.808726,8.220357,14.317582
Чегдомын,2018,4,1.7494305,10.16616,17.615547
Чегдомын,2018,5,10.675683,7.8442698,13.463016
Чегдомын,2018,6,14.558527,7.355859,13.082603
Чегдомын,2018,7,18.985561,5.9976583,10.539457
Чегдомын,2018,8,16.457403,5.334116,8.821933
Чегдомын,2018,9,9.178666,8.2715645,14.737988
Чегдомын,2018,10,1.7112339,6.749643,11.935491
Чегдомын,2018,11,-11.698139,6.4531374,11.30335
Чегдомын,2018,12,-27.156912,4.703084,6.527187
Чегдомын,2019,1,-26.286482,4.124459,4.74781
Чегдомын,2019,2,-21.824623,5.3637905,7.525163
Чегдомын,2019,3,-9.1565075,5.7751865,9.096662
Чегдомын,2019,4,1.1304027,8.126681,14.109585
Чегдомын,2019,5,9.332672,9.010681,16.054163
Чегдомын,2019,6,13.986791,6.1197762,10.326259
Чегдомын,2019,7,19.35626,5.9243336,10.139816
Чегдомын,2019,8,16.654379,5.7781963,10.032449
Чегдомын,2019,9,10.198805,8.7693405,15.514771
Чегдомын,2019,10,1.1192312,7.6525826,14.192405
Чегдомын,2019,11,-16.686611,6.8340154,11.122575
Чегдомын,2019,12,-29.488228,4.022522,4.8610477
Чегдомын,2020,1,-26.534801,3.5103009,3.752299
Чегдомын,2020,2,-20.13711,4.686978,6.2547116
Чегдомын,2020,3,-8.610271,6.6418004,11.036462
Чегдомын,2020,4,2.235889,9.688727,16.736946
Чегдомын,2020,5,10.448398,8.761814,15.127114
Чегдомын,2020,6,14.314846,6.2267666,10.5727625
Чегдомын,2020,7,20.24235,5.71569,9.911364
Чегдомын,2020,8,15.838249,7.1522493,12.892083
Чегдомын,2020,9,12.443042,7.8724756,13.76921
Чегдомын,2020,10,1.3862339,8.91562,16.192171
Чегдомын,2020,11,-10.230223,6.5824003,10.75406
Чегдомын,2020,12,-23.904425,5.0562634,6.71133
Чегдомын,2021,1,-28.558794,4.193923,5.1505637
Чегдомын,2021,2,-21.348581,6.754537,10.398716
Чегдомын,2021,3,-7.421898,8.092847,13.873547
Чегдомын,2021,4,1.3628333,9.502926,16.040848
Чегдомын,2021,5,9.414325,8.580704,14.68517
Чегдомын,2021,6,17.156166,7.392263,13.290461
Чегдомын,2021,7,21.297188,6.1384587,10.803205
Чегдомын,2021,8,17.516745,6.190353,10.956531
Чегдомын,2021,9,11.288041,7.074259,12.473707
Чегдомын,2021,10,0.27689248,6.973418,12.7582
Чегдомын,2021,11,-10.388417,6.4528556,10.484063
Чегдомын,2021,12,-27.875864,4.2643743,6.1935306
Чегдомын,2022,1,-28.80698,3.121419,3.0240548
Чегдомын,2022,2,-20.306095,4.322054,5.287834
Чегдомын,2022,3,-7.9674625,7.5342526,12.801448
Чегдомын,2022,4,-0.4501528,9.241633,16.841072
Чегдомын,2022,5,7.8340836,8.398539,14.82096
Чегдомын,2022,6,15.982277,6.5211916,11.378447
Чегдомын,2022,7,20.934217,5.5962925,9.717152
Чегдомын,2022,8,15.604983,7.178318,12.337329
Чегдомын,2022,9,10.980473,9.554501,16.994003
Чегдомын,2022,10,-0.2982419,7.0304456,13.016843
Чегдомын,2022,11,-11.60793,7.250744,11.688602
Чегдомын,2022,12,-23.964775,5.327645,7.7748885
Чегдомын,2023,1,-31.50214,4.1152186,4.9450235
Чегдомын,2023,2,-21.90297,5.2545247,7.103018
Чегдомын,2023,3,-7.204895,8.335234,14.919684
Чегдомын,2023,4,1.8751944,8.718815,15.223931
Чегдомын,2023,5,10.269769,9.427793,16.243786
Чегдомын,2023,6,16.132,6.552879,11.302549
Чегдомын,2023,7,20.998196,5.538752,9.369377
Чегдомын,2023,8,18.488049,6.688391,11.597798
Чегдомын,2023,9,10.458736,8.587303,15.139929
Чегдомын,2023,10,1.8906022,7.6080623,14.028993
Чегдомын,2023,11,-9.312697,7.144642,12.381892
