city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Чурапча,2017,1,-35.60369,6.3456364,12.185578
Чурапча,2017,2,-33.013615,5.9490185,10.585124
Чурапча,2017,3,-12.820023,7.5634675,14.154134
Чурапча,2017,4,-1.976361,8.303106,15.335254
Чурапча,2017,5,6.299064,10.869537,18.349604
Чурапча,2017,6,17.081764,8.927708,15.590643
Чурапча,2017,7,18.606726,8.656649,15.436979
Чурапча,2017,8,16.943285,8.102936,14.97115
Чурапча,2017,9,7.455028,8.52665,15.699175
Чурапча,2017,10,-8.604228,7.9576464,14.4459305
Чурапча,2017,11,-32.274902,6.1556144,10.654385
Чурапча,2017,12,-40.326607,5.531817,9.814376
Чурапча,2018,1,-38.577145,6.05941,11.043984
Чурапча,2018,2,-34.000145,5.2538877,8.965379
Чурапча,2018,3,-21.398651,7.847907,14.025097
Чурапча,2018,4,-4.2279587,9.601645,18.08221
Чурапча,2018,5,8.319964,11.389942,20.200872
Чурапча,2018,6,15.380097,8.746076,14.975937
Чурапча,2018,7,18.844292,7.5404606,13.527878
Чурапча,2018,8,15.778231,6.6642504,11.860744
Чурапча,2018,9,4.686347,9.5386715,17.834433
Чурапча,2018,10,-3.8255324,6.7254033,12.315054
Чурапча,2018,11,-23.026085,6.945963,12.792307
Чурапча,2018,12,-33.90893,6.5929737,12.38182
Чурапча,2019,1,-36.40443,6.0915475,11.373594
Чурапча,2019,2,-31.197617,6.32886,10.904982
Чурапча,2019,3,-17.459806,6.5329776,11.419729
Чурапча,2019,4,-3.4744864,8.406613,15.69707
Чурапча,2019,5,7.3494678,9.585134,17.076172
Чурапча,2019,6,17.63829,8.73484,15.015903
Чурапча,2019,7,17.686563,7.7617292,14.004111
Чурапча,2019,8,14.884212,7.2522717,13.080543
Чурапча,2019,9,6.0214167,8.634817,15.97089
Чурапча,2019,10,-5.0825214,7.8947115,14.782335
Чурапча,2019,11,-26.062403,6.7716413,12.902838
Чурапча,2019,12,-40.077213,6.068182,10.925328
Чурапча,2020,1,-33.755035,5.849104,10.343647
Чурапча,2020,2,-29.842623,5.9409547,10.683236
Чурапча,2020,3,-15.84556,8.164498,15.224853
Чурапча,2020,4,-4.0901113,9.197803,17.153408
Чурапча,2020,5,7.9180827,9.599099,16.546856
Чурапча,2020,6,17.713083,8.502698,14.649421
Чурапча,2020,7,19.71405,8.3578415,14.834347
Чурапча,2020,8,13.319964,6.92662,12.222709
Чурапча,2020,9,8.1964855,7.9929276,14.727138
Чурапча,2020,10,-7.6281533,6.987465,12.988323
Чурапча,2020,11,-22.87768,6.8867717,13.166036
Чурапча,2020,12,-39.890453,5.496563,9.6150675
Чурапча,2021,1,-46.15107,5.6879888,9.694876
Чурапча,2021,2,-32.36659,6.1567755,11.114719
Чурапча,2021,3,-17.919888,8.623595,16.164717
Чурапча,2021,4,-6.471431,8.251301,15.16166
Чурапча,2021,5,8.166471,8.351324,14.801216
Чурапча,2021,6,19.160097,8.438966,14.779244
Чурапча,2021,7,20.446241,8.68024,15.598141
Чурапча,2021,8,17.758406,8.984762,16.209164
Чурапча,2021,9,6.68975,8.455396,15.280317
Чурапча,2021,10,-3.9026828,8.597523,16.331173
Чурапча,2021,11,-22.354,7.0895824,13.203488
Чурапча,2021,12,-40.07271,6.395408,11.396667
Чурапча,2022,1,-37.031918,5.7418647,10.05895
Чурапча,2022,2,-30.875666,5.7208686,10.213478
Чурапча,2022,3,-17.395628,5.9380455,10.699737
Чурапча,2022,4,-4.50775,7.4004374,13.85791
Чурапча,2022,5,5.8721824,9.58918,16.587147
Чурапча,2022,6,19.452873,8.190419,14.242801
Чурапча,2022,7,23.335691,7.801899,13.853319
Чурапча,2022,8,15.448056,8.989576,15.652497
Чурапча,2022,9,4.385722,11.495454,20.893192
Чурапча,2022,10,-5.3542285,8.444295,15.619043
Чурапча,2022,11,-27.622751,6.4479117,12.36844
Чурапча,2022,12,-37.595627,6.107227,11.083175
Чурапча,2023,1,-45.013367,6.5818677,11.339068
Чурапча,2023,2,-34.55357,6.221466,11.150801
Чурапча,2023,3,-15.138772,9.013865,16.910873
Чурапча,2023,4,-5.1576805,8.843072,16.633879
Чурапча,2023,5,5.8799787,9.458223,16.46209
Чурапча,2023,6,17.545723,8.387581,14.823976
Чурапча,2023,7,19.16432,8.336509,14.807317
Чурапча,2023,8,16.204372,7.9940505,14.443628
Чурапча,2023,9,4.418986,9.6695795,17.276356
Чурапча,2023,10,-3.6407206,8.5772505,15.773899
Чурапча,2023,11,-20.46828,7.73759,13.917917
