city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Эссо,2017,1,-18.222776,5.9027896,10.519269
Эссо,2017,2,-10.671203,6.2273946,14.006917
Эссо,2017,3,-5.1016746,4.497608,10.534215
Эссо,2017,4,-4.6901803,5.132951,9.881899
Эссо,2017,5,2.2496693,6.241302,10.647668
Эссо,2017,6,9.593153,8.287937,11.742275
Эссо,2017,7,15.047653,6.9147234,10.148092
Эссо,2017,8,14.427627,6.4870524,9.574154
Эссо,2017,9,8.419056,7.818101,12.165465
Эссо,2017,10,-1.3417286,6.8671355,12.884567
Эссо,2017,11,-7.1854587,7.0058255,16.439243
Эссо,2017,12,-14.175398,6.9815583,14.588755
Эссо,2018,1,-13.827616,6.5490613,11.639567
Эссо,2018,2,-11.163911,4.984588,9.937692
Эссо,2018,3,-11.651943,6.3828635,13.780395
Эссо,2018,4,-4.874486,5.038002,10.93687
Эссо,2018,5,2.2053816,4.2902403,8.936327
Эссо,2018,6,8.209958,6.0787525,9.947134
Эссо,2018,7,16.20592,7.5127177,10.5782995
Эссо,2018,8,11.199333,7.241401,10.612571
Эссо,2018,9,7.571764,7.3972344,11.56548
Эссо,2018,10,1.1528951,6.2641344,10.930393
Эссо,2018,11,-7.8235135,5.320481,12.135093
Эссо,2018,12,-13.9016075,7.2297473,13.720467
Эссо,2019,1,-15.88064,5.4791613,9.784084
Эссо,2019,2,-17.769714,5.2709236,10.112848
Эссо,2019,3,-12.366795,4.659797,9.03654
Эссо,2019,4,-3.5713613,5.6010127,10.313252
Эссо,2019,5,4.499266,6.1052175,10.276631
Эссо,2019,6,8.947458,7.1115766,10.272899
Эссо,2019,7,14.472384,6.9577703,9.635595
Эссо,2019,8,13.337707,6.789003,10.001038
Эссо,2019,9,7.246208,7.2241836,12.086085
Эссо,2019,10,-1.6338657,5.620344,11.828463
Эссо,2019,11,-6.683861,6.0943785,13.645578
Эссо,2019,12,-14.200666,5.4336996,12.634832
Эссо,2020,1,-13.505238,5.268576,10.998753
Эссо,2020,2,-17.172075,4.5388355,7.329675
Эссо,2020,3,-7.9884353,6.8415112,14.496061
Эссо,2020,4,-5.7335835,4.557201,9.22374
Эссо,2020,5,0.87272036,5.6566105,10.899159
Эссо,2020,6,13.230444,6.7201357,9.10618
Эссо,2020,7,14.684951,7.295641,10.267371
Эссо,2020,8,11.365261,7.6517887,11.581211
Эссо,2020,9,6.6867642,7.396688,11.889588
Эссо,2020,10,0.96734405,6.9642854,12.977783
Эссо,2020,11,-9.841361,5.831981,11.944484
Эссо,2020,12,-15.676608,4.8727403,8.356637
Эссо,2021,1,-17.195156,4.973907,8.334973
Эссо,2021,2,-12.717035,5.190322,11.315596
Эссо,2021,3,-11.093879,6.775107,14.964885
Эссо,2021,4,-3.1007361,5.8717117,12.771167
Эссо,2021,5,2.255516,5.6023436,9.528304
Эссо,2021,6,10.593362,7.8624077,11.440246
Эссо,2021,7,16.258406,7.2622643,10.598301
Эссо,2021,8,13.518017,7.272111,10.334343
Эссо,2021,9,7.1575274,7.259273,10.757875
Эссо,2021,10,-1.4534222,6.752963,13.473518
Эссо,2021,11,-7.119764,5.516872,12.403122
Эссо,2021,12,-12.559001,6.654185,13.121255
Эссо,2022,1,-11.273314,4.561464,9.697029
Эссо,2022,2,-12.309001,4.2530828,8.409691
Эссо,2022,3,-8.369551,5.1973886,10.5238495
Эссо,2022,4,-5.295181,4.8729367,9.353053
Эссо,2022,5,2.9561882,4.577453,8.505258
Эссо,2022,6,12.409333,6.6556993,8.838303
Эссо,2022,7,18.007935,7.5146313,10.487627
Эссо,2022,8,14.799534,8.10088,12.769689
Эссо,2022,9,7.5416255,9.42156,15.885696
Эссо,2022,10,-1.7700216,7.491331,14.602348
Эссо,2022,11,-8.688167,5.885599,13.164262
Эссо,2022,12,-12.348046,5.735632,12.831312
Эссо,2023,1,-17.550533,6.0593204,10.944027
Эссо,2023,2,-18.67775,4.7287693,8.085423
Эссо,2023,3,-10.054833,4.9610734,10.259391
Эссо,2023,4,-3.7718472,6.205453,12.54594
Эссо,2023,5,2.260422,5.0157266,9.403106
Эссо,2023,6,11.462945,7.472242,10.795465
Эссо,2023,7,16.204979,6.3375106,8.827893
Эссо,2023,8,13.087438,6.6927915,10.111718
Эссо,2023,9,7.936625,8.150859,14.051386
Эссо,2023,10,2.4325995,5.737665,9.343098
Эссо,2023,11,-6.2584314,7.249568,12.718268
