city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Южно-Курильск,2017,1,-4.978718,18.126379,28.05328
Южно-Курильск,2017,2,-4.4794016,22.265848,34.14541
Южно-Курильск,2017,3,-3.087656,17.444752,26.79332
Южно-Курильск,2017,4,2.2301667,16.752972,27.184568
Южно-Курильск,2017,5,7.947761,12.478881,19.027887
Южно-Курильск,2017,6,9.637667,15.736536,23.933569
Южно-Курильск,2017,7,16.751524,11.609603,17.289173
Южно-Курильск,2017,8,16.445946,13.352098,19.53677
Южно-Курильск,2017,9,15.057736,16.700392,25.553032
Южно-Курильск,2017,10,9.740436,19.173878,28.92871
Южно-Курильск,2017,11,4.359889,21.637815,32.337124
Южно-Курильск,2017,12,-1.369242,21.632109,32.31855
Южно-Курильск,2018,1,-3.6066074,17.769674,27.405634
Южно-Курильск,2018,2,-6.3590145,15.248672,24.559408
Южно-Курильск,2018,3,-1.1358414,18.810266,30.096302
Южно-Курильск,2018,4,3.574125,16.751543,26.267097
Южно-Курильск,2018,5,7.2421827,15.507565,23.80318
Южно-Курильск,2018,6,10.6935,15.827466,24.272995
Южно-Курильск,2018,7,13.748096,14.370739,21.7816
Южно-Курильск,2018,8,15.7930565,15.430002,22.934935
Южно-Курильск,2018,9,15.749611,14.513945,22.699003
Южно-Курильск,2018,10,11.819133,15.266236,23.682917
Южно-Курильск,2018,11,6.070722,20.00935,29.489393
Южно-Курильск,2018,12,-0.8686371,23.616774,35.163277
Южно-Курильск,2019,1,-4.6062713,23.921526,35.89816
Южно-Курильск,2019,2,-6.7933154,15.765742,25.296976
Южно-Курильск,2019,3,-2.2318764,18.47457,29.31894
Южно-Курильск,2019,4,2.5313473,16.299273,26.271679
Южно-Курильск,2019,5,9.346081,16.334785,25.877153
Южно-Курильск,2019,6,11.135861,13.322922,19.766384
Южно-Курильск,2019,7,15.196551,13.482438,20.390446
Южно-Курильск,2019,8,16.654547,15.074568,21.952736
Южно-Курильск,2019,9,16.720097,14.99613,23.23561
Южно-Курильск,2019,10,11.920139,18.820768,28.682205
Южно-Курильск,2019,11,4.103361,24.103277,35.01286
Южно-Курильск,2019,12,-0.8719301,23.108301,33.763565
Южно-Курильск,2020,1,-3.4651423,20.667715,30.490688
Южно-Курильск,2020,2,-5.661557,20.079977,30.937012
Южно-Курильск,2020,3,-0.7668226,18.38273,29.674726
Южно-Курильск,2020,4,2.4434307,16.22004,25.132845
Южно-Курильск,2020,5,7.0912423,15.417286,23.542402
Южно-Курильск,2020,6,11.463152,14.149109,21.178314
Южно-Курильск,2020,7,14.482976,11.871279,17.408894
Южно-Курильск,2020,8,18.029413,13.909867,20.856085
Южно-Курильск,2020,9,16.147875,15.923076,23.882236
Южно-Курильск,2020,10,11.94588,16.680199,25.278315
Южно-Курильск,2020,11,5.6337085,20.133736,29.828299
Южно-Курильск,2020,12,-1.832078,21.924688,31.672459
Южно-Курильск,2021,1,-5.2671585,20.083479,30.46381
Южно-Курильск,2021,2,-4.8348336,19.61174,30.274908
Южно-Курильск,2021,3,-0.6539193,20.321875,32.958637
Южно-Курильск,2021,4,3.075375,19.378984,30.464598
Южно-Курильск,2021,5,6.744804,17.6292,27.046387
Южно-Курильск,2021,6,11.408639,13.100759,19.55308
Южно-Курильск,2021,7,16.954817,13.516331,20.347626
Южно-Курильск,2021,8,17.121752,16.17335,23.4753
Южно-Курильск,2021,9,15.157181,16.187794,24.319344
Южно-Курильск,2021,10,11.389562,15.9307165,24.51926
Южно-Курильск,2021,11,6.6232224,20.195103,30.572388
Южно-Курильск,2021,12,0.30811024,21.597736,31.844328
Южно-Курильск,2022,1,-3.565344,25.692865,37.502205
Южно-Курильск,2022,2,-5.191232,22.382235,34.471222
Южно-Курильск,2022,3,-1.1875215,17.676908,28.466246
Южно-Курильск,2022,4,4.2303753,16.752197,26.73409
Южно-Курильск,2022,5,8.407707,17.39041,27.314049
Южно-Курильск,2022,6,10.307459,14.944541,22.368275
Южно-Курильск,2022,7,15.593393,14.165572,20.944347
Южно-Курильск,2022,8,17.93405,15.521851,23.798248
Южно-Курильск,2022,9,17.003708,14.515602,22.192623
Южно-Курильск,2022,10,11.564562,16.366314,24.90968
Южно-Курильск,2022,11,6.372319,19.697248,29.390972
Южно-Курильск,2022,12,-0.61984676,23.343315,33.961784
Южно-Курильск,2023,1,-5.5560026,21.54243,32.17657
Южно-Курильск,2023,2,-6.1262026,17.771727,27.801357
Южно-Курильск,2023,3,0.2462823,16.315332,27.122232
Южно-Курильск,2023,4,4.5503054,19.576317,30.906826
Южно-Курильск,2023,5,8.48311,14.839655,23.130232
Южно-Курильск,2023,6,12.632389,14.560004,21.758345
Южно-Курильск,2023,7,18.160395,11.105037,16.6856
Южно-Курильск,2023,8,21.052532,17.115232,25.62537
Южно-Курильск,2023,9,18.777666,13.593251,20.73172
Южно-Курильск,2023,10,12.214697,16.2736,25.064709
Южно-Курильск,2023,11,8.019807,20.881004,32.09226
