city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Южно-Сахалинск,2017,1,-10.935097,11.059975,19.80498
Южно-Сахалинск,2017,2,-7.940783,11.842418,20.903414
Южно-Сахалинск,2017,3,-3.66843,9.095579,15.509742
Южно-Сахалинск,2017,4,2.561514,11.667955,19.03662
Южно-Сахалинск,2017,5,9.279151,9.601799,14.999222
Южно-Сахалинск,2017,6,11.059153,10.69315,16.46725
Южно-Сахалинск,2017,7,17.799782,8.2022915,12.548741
Южно-Сахалинск,2017,8,16.888695,8.682875,13.927266
Южно-Сахалинск,2017,9,13.945473,9.709843,16.619133
Южно-Сахалинск,2017,10,5.397027,10.743585,18.909945
Южно-Сахалинск,2017,11,-1.9174445,11.41827,19.982868
Южно-Сахалинск,2017,12,-8.397596,12.030159,21.189657
Южно-Сахалинск,2018,1,-10.137919,11.03763,19.937407
Южно-Сахалинск,2018,2,-12.098149,9.687887,16.937431
Южно-Сахалинск,2018,3,-4.116078,11.90956,20.656845
Южно-Сахалинск,2018,4,2.7997081,10.83023,18.469141
Южно-Сахалинск,2018,5,8.577336,9.30094,14.828075
Южно-Сахалинск,2018,6,11.459431,10.677069,16.781088
Южно-Сахалинск,2018,7,15.811678,9.584803,14.608711
Южно-Сахалинск,2018,8,16.671625,8.912895,14.226951
Южно-Сахалинск,2018,9,14.058805,10.54743,17.825647
Южно-Сахалинск,2018,10,8.497295,10.950984,19.548304
Южно-Сахалинск,2018,11,0.33755553,9.724758,17.578932
Южно-Сахалинск,2018,12,-8.272664,11.269417,20.299692
Южно-Сахалинск,2019,1,-10.495043,10.754278,20.205301
Южно-Сахалинск,2019,2,-10.943164,9.110377,16.217154
Южно-Сахалинск,2019,3,-4.969304,10.876299,18.333746
Южно-Сахалинск,2019,4,3.346653,9.656168,15.987362
Южно-Сахалинск,2019,5,10.928815,10.461338,16.831993
Южно-Сахалинск,2019,6,12.173944,9.041487,14.064896
Южно-Сахалинск,2019,7,16.234325,8.874399,13.43085
Южно-Сахалинск,2019,8,16.369473,9.523733,15.354286
Южно-Сахалинск,2019,9,14.608042,9.647713,16.639593
Южно-Сахалинск,2019,10,7.8038144,10.705454,19.048693
Южно-Сахалинск,2019,11,-2.0923057,13.04091,23.132936
Южно-Сахалинск,2019,12,-8.715406,11.146401,20.353687
Южно-Сахалинск,2020,1,-10.095782,9.91083,18.139128
Южно-Сахалинск,2020,2,-10.200083,9.8877325,17.893103
Южно-Сахалинск,2020,3,-2.6212528,12.096202,21.262953
Южно-Сахалинск,2020,4,1.5991528,10.901371,18.029678
Южно-Сахалинск,2020,5,7.9663815,9.6357765,15.175011
Южно-Сахалинск,2020,6,12.239639,10.015931,15.742785
Южно-Сахалинск,2020,7,16.561073,8.857391,13.601799
Южно-Сахалинск,2020,8,17.041382,9.658171,15.650451
Южно-Сахалинск,2020,9,14.969987,8.928431,15.172813
Южно-Сахалинск,2020,10,8.034997,11.136802,19.931519
Южно-Сахалинск,2020,11,-0.6489723,10.322689,18.905071
Южно-Сахалинск,2020,12,-9.709492,9.052572,16.711535
Южно-Сахалинск,2021,1,-13.210768,11.256941,20.400688
Южно-Сахалинск,2021,2,-8.797554,11.111142,20.143858
Южно-Сахалинск,2021,3,-2.1761587,10.870959,18.932964
Южно-Сахалинск,2021,4,2.9980419,13.164228,21.960398
Южно-Сахалинск,2021,5,7.157645,11.775743,18.679651
Южно-Сахалинск,2021,6,13.804084,9.913343,15.3031
Южно-Сахалинск,2021,7,20.326061,8.571,12.874475
Южно-Сахалинск,2021,8,17.524849,8.648515,14.08871
Южно-Сахалинск,2021,9,14.632973,9.261463,15.704796
Южно-Сахалинск,2021,10,6.830427,10.812177,18.695972
Южно-Сахалинск,2021,11,1.0066527,10.779242,19.26896
Южно-Сахалинск,2021,12,-7.2256207,12.196246,21.955296
Южно-Сахалинск,2022,1,-10.061105,13.095056,23.62361
Южно-Сахалинск,2022,2,-8.780143,11.947225,21.89072
Южно-Сахалинск,2022,3,-2.84343,10.982513,18.51622
Южно-Сахалинск,2022,4,3.6727638,12.894306,21.665333
Южно-Сахалинск,2022,5,9.018331,11.9542055,18.700253
Южно-Сахалинск,2022,6,11.664917,9.552581,14.302513
Южно-Сахалинск,2022,7,18.02512,9.328486,14.006125
Южно-Сахалинск,2022,8,18.409058,10.352273,17.00176
Южно-Сахалинск,2022,9,15.360056,10.531805,17.893671
Южно-Сахалинск,2022,10,7.0929275,10.015197,17.097206
Южно-Сахалинск,2022,11,-0.8885556,11.087804,19.642536
Южно-Сахалинск,2022,12,-8.055392,11.61348,20.245628
Южно-Сахалинск,2023,1,-13.919371,11.3552,20.986982
Южно-Сахалинск,2023,2,-12.370842,9.058414,15.262263
Южно-Сахалинск,2023,3,-0.782207,11.07787,19.250546
Южно-Сахалинск,2023,4,3.367764,12.28724,20.431334
Южно-Сахалинск,2023,5,8.869473,10.109797,16.562687
Южно-Сахалинск,2023,6,14.340959,9.071377,13.555342
Южно-Сахалинск,2023,7,18.63063,7.819559,11.62513
Южно-Сахалинск,2023,8,19.081705,9.440226,15.00215
Южно-Сахалинск,2023,9,16.624361,8.434075,13.6129675
Южно-Сахалинск,2023,10,8.666247,10.834409,18.532116
Южно-Сахалинск,2023,11,2.3561668,12.131626,20.88734
