city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Ягодное,2017,1,-10.128124,13.510356,22.494167
Ягодное,2017,2,-7.9715204,18.349371,29.694807
Ягодное,2017,3,-2.1519141,15.420518,25.721512
Ягодное,2017,4,5.151986,16.316452,26.865273
Ягодное,2017,5,12.248086,14.43734,22.84805
Ягодное,2017,6,16.661709,12.748568,19.661825
Ягодное,2017,7,20.85494,12.339963,19.207382
Ягодное,2017,8,21.117373,12.145071,18.690784
Ягодное,2017,9,14.547611,14.525356,22.45028
Ягодное,2017,10,5.6339726,14.93789,23.699533
Ягодное,2017,11,0.9124722,13.051151,20.465176
Ягодное,2017,12,-4.7609196,17.89243,28.571514
Ягодное,2018,1,-9.765086,14.045913,23.28294
Ягодное,2018,2,-12.129259,12.16516,20.27121
Ягодное,2018,3,-9.0424385,13.292235,22.215631
Ягодное,2018,4,3.861361,15.695547,26.300634
Ягодное,2018,5,14.705612,14.749997,23.209642
Ягодное,2018,6,18.34268,14.415376,21.978128
Ягодное,2018,7,23.488945,11.467994,18.099281
Ягодное,2018,8,20.912132,11.724784,17.974316
Ягодное,2018,9,15.89893,12.893234,20.277227
Ягодное,2018,10,7.8232875,15.130507,24.062393
Ягодное,2018,11,-2.0479445,13.383654,21.303255
Ягодное,2018,12,-7.694522,12.19772,19.736055
Ягодное,2019,1,-10.569656,15.042529,25.266178
Ягодное,2019,2,-6.914229,16.033188,25.931313
Ягодное,2019,3,-1.3003011,14.929461,24.842014
Ягодное,2019,4,5.263583,12.523987,20.913164
Ягодное,2019,5,16.381554,12.10859,19.117325
Ягодное,2019,6,20.911222,12.352047,18.519083
Ягодное,2019,7,20.518448,13.186741,20.073118
Ягодное,2019,8,17.580343,15.765883,24.044222
Ягодное,2019,9,12.110666,12.5318985,19.389118
Ягодное,2019,10,9.207091,16.769379,26.679485
Ягодное,2019,11,-0.9723195,15.796438,24.639198
Ягодное,2019,12,-3.830543,15.819762,25.69478
Ягодное,2020,1,-3.0568871,15.020988,24.890976
Ягодное,2020,2,-4.070066,16.487698,27.01718
Ягодное,2020,3,1.7320242,16.028538,27.124063
Ягодное,2020,4,6.1424723,17.787441,28.061499
Ягодное,2020,5,14.41771,13.812434,21.590523
Ягодное,2020,6,18.209278,11.448415,17.187263
Ягодное,2020,7,24.218113,11.463107,17.30856
Ягодное,2020,8,18.668985,14.887133,22.646036
Ягодное,2020,9,14.012124,14.014212,22.298477
Ягодное,2020,10,8.087065,14.216876,22.917488
Ягодное,2020,11,-1.6462779,14.417017,22.470564
Ягодное,2020,12,-10.831551,10.905821,18.546637
Ягодное,2021,1,-9.181753,15.224985,24.985842
Ягодное,2021,2,-14.204185,15.500866,24.930002
Ягодное,2021,3,-4.8674383,15.434304,25.724134
Ягодное,2021,4,6.6314306,15.230394,25.017332
Ягодное,2021,5,19.238342,15.263966,24.298372
Ягодное,2021,6,23.17025,11.33969,17.042305
Ягодное,2021,7,23.848488,12.093943,17.927826
Ягодное,2021,8,24.673286,12.240405,18.665285
Ягодное,2021,9,11.910666,14.619397,22.70891
Ягодное,2021,10,6.8796053,12.801301,21.082294
Ягодное,2021,11,0.39497218,19.226324,30.158377
Ягодное,2021,12,-6.7790647,14.191011,23.575766
Ягодное,2022,1,-8.366095,15.3280525,24.856382
Ягодное,2022,2,-2.8173542,15.185624,25.332148
Ягодное,2022,3,-4.6316853,14.4134655,23.682953
Ягодное,2022,4,7.3210835,13.258973,22.051088
Ягодное,2022,5,10.433704,13.284665,20.644209
Ягодное,2022,6,19.394138,13.9377575,21.185173
Ягодное,2022,7,22.433838,11.129034,17.237408
Ягодное,2022,8,23.769657,10.308479,16.672916
Ягодное,2022,9,13.66025,12.495277,19.610928
Ягодное,2022,10,7.499968,15.164841,23.83042
Ягодное,2022,11,0.1451111,15.894725,23.969976
Ягодное,2022,12,-6.269521,15.312484,24.3517
Ягодное,2023,1,-11.964212,15.532868,26.76649
Ягодное,2023,2,-7.4599876,14.799133,23.70429
Ягодное,2023,3,2.2914329,17.104609,28.247921
Ягодное,2023,4,9.074139,11.968613,19.728872
Ягодное,2023,5,16.670397,13.572859,21.826252
Ягодное,2023,6,17.546986,14.220979,21.582619
Ягодное,2023,7,23.021002,12.682471,19.297623
Ягодное,2023,8,21.87154,12.247526,18.696423
Ягодное,2023,9,15.926707,10.104486,15.972239
Ягодное,2023,10,6.9679112,17.942848,28.247261
Ягодное,2023,11,2.822371,15.937463,25.611244
