city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
абаровск,2017,1,-18.340687,11.118074,19.683683
абаровск,2017,2,-13.829815,11.127884,19.48886
абаровск,2017,3,-5.091226,9.508579,15.544897
абаровск,2017,4,4.6267223,13.153227,21.489574
абаровск,2017,5,14.106624,13.296853,21.625034
абаровск,2017,6,16.878944,12.319694,19.493446
абаровск,2017,7,22.632967,10.231177,16.814556
абаровск,2017,8,20.285187,11.170798,17.978273
абаровск,2017,9,14.183945,12.242341,20.465006
абаровск,2017,10,2.8321612,13.850114,23.566587
абаровск,2017,11,-10.227236,12.94147,23.302664
абаровск,2017,12,-19.760849,12.038622,21.721016
абаровск,2018,1,-20.54015,12.260112,21.560574
абаровск,2018,2,-18.17669,12.43363,21.161617
абаровск,2018,3,-6.7029195,14.040932,24.09757
абаровск,2018,4,5.2269998,14.759856,24.762257
абаровск,2018,5,13.035857,12.882151,21.262087
абаровск,2018,6,17.240612,11.238504,18.155436
абаровск,2018,7,21.88727,10.182309,16.434395
абаровск,2018,8,19.813143,9.778596,15.98201
абаровск,2018,9,13.485264,12.42255,21.201235
абаровск,2018,10,6.659917,12.128359,21.048275
абаровск,2018,11,-4.845639,13.830143,23.269815
абаровск,2018,12,-15.049626,15.782009,25.63138
абаровск,2019,1,-16.093107,12.283772,21.404194
абаровск,2019,2,-12.197152,15.446736,26.285744
абаровск,2019,3,-2.8795323,11.637008,19.145643
абаровск,2019,4,4.9744997,11.622665,19.465778
абаровск,2019,5,12.75165,12.662109,20.714136
абаровск,2019,6,15.957973,11.597798,18.314579
абаровск,2019,7,21.934244,9.166612,14.557486
абаровск,2019,8,18.837269,11.349097,18.623516
абаровск,2019,9,14.346653,13.460676,22.798006
абаровск,2019,10,5.717847,13.875628,23.978426
абаровск,2019,11,-8.479042,18.53648,30.16014
абаровск,2019,12,-18.238537,13.652399,23.540243
абаровск,2020,1,-17.212797,11.7931595,21.09281
абаровск,2020,2,-13.845327,10.69566,18.12964
абаровск,2020,3,-2.2365887,12.427772,20.822117
абаровск,2020,4,4.460611,16.062044,26.21816
абаровск,2020,5,13.220333,12.366869,20.342821
абаровск,2020,6,15.679084,12.701686,20.239239
абаровск,2020,7,22.042042,9.472739,15.313404
абаровск,2020,8,18.462471,13.730611,22.751305
абаровск,2020,9,15.016653,10.919729,18.4908
абаровск,2020,10,5.5981555,13.012862,22.82163
абаровск,2020,11,-5.4360557,15.947671,26.668629
абаровск,2020,12,-15.684169,14.630766,24.677149
абаровск,2021,1,-21.022476,11.183008,20.130606
абаровск,2021,2,-15.984205,13.620616,23.500563
абаровск,2021,3,-3.404062,12.318649,21.633263
абаровск,2021,4,5.054361,14.936454,24.931782
абаровск,2021,5,11.84614,12.963613,21.2084
абаровск,2021,6,19.088043,10.387342,17.067808
абаровск,2021,7,25.03243,8.639404,13.803799
абаровск,2021,8,20.522686,10.310392,16.775873
абаровск,2021,9,14.87457,11.034568,18.277042
абаровск,2021,10,4.5900917,12.428815,21.863728
абаровск,2021,11,-5.019111,12.721667,22.467566
абаровск,2021,12,-19.84613,11.983507,21.658798
абаровск,2022,1,-22.846535,8.244489,14.135875
абаровск,2022,2,-16.175724,12.181167,20.746214
абаровск,2022,3,-4.816898,13.347247,23.395634
абаровск,2022,4,4.0583196,15.78799,26.446146
абаровск,2022,5,11.8551445,13.188798,21.94256
абаровск,2022,6,17.904154,9.707373,15.39217
абаровск,2022,7,22.990494,8.9715185,14.456577
абаровск,2022,8,19.541973,11.510938,18.553427
абаровск,2022,9,14.436514,13.697652,23.059042
абаровск,2022,10,4.6295404,12.056132,20.625124
абаровск,2022,11,-5.5690417,14.167536,24.464933
абаровск,2022,12,-16.931816,14.553342,26.300829
абаровск,2023,1,-23.447208,12.255535,22.410965
абаровск,2023,2,-14.855857,12.007915,21.675339
абаровск,2023,3,-1.6078924,13.410949,24.080309
абаровск,2023,4,3.8240836,13.326827,22.27598
абаровск,2023,5,12.841906,12.952722,21.460997
абаровск,2023,6,18.95089,9.98073,15.954076
абаровск,2023,7,22.921679,9.658734,15.32778
абаровск,2023,8,21.066034,10.341541,16.867758
абаровск,2023,9,15.556722,12.227548,20.541784
абаровск,2023,10,6.1348495,12.74655,22.364714
абаровск,2023,11,-6.8591175,14.933815,26.176958
