city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
лдан,2017,1,-6.0867796,13.008422,23.467516
лдан,2017,2,-3.8748245,13.114846,24.10496
лдан,2017,3,4.9960833,12.63148,22.457668
лдан,2017,4,9.144972,13.828607,24.077953
лдан,2017,5,14.620814,11.844437,19.970465
лдан,2017,6,19.238514,11.982985,20.234215
лдан,2017,7,19.908651,10.8206215,18.249403
лдан,2017,8,21.868864,10.817864,19.047405
лдан,2017,9,16.195042,13.220383,23.517881
лдан,2017,10,7.8954115,13.636683,24.001884
лдан,2017,11,2.6087916,11.274998,19.978651
лдан,2017,12,1.3761909,13.285905,23.66454
лдан,2018,1,-3.193164,12.768952,22.499067
лдан,2018,2,-5.0636635,11.545855,20.787258
лдан,2018,3,-3.1271694,12.817194,22.370876
лдан,2018,4,10.95893,12.952443,23.355528
лдан,2018,5,18.01779,11.878857,20.482794
лдан,2018,6,20.014278,10.836458,18.559502
лдан,2018,7,20.91322,9.549814,16.341297
лдан,2018,8,21.658516,9.02886,16.766342
лдан,2018,9,16.680874,11.4925375,20.804708
лдан,2018,10,9.912414,10.366631,18.823812
лдан,2018,11,-0.10766669,10.539725,18.78546
лдан,2018,12,-2.9916182,11.901513,20.776424
лдан,2019,1,-5.299145,12.646812,22.593716
лдан,2019,2,-1.1062976,12.647445,22.885767
лдан,2019,3,3.1851292,13.623414,24.419014
лдан,2019,4,9.604555,11.116562,18.605757
лдан,2019,5,16.690773,10.942821,18.705118
лдан,2019,6,22.300596,10.189158,17.738081
лдан,2019,7,19.169134,9.288814,15.73887
лдан,2019,8,19.950384,9.632452,16.711916
лдан,2019,9,15.217819,10.785476,19.378082
лдан,2019,10,10.629416,10.49936,19.575626
лдан,2019,11,4.1478887,13.660833,24.31591
лдан,2019,12,2.1460161,12.67079,22.970871
лдан,2020,1,0.27162096,12.256917,21.673141
лдан,2020,2,0.8927787,13.518194,24.365917
лдан,2020,3,5.380156,13.218918,23.173952
лдан,2020,4,8.06636,13.70735,24.013243
лдан,2020,5,12.086339,11.069518,18.869392
лдан,2020,6,21.34171,11.730294,20.42867
лдан,2020,7,20.655088,9.660326,16.796568
лдан,2020,8,19.915236,9.505383,17.252497
лдан,2020,9,17.165249,11.686469,21.27243
лдан,2020,10,12.284054,12.254437,22.244783
лдан,2020,11,3.2176805,10.488804,17.997274
лдан,2020,12,-1.4006909,12.676954,22.863398
лдан,2021,1,-3.0656102,12.67554,22.309097
лдан,2021,2,-6.3903008,12.026696,22.111092
лдан,2021,3,0.917051,12.254157,21.925627
лдан,2021,4,6.937125,10.609038,18.379261
лдан,2021,5,13.999511,12.119664,20.422325
лдан,2021,6,20.337471,11.649106,20.185759
лдан,2021,7,23.684996,8.515808,14.809346
лдан,2021,8,21.246487,10.305334,17.879755
лдан,2021,9,12.406709,10.774781,18.704382
лдан,2021,10,7.2353306,11.133664,21.137291
лдан,2021,11,3.597889,12.783335,23.32729
лдан,2021,12,-1.5884596,12.468977,22.158365
лдан,2022,1,-2.5832849,15.3536825,26.874456
лдан,2022,2,-0.0065208552,12.485847,23.646189
лдан,2022,3,1.1366746,12.407499,21.136957
лдан,2022,4,7.6478887,13.719451,23.237389
лдан,2022,5,13.122025,12.4991,21.465868
лдан,2022,6,20.233791,9.935313,17.478802
лдан,2022,7,19.344202,10.355289,17.495003
лдан,2022,8,21.629417,12.241114,21.968573
лдан,2022,9,11.694763,10.2895155,18.446629
лдан,2022,10,9.206163,12.565908,22.35641
лдан,2022,11,2.5958056,10.722078,18.69201
лдан,2022,12,-1.0443064,13.294084,23.939579
лдан,2023,1,-1.1619812,13.549844,23.573868
лдан,2023,2,-1.6166399,14.288278,24.048243
лдан,2023,3,4.1575756,13.442493,23.295374
лдан,2023,4,9.471361,13.083721,22.40455
лдан,2023,5,14.600719,10.496397,18.209778
лдан,2023,6,18.947056,10.302485,17.38634
лдан,2023,7,20.471687,10.536145,17.989765
лдан,2023,8,21.942924,9.458903,16.931824
лдан,2023,9,16.996918,9.218895,17.422129
лдан,2023,10,10.45986,15.191815,26.717821
лдан,2023,11,5.5635076,14.264909,24.487238
